Date,Home,Away,Score,xG,xG.1,HomeGoals,AwayGoals
2025-11-01,Cremonese,Juventus,1–2,0.5,1.9,1,2
2025-11-02,Hellas Verona,Inter,1–2,0.4,1.1,1,2
2025-11-02,Torino,Pisa,2–2,0.9,1.5,2,2
2025-11-02,Fiorentina,Lecce,0–1,1.4,1.2,0,1
2025-11-02,Parma,Bologna,1–3,0.5,2.7,1,3
2025-11-02,Milan,Roma,1–0,3.3,1.8,1,0
2025-11-03,Sassuolo,Genoa,1–2,0.8,1.7,1,2
2025-11-03,Lazio,Cagliari,2–0,0.7,1.5,2,0
,,,,,,,
2025-11-07,Pisa,Cremonese,1–0,0.9,1.0,1,0
2025-11-08,Lecce,Hellas Verona,0–0,0.5,0.6,0,0
2025-11-08,Como,Cagliari,0–0,1.0,0.6,0,0
2025-11-08,Juventus,Torino,0–0,1.2,0.7,0,0
2025-11-08,Parma,Milan,2–2,1.9,2.1,2,2
2025-11-09,Atalanta,Sassuolo,0–3,0.9,1.8,0,3
2025-11-09,Genoa,Fiorentina,2–2,1.5,1.5,2,2
2025-11-09,Bologna,Napoli,2–0,0.9,0.2,2,0
2025-11-09,Roma,Udinese,2–0,1.5,1.1,2,0
2025-11-09,Inter,Lazio,2–0,1.9,0.6,2,0
,Home,Away,Score,,,,
,,,,,,,
2025-11-22,Cagliari,Genoa,3–3,0.8,1.4,3,3
2025-11-22,Udinese,Bologna,0–3,1.5,2.3,0,3
2025-11-22,Fiorentina,Juventus,1–1,0.6,1.5,1,1
2025-11-22,Napoli,Atalanta,3–1,1.6,0.8,3,1
2025-11-23,Hellas Verona,Parma,1–2,0.6,1.4,1,2
2025-11-23,Cremonese,Roma,1–3,0.9,1.9,1,3
2025-11-23,Lazio,Lecce,2–0,1.9,0.4,2,0
2025-11-23,Inter,Milan,0–1,1.9,1.0,0,1
2025-11-24,Torino,Como,1–5,1.5,2.7,1,5
2025-11-24,Sassuolo,Pisa,2–2,1.8,1.5,2,2
,,,,,,,
2025-11-28,Como,Sassuolo,2–0,1.8,1.0,2,0
2025-11-29,Parma,Udinese,0–2,0.9,1.6,0,2
2025-11-29,Genoa,Hellas Verona,2–1,1.9,1.9,2,1
2025-11-29,Juventus,Cagliari,2–1,1.7,0.5,2,1
2025-11-29,Milan,Lazio,1–0,1.4,0.7,1,0
2025-11-30,Lecce,Torino,2–1,1.0,1.7,2,1
2025-11-30,Pisa,Inter,0–2,1.7,2.0,0,2
2025-11-30,Atalanta,Fiorentina,2–0,1.6,1.6,2,0
2025-11-30,Roma,Napoli,0–1,0.5,1.2,0,1
2025-12-01,Bologna,Cremonese,1–3,2.7,2.1,1,3
,,,,,,,
2025-12-06,Sassuolo,Fiorentina,3–1,1.0,1.2,3,1
2025-12-06,Inter,Como,4–0,1.6,1.0,4,0
2025-12-06,Hellas Verona,Atalanta,3–1,1.0,1.5,3,1
2025-12-07,Cremonese,Lecce,2–0,2.1,0.9,2,0
2025-12-07,Cagliari,Roma,1–0,1.8,0.3,1,0
2025-12-07,Lazio,Bologna,1–1,1.2,1.1,1,1
2025-12-07,Napoli,Juventus,2–1,1.7,0.3,2,1
2025-12-08,Pisa,Parma,0–1,1.5,1.2,0,1
2025-12-08,Udinese,Genoa,1–2,1.2,1.6,1,2
2025-12-08,Torino,Milan,2–3,1.0,1.7,2,3
,,,,,,,
2025-12-12,Lecce,Pisa,1–0,2.2,0.3,1,0
2025-12-13,Torino,Cremonese,1–0,1.0,0.7,1,0
2025-12-13,Parma,Lazio,0–1,1.1,1.4,0,1
2025-12-13,Atalanta,Cagliari,2–1,2.5,0.8,2,1
2025-12-14,Milan,Sassuolo,2–2,1.4,1.0,2,2
2025-12-14,Udinese,Napoli,1–0,1.3,1.3,1,0
,Home,Away,Score,,,,
2025-12-14,Fiorentina,Hellas Verona,1–2,1.6,0.9,1,2
2025-12-14,Genoa,Inter,1–2,1.0,1.3,1,2
2025-12-14,Bologna,Juventus,0–1,0.5,1.6,0,1
2025-12-15,Roma,Como,1–0,1.1,0.5,1,0
,,,,,,,
2025-12-20,Lazio,Cremonese,0–0,0.4,0.7,0,0
2025-12-20,Juventus,Roma,2–1,2.4,1.4,2,1
2025-12-21,Cagliari,Pisa,2–2,1.4,2.5,2,2
2025-12-21,Sassuolo,Torino,0–1,0.4,1.7,0,1
2025-12-21,Fiorentina,Udinese,5–1,3.1,0.6,5,1
2025-12-21,Genoa,Atalanta,0–1,0.8,1.4,0,1
,,,,,,,
2025-12-27,Parma,Fiorentina,1–0,0.9,1.2,1,0
2025-12-27,Lecce,Como,0–3,0.8,1.3,0,3
2025-12-27,Torino,Cagliari,1–2,1.5,0.9,1,2
2025-12-27,Udinese,Lazio,1–1,0.9,0.5,1,1
2025-12-27,Pisa,Juventus,0–2,0.6,1.7,0,2
2025-12-28,Milan,Hellas Verona,3–0,2.4,0.4,3,0
2025-12-28,Cremonese,Napoli,0–2,0.5,2.5,0,2
2025-12-28,Bologna,Sassuolo,1–1,0.9,1.6,1,1
2025-12-28,Atalanta,Inter,0–1,0.8,1.1,0,1
2025-12-29,Roma,Genoa,3–1,1.4,0.7,3,1
,,,,,,,
2026-01-02,Cagliari,Milan,0–1,0.5,0.7,0,1
2026-01-03,Como,Udinese,1–0,2.2,0.6,1,0
2026-01-03,Genoa,Pisa,1–1,0.5,0.6,1,1
2026-01-03,Sassuolo,Parma,1–1,0.8,1.2,1,1
2026-01-03,Juventus,Lecce,1–1,2.6,0.3,1,1
2026-01-03,Atalanta,Roma,1–0,1.9,0.8,1,0
2026-01-04,Lazio,Napoli,0–2,0.4,1.9,0,2
2026-01-04,Fiorentina,Cremonese,1–0,2.0,0.7,1,0
2026-01-04,Hellas Verona,Torino,0–3,0.2,1.5,0,3
2026-01-04,Inter,Bologna,3–1,2.9,1.0,3,1
,,,,,,,
2026-01-06,Pisa,Como,0–3,1.6,1.7,0,3
2026-01-06,Lecce,Roma,0–2,0.5,1.3,0,2
