Squad,Poss,PrgC,G+A-PK
Atalanta,55.9,418,2.05
Bologna,54.6,303,2.11
Cagliari,46.3,292,1.9
Como,60.2,370,2.42
Cremonese,45.3,209,1.65
Fiorentina,53.2,338,1.25
Genoa,46.6,240,1.75
Hellas Verona,39.8,220,1.21
Inter,59.3,361,3.5
Juventus,57.3,497,2.4
Lazio,50.8,272,1.5
Lecce,43.8,230,1.1
Milan,51.9,343,2.53
Napoli,57.7,371,2.4
Parma,42.8,223,0.85
Pisa,40.4,255,0.8
Roma,57.5,339,1.9
Sassuolo,45.5,314,1.9
Torino,45.1,270,1.45
Udinese,46.7,313,1.75
