Squad,xAG,PrgP,KP
Atalanta,20.8,904,215
Bologna,17.9,675,179
Cagliari,16.2,548,165
Como,18.5,754,201
Cremonese,15.0,520,123
Fiorentina,17.3,695,185
Genoa,17.2,531,161
Hellas Verona,13.7,547,159
Inter,28.0,933,265
Juventus,22.0,934,238
Lazio,15.3,641,162
Lecce,10.4,553,136
Milan,19.1,781,204
Napoli,19.3,770,177
Parma,11.9,480,144
Pisa,14.3,543,155
Roma,18.7,905,212
Sassuolo,14.3,592,156
Torino,14.0,637,177
Udinese,15.3,565,180
