Squad,TklW,Lost,Blocks,Clr
Atalanta,185,120,179,455
Bologna,166,97,150,453
Cagliari,182,135,184,539
Como,188,141,183,421
Cremonese,163,127,225,626
Fiorentina,154,111,204,433
Genoa,225,102,226,590
Hellas Verona,214,123,239,533
Inter,185,92,164,361
Juventus,182,91,158,388
Lazio,155,112,184,426
Lecce,204,148,208,556
Milan,155,98,153,445
Napoli,152,86,143,320
Parma,178,141,203,498
Pisa,195,150,206,626
Roma,187,141,181,422
Sassuolo,162,120,209,525
Torino,191,130,197,535
Udinese,187,119,193,605
