Squad,Poss,G+A-PK
Amiens,45.7,1.78
Annecy,46.3,2.11
Bastia,51.1,0.89
Clermont Foot,52.5,1.39
Dunkerque,56.1,3.11
Grenoble,45.6,1.67
Guingamp,54.7,2.56
Le Mans,46.7,1.67
Montpellier,52.5,1.61
Nancy,43.2,1.39
Pau FC,51.8,2.11
Red Star,54.5,1.83
Reims,55.9,2.89
Rodez Aveyron,40.6,1.94
Saint-Étienne,63.0,3.06
Stade Laval,47.6,0.89
Troyes,50.4,2.83
US Boulogne,43.1,1.39
