Squad,GF,GA,Pts
Troyes,31,16,38
Reims,34,21,32
Red Star,24,16,32
Saint-Étienne,35,25,31
Le Mans,22,17,31
Dunkerque,32,20,30
Pau FC,26,28,27
Guingamp,28,30,26
Montpellier,19,19,25
Annecy,22,20,22
Clermont Foot,20,22,22
Rodez Aveyron,21,26,22
Grenoble,19,22,21
Nancy,17,23,21
Amiens,22,28,18
US Boulogne,18,29,16
Stade Laval,14,26,15
Bastia,9,25,11
