Squad,TklW
Amiens,227
Annecy,179
Bastia,173
Clermont Foot,141
Dunkerque,155
Grenoble,188
Guingamp,173
Le Mans,232
Montpellier,176
Nancy,206
Pau FC,160
Red Star,144
Reims,213
Rodez Aveyron,155
Saint-Étienne,184
Stade Laval,167
Troyes,159
US Boulogne,222
