jc_date,league_name_jc,home_team_cn,away_team_cn,fused_home_prob,fused_draw_prob,fused_away_prob,spf_sp_home_close,spf_sp_draw_close,spf_sp_away_close,ev_home,ev_draw,ev_away,kelley_home,kelley_draw,kelley_away,betting_recommendation
2026-01-22,欧洲冠军联赛,卡拉巴赫,法兰克福,0.3912871016715193,0.462235384313763,0.14647751401471762,2.95,3.7,1.93,0.15121101093236244,0.6960655035217046,-0.7029524299925631,0.07912664099024722,0.2630633044299715,0.0,"平局 (EV:0.6961, 凯利:0.2631)"
2026-01-22,欧洲冠军联赛,加拉塔萨雷,马德里竞技,0.3609761482831483,0.26431179503731633,0.3747120566795355,2.95,3.64,1.94,0.06358204468658171,-0.037146964742885064,-0.2675974378408672,0.03327160894117306,0.0,0.0,"主胜 (EV:0.0636, 凯利:0.0333)"
2026-01-22,荷兰甲级联赛,阿尔克马尔,SBV精英,0.1080718229317925,0.22868213290669603,0.6632460441615114,1.19,5.65,9.0,-0.8539666400969436,0.2862129699043761,4.869830109504531,0.0,0.06280732277910382,0.6211517996817004,"客胜 (EV:4.8698, 凯利:0.6212)"
2026-01-22,欧洲冠军联赛,亚特兰大,毕尔巴鄂竞技,0.49421093403791794,0.13658281669445996,0.3692062492676221,1.68,3.45,4.1,-0.16633111819997193,-0.5182134967560309,0.5034707095573052,0.0,0.0,0.16572439419266138,"客胜 (EV:0.5035, 凯利:0.1657)"
2026-01-22,欧洲冠军联赛,尤文图斯,本菲卡,0.31975676319993135,0.12468578707664174,0.5555574497234269,1.57,3.65,4.6,-0.48802224414058554,-0.5339989396268524,1.5244529833532083,0.0,0.0,0.4321011857577121,"客胜 (EV:1.5245, 凯利:0.4321)"
2026-01-22,欧洲冠军联赛,布拉格斯拉维亚,巴塞罗那,0.16853056317708828,0.1976284253296304,0.6338410114932814,6.6,5.25,1.27,0.1100556826294069,0.03679824832094848,-0.19112147709546193,0.020053878030139742,0.00883511364248463,0.0,"主胜 (EV:0.1101, 凯利:0.0201)"
2026-01-22,欧洲冠军联赛,马赛,利物浦,0.33459406741739306,0.042831108633642825,0.622574823948964,3.62,3.6,1.74,0.2070059135699436,-0.8288918487405081,0.08161458979777343,0.08062233742403163,0.0,0.11254080225837483,"主胜 (EV:0.2070, 凯利:0.0806)"
2026-01-22,欧洲冠军联赛,纽卡斯尔联,PSV埃因霍温,0.07054189470135287,0.02072530899954111,0.9087327962991061,1.31,5.0,6.1,-0.8894383155824033,-0.8784459859022485,4.452404656276055,0.0,0.0,0.8908372661616759,"客胜 (EV:4.4524, 凯利:0.8908)"
2026-01-22,英格兰冠军联赛,斯托克城,米德尔斯堡,0.33591399285800294,0.07381866471854992,0.5902673424234471,2.85,3.15,2.17,-0.04179221794759776,-0.7521217820138364,0.27526253039770265,0.0,0.0,0.24006848979391476,"客胜 (EV:0.2753, 凯利:0.2401)"
2026-01-23,沙特职业联赛,胡巴尔卡德西亚,吉达联合,0.32295275465054,0.2876902551559262,0.3893569901935337,2.16,3.65,2.55,-0.2963736089557369,0.04906804269274805,-0.006996881506359371,0.0,0.018894125026087043,0.0,"平局 (EV:0.0491, 凯利:0.0189)"
