Date,Home,Away,Score,HomeGoals,AwayGoals
2026-04-06,Mansfield Town,Burton Albion,,,
2026-04-06,Wycombe,Bradford City,,,
2026-04-06,Reading,Lincoln City,,,
2026-04-06,Bolton,Stockport,,,
,Home,Away,Score,,
2026-04-06,Stevenage,Blackpool,,,
2026-04-06,Exeter City,Doncaster,,,
2026-04-06,Leyton Orient,Huddersfield,,,
,,,,,
2026-04-11,Cardiff City,Bolton,,,
2026-04-11,Doncaster,Reading,,,
2026-04-11,Blackpool,P'borough Utd,,,
2026-04-11,Plymouth Argyle,Exeter City,,,
2026-04-11,Luton Town,Northampton,,,
2026-04-11,Wigan Athletic,Mansfield Town,,,
2026-04-11,Rotherham Utd,Barnsley,,,
2026-04-11,Burton Albion,AFC Wimbledon,,,
2026-04-11,Lincoln City,Leyton Orient,,,
2026-04-11,Huddersfield,Wycombe,,,
2026-04-11,Stockport,Port Vale,,,
2026-04-11,Bradford City,Stevenage,,,
,,,,,
2026-04-18,P'borough Utd,Burton Albion,,,
2026-04-18,Northampton,Doncaster,,,
2026-04-18,Leyton Orient,Rotherham Utd,,,
2026-04-18,Exeter City,Stockport,,,
2026-04-18,Port Vale,Wigan Athletic,,,
2026-04-18,Stevenage,Lincoln City,,,
2026-04-18,Barnsley,Bradford City,,,
2026-04-18,Mansfield Town,Luton Town,,,
2026-04-18,AFC Wimbledon,Plymouth Argyle,,,
2026-04-18,Reading,Cardiff City,,,
2026-04-18,Bolton,Huddersfield,,,
2026-04-18,Wycombe,Blackpool,,,
,,,,,
2026-04-25,Blackpool,Leyton Orient,,,
2026-04-25,Stockport,P'borough Utd,,,
2026-04-25,Wigan Athletic,AFC Wimbledon,,,
2026-04-25,Lincoln City,Wycombe,,,
2026-04-25,Burton Albion,Exeter City,,,
2026-04-25,Bradford City,Bolton,,,
2026-04-25,Cardiff City,Northampton,,,
2026-04-25,Rotherham Utd,Reading,,,
2026-04-25,Luton Town,Barnsley,,,
2026-04-25,Huddersfield,Mansfield Town,,,
,Home,Away,Score,,
2026-04-25,Doncaster,Stevenage,,,
2026-04-25,Plymouth Argyle,Port Vale,,,
,,,,,
2026-05-02,AFC Wimbledon,Huddersfield,,,
2026-05-02,Wycombe,Rotherham Utd,,,
2026-05-02,Mansfield Town,Cardiff City,,,
2026-05-02,Northampton,Plymouth Argyle,,,
2026-05-02,Stevenage,Wigan Athletic,,,
2026-05-02,Port Vale,Lincoln City,,,
2026-05-02,Bolton,Luton Town,,,
2026-05-02,Leyton Orient,Burton Albion,,,
2026-05-02,Exeter City,Bradford City,,,
2026-05-02,P'borough Utd,Doncaster,,,
2026-05-02,Reading,Blackpool,,,
2026-05-02,Barnsley,Stockport,,,
