Date,Home,Away,Score,HomeGoals,AwayGoals
2025-09-27,P'borough Utd,Lincoln City,0–3,0,3
2025-09-27,Luton Town,Doncaster,1–0,1,0
2025-09-27,Exeter City,Huddersfield,0–1,0,1
2025-09-27,Wigan Athletic,Cardiff City,0–2,0,2
,Home,Away,Score,,
2025-09-27,Stockport,Reading,1–1,1,1
2025-09-27,Bradford City,Blackpool,1–0,1,0
2025-09-27,Northampton,Bolton,2–0,2,0
2025-09-27,Barnsley,Port Vale,0–2,0,2
,,,,,
2025-09-30,Blackpool,Luton Town,2–2,2,2
2025-09-30,Cardiff City,Burton Albion,0–1,0,1
,,,,,
2025-10-02,Rotherham Utd,Bradford City,2–2,2,2
2025-10-04,Doncaster,Burton Albion,1–1,1,1
2025-10-04,Wycombe,Barnsley,2–2,2,2
2025-10-04,Stevenage,Luton Town,2–0,2,0
2025-10-04,Bolton,P'borough Utd,2–1,2,1
2025-10-04,Cardiff City,Leyton Orient,4–3,4,3
2025-10-04,Port Vale,Northampton,0–0,0,0
2025-10-04,Huddersfield,Stockport,1–2,1,2
2025-10-04,Plymouth Argyle,Wigan Athletic,1–1,1,1
2025-10-04,Blackpool,AFC Wimbledon,0–2,0,2
2025-10-04,Lincoln City,Exeter City,0–1,0,1
2025-10-04,Reading,Mansfield Town,1–1,1,1
,,,,,
2025-10-11,Northampton,Rotherham Utd,1–2,1,2
2025-10-11,AFC Wimbledon,Port Vale,1–1,1,1
2025-10-11,Burton Albion,Bolton,3–0,3,0
2025-10-11,Stockport,Blackpool,1–0,1,0
2025-10-11,Wigan Athletic,Wycombe,0–1,0,1
2025-10-11,Exeter City,Reading,1–1,1,1
2025-10-11,Leyton Orient,Doncaster,4–0,4,0
,,,,,
2025-10-16,Huddersfield,Bolton,1–2,1,2
2025-10-18,Burton Albion,P'borough Utd,0–1,0,1
2025-10-18,Lincoln City,Stevenage,1–0,1,0
2025-10-18,Stockport,Exeter City,1–0,1,0
2025-10-18,Doncaster,Northampton,1–2,1,2
2025-10-18,Blackpool,Wycombe,1–1,1,1
2025-10-18,Wigan Athletic,Port Vale,1–0,1,0
2025-10-18,Luton Town,Mansfield Town,0–2,0,2
2025-10-18,Rotherham Utd,Leyton Orient,1–0,1,0
2025-10-18,Plymouth Argyle,AFC Wimbledon,1–2,1,2
2025-10-18,Bradford City,Barnsley,2–2,2,2
,Home,Away,Score,,
2025-10-18,Cardiff City,Reading,2–1,2,1
,,,,,
2025-10-21,Reading,Northampton,1–0,1,0
,,,,,
2025-10-23,Exeter City,Plymouth Argyle,2–0,2,0
2025-10-25,Bolton,Cardiff City,1–0,1,0
2025-10-25,Mansfield Town,Wigan Athletic,1–1,1,1
2025-10-25,Leyton Orient,Lincoln City,1–0,1,0
2025-10-25,Northampton,Luton Town,0–1,0,1
2025-10-25,Stevenage,Bradford City,1–1,1,1
2025-10-25,Barnsley,Rotherham Utd,0–1,0,1
2025-10-25,Wycombe,Huddersfield,3–0,3,0
2025-10-25,Reading,Doncaster,1–1,1,1
2025-10-25,P'borough Utd,Blackpool,1–2,1,2
2025-10-25,AFC Wimbledon,Burton Albion,0–1,0,1
2025-10-27,Port Vale,Stockport,0–3,0,3
,,,,,
2025-10-28,Bradford City,Lincoln City,0–0,0,0
2025-10-28,Mansfield Town,Plymouth Argyle,2–0,2,0
,,,,,
2025-11-04,Rotherham Utd,Burton Albion,2–2,2,2
,,,,,
2025-11-06,Reading,Stevenage,1–0,1,0
2025-11-08,Wycombe,Leyton Orient,4–1,4,1
2025-11-08,Northampton,Mansfield Town,2–1,2,1
2025-11-08,Rotherham Utd,Lincoln City,3–0,3,0
2025-11-08,Bolton,Port Vale,4–0,4,0
2025-11-08,Blackpool,Cardiff City,3–1,3,1
2025-11-08,Bradford City,Burton Albion,1–2,1,2
2025-11-08,Huddersfield,Plymouth Argyle,3–1,3,1
2025-11-08,Doncaster,Barnsley,1–2,1,2
2025-11-08,P'borough Utd,AFC Wimbledon,5–0,5,0
2025-11-08,Stockport,Luton Town,0–3,0,3
2025-11-08,Exeter City,Wigan Athletic,1–1,1,1
,,,,,
2025-11-15,Burton Albion,Blackpool,1–0,1,0
2025-11-15,AFC Wimbledon,Stockport,,,
2025-11-15,Luton Town,Rotherham Utd,0–0,0,0
2025-11-15,Lincoln City,Doncaster,2–1,2,1
2025-11-15,Leyton Orient,Exeter City,2–1,2,1
,Home,Away,Score,,
2025-11-15,Port Vale,Wycombe,0–0,0,0
,,,,,
2025-11-20,P'borough Utd,Stockport,3–0,3,0
2025-11-22,Port Vale,Plymouth Argyle,0–1,0,1
2025-11-22,Barnsley,Luton Town,5–0,5,0
2025-11-22,Mansfield Town,Huddersfield,1–3,1,3
2025-11-22,Reading,Rotherham Utd,1–1,1,1
2025-11-22,Wycombe,Lincoln City,3–2,3,2
2025-11-22,Bolton,Bradford City,0–0,0,0
2025-11-22,AFC Wimbledon,Wigan Athletic,1–2,1,2
2025-11-22,Northampton,Cardiff City,1–3,1,3
2025-11-22,Stevenage,Doncaster,0–0,0,0
2025-11-22,Leyton Orient,Blackpool,1–1,1,1
,,,,,
2025-11-25,P'borough Utd,Stevenage,0–1,0,1
2025-11-25,Luton Town,Huddersfield,2–1,2,1
,,,,,
2025-11-29,Blackpool,Reading,0–3,0,3
2025-11-29,Stockport,Barnsley,1–1,1,1
2025-11-29,Rotherham Utd,Wycombe,1–1,1,1
2025-11-29,Luton Town,Bolton,1–1,1,1
2025-11-29,Wigan Athletic,Stevenage,0–0,0,0
2025-11-29,Bradford City,Exeter City,1–0,1,0
2025-11-29,Huddersfield,AFC Wimbledon,3–3,3,3
2025-11-29,Burton Albion,Leyton Orient,0–4,0,4
2025-11-29,Plymouth Argyle,Northampton,0–3,0,3
2025-11-29,Lincoln City,Port Vale,1–0,1,0
2025-11-29,Cardiff City,Mansfield Town,3–0,3,0
2025-11-29,Doncaster,P'borough Utd,2–1,2,1
,,,,,
2025-12-02,Wigan Athletic,Burton Albion,1–0,1,0
,,,,,
2025-12-06,Plymouth Argyle,Bradford City,0–1,0,1
2025-12-06,Cardiff City,Huddersfield,3–2,3,2
,,,,,
2025-12-09,Lincoln City,Barnsley,3–1,3,1
2025-12-09,Mansfield Town,Bolton,0–1,0,1
2025-12-09,Leyton Orient,Luton Town,1–1,1,1
2025-12-09,Northampton,Huddersfield,1–1,1,1
2025-12-09,Wycombe,Plymouth Argyle,0–1,0,1
,Home,Away,Score,,
2025-12-09,Exeter City,AFC Wimbledon,1–0,1,0
2025-12-09,Doncaster,Stockport,0–2,0,2
2025-12-09,Stevenage,Cardiff City,0–1,0,1
2025-12-09,Reading,P'borough Utd,1–2,1,2
2025-12-10,Rotherham Utd,Blackpool,0–3,0,3
,,,,,
2025-12-13,Huddersfield,Wigan Athletic,1–1,1,1
2025-12-13,AFC Wimbledon,Mansfield Town,0–0,0,0
2025-12-13,Burton Albion,Wycombe,0–0,0,0
2025-12-13,Barnsley,Leyton Orient,3–2,3,2
2025-12-13,P'borough Utd,Northampton,2–1,2,1
2025-12-13,Stockport,Stevenage,1–3,1,3
2025-12-13,Bolton,Exeter City,2–1,2,1
2025-12-13,Luton Town,Port Vale,2–2,2,2
2025-12-13,Blackpool,Lincoln City,2–2,2,2
2025-12-13,Plymouth Argyle,Rotherham Utd,1–0,1,0
2025-12-13,Bradford City,Reading,2–0,2,0
2025-12-13,Cardiff City,Doncaster,4–3,4,3
,,,,,
2025-12-18,Reading,Luton Town,3–2,3,2
2025-12-19,Northampton,AFC Wimbledon,3–1,3,1
2025-12-20,Stevenage,Burton Albion,2–2,2,2
2025-12-20,Wigan Athletic,Blackpool,0–2,0,2
2025-12-20,Doncaster,Plymouth Argyle,1–5,1,5
2025-12-20,Leyton Orient,Bradford City,2–1,2,1
2025-12-20,Port Vale,P'borough Utd,0–1,0,1
2025-12-20,Lincoln City,Cardiff City,2–1,2,1
2025-12-20,Wycombe,Bolton,2–1,2,1
2025-12-20,Rotherham Utd,Huddersfield,1–3,1,3
2025-12-20,Mansfield Town,Stockport,1–2,1,2
2025-12-20,Exeter City,Barnsley,3–0,3,0
,,,,,
2025-12-26,AFC Wimbledon,Stevenage,0–0,0,0
2025-12-26,Bradford City,Wigan Athletic,2–1,2,1
2025-12-26,Luton Town,Wycombe,4–0,4,0
2025-12-26,Huddersfield,Port Vale,5–0,5,0
2025-12-26,Barnsley,Mansfield Town,2–3,2,3
2025-12-26,P'borough Utd,Leyton Orient,1–0,1,0
2025-12-26,Stockport,Lincoln City,1–2,1,2
2025-12-26,Cardiff City,Exeter City,1–0,1,0
,Home,Away,Score,,
2025-12-26,Plymouth Argyle,Reading,1–4,1,4
2025-12-26,Burton Albion,Northampton,5–1,5,1
2025-12-26,Blackpool,Doncaster,1–0,1,0
2025-12-26,Bolton,Rotherham Utd,2–1,2,1
,,,,,
2025-12-29,Luton Town,Leyton Orient,3–0,3,0
2025-12-29,Bradford City,Port Vale,1–0,1,0
2025-12-29,P'borough Utd,Reading,1–1,1,1
2025-12-29,Blackpool,Rotherham Utd,4–0,4,0
2025-12-29,AFC Wimbledon,Exeter City,0–1,0,1
2025-12-29,Bolton,Mansfield Town,0–1,0,1
2025-12-29,Stockport,Doncaster,4–2,4,2
2025-12-29,Barnsley,Lincoln City,0–2,0,2
2025-12-29,Cardiff City,Stevenage,2–1,2,1
2025-12-29,Huddersfield,Northampton,2–0,2,0
2025-12-29,Burton Albion,Wigan Athletic,0–2,0,2
2025-12-29,Plymouth Argyle,Wycombe,1–1,1,1
,,,,,
2026-01-01,Reading,Burton Albion,2–0,2,0
2026-01-01,Port Vale,Blackpool,5–1,5,1
2026-01-01,Leyton Orient,AFC Wimbledon,1–3,1,3
2026-01-01,Stevenage,Plymouth Argyle,1–1,1,1
2026-01-01,Northampton,Stockport,0–0,0,0
2026-01-01,Wycombe,Cardiff City,1–1,1,1
2026-01-01,Rotherham Utd,P'borough Utd,0–2,0,2
2026-01-01,Exeter City,Luton Town,1–0,1,0
2026-01-01,Doncaster,Bolton,1–1,1,1
2026-01-01,Lincoln City,Huddersfield,1–1,1,1
2026-01-01,Mansfield Town,Bradford City,3–0,3,0
2026-01-01,Wigan Athletic,Barnsley,1–1,1,1
,,,,,
2026-01-04,Lincoln City,P'borough Utd,5–2,5,2
2026-01-04,Bolton,Northampton,0–0,0,0
2026-01-04,Cardiff City,Wigan Athletic,1–0,1,0
2026-01-04,Reading,Stockport,1–0,1,0
2026-01-04,Blackpool,Bradford City,1–2,1,2
2026-01-04,Port Vale,Barnsley,,,
2026-01-04,Doncaster,Luton Town,,,
2026-01-04,Plymouth Argyle,Burton Albion,3–0,3,0
2026-01-04,Rotherham Utd,Mansfield Town,,,
,Home,Away,Score,,
2026-01-04,Huddersfield,Exeter City,2–2,2,2
2026-01-04,Wycombe,AFC Wimbledon,2–0,2,0
,,,,,
2026-01-10,Stockport,Huddersfield,1–0,1,0
2026-01-10,Luton Town,Stevenage,2–1,2,1
2026-01-10,Burton Albion,Doncaster,,,
2026-01-10,P'borough Utd,Bolton,3–1,3,1
2026-01-10,Mansfield Town,Reading,,,
2026-01-10,Leyton Orient,Cardiff City,1–1,1,1
2026-01-10,Bradford City,Rotherham Utd,,,
,,,,,
2026-01-17,Wigan Athletic,Bolton,,,
2026-01-17,Bradford City,Cardiff City,,,
2026-01-17,Mansfield Town,Port Vale,,,
2026-01-17,Stockport,Rotherham Utd,,,
2026-01-17,Luton Town,Lincoln City,,,
2026-01-17,Exeter City,Stevenage,,,
2026-01-17,AFC Wimbledon,Doncaster,,,
2026-01-17,Barnsley,Blackpool,,,
2026-01-17,Northampton,Wycombe,,,
2026-01-17,Burton Albion,Huddersfield,,,
2026-01-17,Leyton Orient,Reading,,,
2026-01-17,P'borough Utd,Plymouth Argyle,,,
,,,,,
2026-01-20,Stevenage,Bolton,,,
,,,,,
2026-01-22,Lincoln City,Burton Albion,,,
2026-01-24,Huddersfield,Bradford City,,,
2026-01-24,Cardiff City,Stockport,,,
2026-01-24,Plymouth Argyle,Luton Town,,,
2026-01-24,Rotherham Utd,AFC Wimbledon,,,
2026-01-24,Bolton,Leyton Orient,,,
2026-01-24,Wycombe,P'borough Utd,,,
2026-01-24,Reading,Barnsley,,,
2026-01-24,Stevenage,Mansfield Town,,,
2026-01-24,Doncaster,Wigan Athletic,,,
2026-01-24,Port Vale,Exeter City,,,
2026-01-24,Blackpool,Northampton,,,
,,,,,
2026-01-27,Bolton,Burton Albion,,,
,Home,Away,Score,,
2026-01-27,Stevenage,P'borough Utd,,,
2026-01-27,Cardiff City,Barnsley,,,
2026-01-27,Blackpool,Stockport,,,
