Squad,TklW
AFC Wimbledon,213
Barnsley,215
Blackpool,225
Bolton,242
Bradford City,263
Burton Albion,237
Cardiff City,205
Doncaster,224
Exeter City,221
Huddersfield,257
Leyton Orient,274
Lincoln City,260
Luton Town,244
Mansfield Town,228
Northampton,228
P'borough Utd,197
Plymouth Argyle,280
Port Vale,188
Reading,224
Rotherham Utd,241
Stevenage,216
Stockport,293
Wigan Athletic,279
Wycombe,236
