Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
ADO Den Haag,34,24.8,49.7,38,418,3420,38.0,67,45,112,64,3,5,66,7,1.76,1.18,2.95,1.68,2.87
Cambuur,30,23.9,55.2,38,418,3420,38.0,61,36,97,55,6,9,64,1,1.61,0.95,2.55,1.45,2.39
De Graafschap,37,24.5,53.3,38,418,3420,38.0,71,44,115,63,8,8,59,0,1.87,1.16,3.03,1.66,2.82
Den Bosch,31,23.7,45.3,38,418,3420,38.0,51,43,94,50,1,2,65,2,1.34,1.13,2.47,1.32,2.45
Dordrecht,35,22.7,48.8,38,418,3420,38.0,64,48,112,60,4,5,56,2,1.68,1.26,2.95,1.58,2.84
Emmen,26,24.6,53.7,38,418,3420,38.0,53,31,84,45,8,9,70,1,1.39,0.82,2.21,1.18,2.0
Excelsior,33,23.0,54.9,38,418,3420,38.0,73,53,126,67,6,6,70,1,1.92,1.39,3.32,1.76,3.16
FC Eindhoven,28,24.3,44.8,38,418,3420,38.0,58,49,107,55,3,4,49,3,1.53,1.29,2.82,1.45,2.74
Helmond Sport,26,24.6,49.4,38,418,3420,38.0,53,37,90,49,4,4,75,4,1.39,0.97,2.37,1.29,2.26
Jong Ajax,43,18.8,50.3,38,418,3420,38.0,36,23,59,32,4,5,58,4,0.95,0.61,1.55,0.84,1.45
Jong AZ,48,20.2,56.7,38,418,3420,38.0,67,49,116,61,6,7,65,1,1.76,1.29,3.05,1.61,2.89
Jong PSV,44,19.2,55.8,38,418,3420,38.0,55,38,93,50,5,7,58,3,1.45,1.0,2.45,1.32,2.32
Jong Utrecht,39,19.8,44.7,38,418,3420,38.0,31,18,49,27,4,5,58,7,0.82,0.47,1.29,0.71,1.18
MVV Maastricht,24,24.1,46.2,38,418,3420,38.0,50,39,89,49,1,2,66,1,1.32,1.03,2.34,1.29,2.32
Oss,28,24.5,41.7,38,418,3420,38.0,29,19,48,26,3,5,75,2,0.76,0.5,1.26,0.68,1.18
Roda JC,31,24.5,50.3,38,418,3420,38.0,48,32,80,45,3,6,72,3,1.26,0.84,2.11,1.18,2.03
Telstar,26,26.0,49.6,38,418,3420,38.0,69,56,125,65,4,4,63,0,1.82,1.47,3.29,1.71,3.18
Vitesse,30,22.1,54.1,38,418,3420,38.0,52,39,91,46,6,7,71,3,1.37,1.03,2.39,1.21,2.24
Volendam,33,26.2,50.6,38,418,3420,38.0,85,67,152,79,6,6,44,3,2.24,1.76,4.0,2.08,3.84
VVV-Venlo,39,24.0,45.7,38,418,3420,38.0,42,25,67,41,1,1,64,3,1.11,0.66,1.76,1.08,1.74
