Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
ADO Den Haag,34,38.0,66,7,2,511,476,56,708,253,438,,,1
Cambuur,30,38.0,64,1,0,444,507,69,690,314,422,,,2
De Graafschap,37,38.0,59,0,0,425,406,51,763,332,485,,,1
Den Bosch,31,38.0,65,2,1,460,363,96,675,400,457,,,1
Dordrecht,35,38.0,56,2,1,465,495,54,747,330,467,,,0
Emmen,26,38.0,70,1,0,549,407,61,710,383,456,,,2
Excelsior,33,38.0,70,1,1,488,346,66,800,307,388,,,1
FC Eindhoven,28,38.0,49,3,1,389,423,66,592,419,454,,,3
Helmond Sport,26,38.0,75,4,1,517,516,58,678,360,434,,,2
Jong Ajax,43,38.0,58,4,3,410,553,62,465,319,426,,,4
Jong AZ,48,38.0,65,1,0,497,453,60,313,362,452,,,0
Jong PSV,44,38.0,58,3,1,433,463,46,528,329,423,,,5
Jong Utrecht,39,38.0,58,7,2,477,479,57,473,360,427,,,3
MVV Maastricht,24,38.0,66,1,0,507,396,74,682,408,533,,,2
Oss,28,38.0,75,2,1,561,444,70,628,362,415,,,1
Roda JC,31,38.0,72,3,2,471,399,83,635,341,383,,,0
Telstar,26,38.0,63,0,0,491,483,94,735,337,410,,,0
Vitesse,30,38.0,71,3,2,490,491,60,816,445,491,,,1
Volendam,33,38.0,44,3,1,390,522,106,676,348,454,,,1
VVV-Venlo,39,38.0,64,3,1,473,409,65,751,349,452,,,1
