Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Adelaide,27,26.0,27,1,0,197,238,43,513,225,274,,,0
Auckland FC,23,26.0,40,2,0,314,247,35,558,266,364,,,1
Brisbane,31,26.0,56,1,1,262,248,51,398,161,258,,,2
Central Coast,27,26.0,48,1,0,244,252,25,395,242,290,,,1
Macarthur FC,28,26.0,48,1,0,249,258,39,572,201,333,,,2
Melb City,26,26.0,51,1,0,288,223,55,449,187,307,,,1
Melb Victory,22,26.0,37,2,0,207,267,33,390,187,330,,,1
Newcastle,24,26.0,34,0,0,249,212,30,439,192,267,,,2
Perth Glory,36,26.0,42,0,0,285,180,38,379,251,331,,,2
Sydney FC,27,26.0,52,3,1,288,314,49,387,197,330,,,2
W Sydney,29,26.0,40,1,0,287,243,30,442,191,284,,,2
Wellington,27,26.0,36,0,0,214,258,38,265,241,317,,,3
Western United,23,26.0,44,2,1,238,243,29,465,215,304,,,4
