Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
BTSV,30,26.9,42.0,34,374,3060,34.0,37,29,66,34,3,3,74,6,1.09,0.85,1.94,1.0,1.85
Düsseldorf,27,25.6,52.1,34,374,3060,34.0,71,55,126,65,6,7,73,1,2.09,1.62,3.71,1.91,3.53
Elversberg,25,25.6,48.4,34,374,3060,34.0,49,37,86,46,3,4,68,1,1.44,1.09,2.53,1.35,2.44
Greuther Fürth,26,24.5,52.4,34,374,3060,34.0,49,35,84,47,2,6,66,2,1.44,1.03,2.47,1.38,2.41
Hamburger SV,27,25.7,56.7,34,374,3060,34.0,64,48,112,59,5,7,76,6,1.88,1.41,3.29,1.74,3.15
Hannover 96,27,26.8,50.9,34,374,3060,34.0,56,39,95,48,8,8,61,4,1.65,1.15,2.79,1.41,2.56
Hansa Rostock,27,26.9,43.4,34,374,3060,34.0,28,18,46,25,3,5,81,4,0.82,0.53,1.35,0.74,1.26
Hertha BSC,32,25.0,47.5,34,374,3060,34.0,69,41,110,62,7,8,71,4,2.03,1.21,3.24,1.82,3.03
Holstein Kiel,28,25.4,52.3,34,374,3060,34.0,65,40,105,60,5,6,74,3,1.91,1.18,3.09,1.76,2.94
Kaiserslautern,31,26.1,44.5,34,374,3060,34.0,57,39,96,54,3,5,69,5,1.68,1.15,2.82,1.59,2.74
Karlsruher,26,28.4,51.6,34,374,3060,34.0,65,45,110,62,3,4,61,0,1.91,1.32,3.24,1.82,3.15
Magdeburg,25,26.6,60.9,34,374,3060,34.0,46,36,82,41,5,6,81,5,1.35,1.06,2.41,1.21,2.26
Nürnberg,31,25.0,45.6,34,374,3060,34.0,42,29,71,37,5,7,87,6,1.24,0.85,2.09,1.09,1.94
Osnabrück,28,26.4,46.6,34,374,3060,34.0,31,16,47,25,6,7,81,6,0.91,0.47,1.38,0.74,1.21
Paderborn 07,31,25.3,53.5,34,374,3060,34.0,54,39,93,50,4,5,61,5,1.59,1.15,2.74,1.47,2.62
Schalke 04,35,27.5,49.6,34,374,3060,34.0,52,41,93,48,4,5,78,4,1.53,1.21,2.74,1.41,2.62
St. Pauli,26,26.7,56.9,34,374,3060,34.0,61,47,108,58,3,3,63,4,1.79,1.38,3.18,1.71,3.09
Wehen,25,26.6,45.1,34,374,3060,34.0,36,22,58,33,3,3,78,6,1.06,0.65,1.71,0.97,1.62
