Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2. Bundesliga,4,Sun,2023-08-27,13:30 (19:30),St. Pauli,0–0,Magdeburg,29546,Millerntor-Stadion,Sven Jablonski,Match Report,
2. Bundesliga,4,Sun,2023-08-27,13:30 (19:30),Karlsruher,2–0,BTSV,23590,BBBank Wildpark,Robert Kampka,Match Report,
2. Bundesliga,4,Sun,2023-08-27,13:30 (19:30),Nürnberg,2–1,Wehen,26547,Max-Morlock-Stadion,Martin Petersen,Match Report,
,,,,,,,,,,,,
2. Bundesliga,5,Fri,2023-09-01,18:30 (00:30),Düsseldorf,3–1,Karlsruher,27942,Merkur Spielarena,Frank Willenborg,Match Report,
2. Bundesliga,5,Fri,2023-09-01,18:30 (00:30),BTSV,1–1,St. Pauli,21290,Eintracht-Stadion,Florian Lechner,Match Report,
2. Bundesliga,5,Sat,2023-09-02,13:00 (19:00),Magdeburg,6–4,Hertha BSC,26872,MDCC-Arena,Tom Bauer,Match Report,
2. Bundesliga,5,Sat,2023-09-02,13:00 (19:00),Wehen,1–1,Schalke 04,11003,BRITA-Arena,Florian Exner,Match Report,
2. Bundesliga,5,Sat,2023-09-02,13:00 (19:00),Holstein Kiel,2–1,Paderborn 07,11454,Holstein-Stadion,Wolfgang Haslberger,Match Report,
2. Bundesliga,5,Sat,2023-09-02,20:30 (02:30),Kaiserslautern,3–1,Nürnberg,43677,Fritz-Walter-Stadion,Aarne Aarnink,Match Report,
2. Bundesliga,5,Sun,2023-09-03,13:30 (19:30),Hamburger SV,2–0,Hansa Rostock,55000,Volksparkstadion,Benjamin Brand,Match Report,
2. Bundesliga,5,Sun,2023-09-03,13:30 (19:30),Osnabrück,0–1,Elversberg,14478,Stadion an der Bremer Brücke,Christian Dingert,Match Report,
2. Bundesliga,5,Sun,2023-09-03,13:30 (19:30),Greuther Fürth,1–3,Hannover 96,10091,Sportpark Ronhof Thomas Sommer,Timo Gerach,Match Report,
,,,,,,,,,,,,
2. Bundesliga,6,Fri,2023-09-15,18:30 (00:30),Nürnberg,1–1,Greuther Fürth,47000,Max-Morlock-Stadion,Robert Hartmann,Match Report,
2. Bundesliga,6,Fri,2023-09-15,18:30 (00:30),Paderborn 07,2–1,Wehen,10584,Home Deluxe Arena,Robert Kampka,Match Report,
2. Bundesliga,6,Sat,2023-09-16,13:00 (19:00),Elversberg,2–1,Hamburger SV,10150,Ursapharm-Arena an der Kaiserlinde,Patrick Schwengers,Match Report,
2. Bundesliga,6,Sat,2023-09-16,13:00 (19:00),Hansa Rostock,1–3,Düsseldorf,24600,Ostseestadion,Nicolas Winter,Match Report,
2. Bundesliga,6,Sat,2023-09-16,13:00 (19:00),Karlsruher,1–1,Kaiserslautern,33000,BBBank Wildpark,Deniz Aytekin,Match Report,
2. Bundesliga,6,Sat,2023-09-16,20:30 (02:30),Schalke 04,4–3,Magdeburg,61755,Veltins-Arena,Michael Bacher,Match Report,
2. Bundesliga,6,Sun,2023-09-17,13:30 (19:30),St. Pauli,5–1,Holstein Kiel,29546,Millerntor-Stadion,Bastian Dankert,Match Report,
2. Bundesliga,6,Sun,2023-09-17,13:30 (19:30),Hannover 96,7–0,Osnabrück,27000,Heinz-von-Heiden-Arena,Robin Braun,Match Report,
2. Bundesliga,6,Sun,2023-09-17,13:30 (19:30),Hertha BSC,3–0,BTSV,43528,Olympiastadion Berlin,Marco Fritz,Match Report,
,,,,,,,,,,,,
Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2. Bundesliga,7,Fri,2023-09-22,18:30 (00:30),Osnabrück,2–1,Hamburger SV,15741,Stadion an der Bremer Brücke,Florian Exner,Match Report,
2. Bundesliga,7,Fri,2023-09-22,18:30 (00:30),Magdeburg,1–1,Paderborn 07,24123,MDCC-Arena,Felix Brych,Match Report,
2. Bundesliga,7,Sat,2023-09-23,13:00 (19:00),Greuther Fürth,4–3,Karlsruher,11090,Sportpark Ronhof Thomas Sommer,Patrick Ittrich,Match Report,
2. Bundesliga,7,Sat,2023-09-23,13:00 (19:00),BTSV,2–2,Nürnberg,19798,Eintracht-Stadion,Florian Heft,Match Report,
2. Bundesliga,7,Sat,2023-09-23,13:00 (19:00),Wehen,0–2,Elversberg,7526,BRITA-Arena,Aarne Aarnink,Match Report,
2. Bundesliga,7,Sat,2023-09-23,20:30 (02:30),St. Pauli,3–1,Schalke 04,29546,Millerntor-Stadion,Frank Willenborg,Match Report,
2. Bundesliga,7,Sun,2023-09-24,13:30 (19:30),Düsseldorf,1–1,Hannover 96,35444,Merkur Spielarena,Florian Lechner,Match Report,
2. Bundesliga,7,Sun,2023-09-24,13:30 (19:30),Kaiserslautern,3–1,Hansa Rostock,40450,Fritz-Walter-Stadion,Martin Petersen,Match Report,
2. Bundesliga,7,Sun,2023-09-24,13:30 (19:30),Holstein Kiel,2–3,Hertha BSC,15034,Holstein-Stadion,Florian Badstübner,Match Report,
,,,,,,,,,,,,
2. Bundesliga,8,Fri,2023-09-29,18:30 (00:30),Hamburger SV,1–0,Düsseldorf,56100,Volksparkstadion,Felix Zwayer,Match Report,
2. Bundesliga,8,Fri,2023-09-29,18:30 (00:30),Paderborn 07,3–1,Schalke 04,15000,Home Deluxe Arena,Timo Gerach,Match Report,
2. Bundesliga,8,Sat,2023-09-30,13:00 (19:00),Hansa Rostock,1–0,BTSV,26500,Ostseestadion,Daniel Siebert,Match Report,
2. Bundesliga,8,Sat,2023-09-30,13:00 (19:00),Hannover 96,2–0,Wehen,31100,Heinz-von-Heiden-Arena,Nicolas Winter,Match Report,
2. Bundesliga,8,Sat,2023-09-30,13:00 (19:00),Karlsruher,0–2,Holstein Kiel,21982,BBBank Wildpark,Patrick Alt,Match Report,
2. Bundesliga,8,Sat,2023-09-30,20:30 (02:30),Hertha BSC,1–2,St. Pauli,66113,Olympiastadion Berlin,Deniz Aytekin,Match Report,
2. Bundesliga,8,Sun,2023-10-01,13:30 (19:30),Elversberg,1–1,Greuther Fürth,8042,Ursapharm-Arena an der Kaiserlinde,Tom Bauer,Match Report,
2. Bundesliga,8,Sun,2023-10-01,13:30 (19:30),Osnabrück,2–2,Kaiserslautern,15741,Stadion an der Bremer Brücke,Daniel Schlager,Match Report,
2. Bundesliga,8,Sun,2023-10-01,13:30 (19:30),Nürnberg,1–0,Magdeburg,33106,Max-Morlock-Stadion,Robin Braun,Match Report,
,,,,,,,,,,,,
2. Bundesliga,9,Fri,2023-10-06,18:30 (00:30),Kaiserslautern,3–1,Hannover 96,38000,Fritz-Walter-Stadion,Michael Bacher,Match Report,
2. Bundesliga,9,Fri,2023-10-06,18:30 (00:30),Düsseldorf,1–1,Osnabrück,33132,Merkur Spielarena,Robert Kampka,Match Report,
2. Bundesliga,9,Sat,2023-10-07,13:00 (19:00),Magdeburg,1–1,Karlsruher,24366,MDCC-Arena,Florian Lechner,Match Report,
2. Bundesliga,9,Sat,2023-10-07,13:00 (19:00),Wehen,1–1,Hamburger SV,12100,BRITA-Arena,Wolfgang Haslberger,Match Report,
2. Bundesliga,9,Sat,2023-10-07,13:00 (19:00),Greuther Fürth,1–0,Hansa Rostock,13856,Sportpark Ronhof Thomas Sommer,Alexander Sather,Match Report,
2. Bundesliga,9,Sat,2023-10-07,20:30 (02:30),St. Pauli,5–1,Nürnberg,29546,Millerntor-Stadion,Matthias Jöllenbeck,Match Report,
2. Bundesliga,9,Sun,2023-10-08,13:30 (19:30),Schalke 04,1–2,Hertha BSC,61887,Veltins-Arena,Harm Osmers,Match Report,
2. Bundesliga,9,Sun,2023-10-08,13:30 (19:30),Holstein Kiel,1–1,Elversberg,12675,Holstein-Stadion,Tobias Reichel,Match Report,
2. Bundesliga,9,Sun,2023-10-08,13:30 (19:30),BTSV,1–3,Paderborn 07,19003,Eintracht-Stadion,Florian Badstübner,Match Report,
,,,,,,,,,,,,
Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2. Bundesliga,10,Fri,2023-10-20,18:30 (00:30),Hannover 96,2–1,Magdeburg,38200,Heinz-von-Heiden-Arena,Aarne Aarnink,Match Report,
2. Bundesliga,10,Fri,2023-10-20,18:30 (00:30),Elversberg,3–0,BTSV,8713,Ursapharm-Arena an der Kaiserlinde,Robert Hartmann,Match Report,
2. Bundesliga,10,Sat,2023-10-21,13:00 (19:00),Osnabrück,0–2,Wehen,14491,Stadion an der Bremer Brücke,Patrick Schwengers,Match Report,
2. Bundesliga,10,Sat,2023-10-21,13:00 (19:00),Paderborn 07,2–2,St. Pauli,15000,Home Deluxe Arena,Martin Petersen,Match Report,
2. Bundesliga,10,Sat,2023-10-21,13:00 (19:00),Hamburger SV,2–0,Greuther Fürth,55800,Volksparkstadion,Robert Schröder,Match Report,
2. Bundesliga,10,Sat,2023-10-21,20:30 (02:30),Düsseldorf,4–3,Kaiserslautern,52000,Merkur Spielarena,Benjamin Brand,Match Report,
2. Bundesliga,10,Sun,2023-10-22,13:30 (19:30),Karlsruher,3–0,Schalke 04,33000,BBBank Wildpark,Florian Heft,Match Report,
2. Bundesliga,10,Sun,2023-10-22,13:30 (19:30),Hansa Rostock,1–3,Holstein Kiel,26000,Ostseestadion,Richard Hempel,Match Report,
2. Bundesliga,10,Sun,2023-10-22,13:30 (19:30),Nürnberg,3–1,Hertha BSC,37320,Max-Morlock-Stadion,Florian Exner,Match Report,
,,,,,,,,,,,,
2. Bundesliga,11,Fri,2023-10-27,18:30 (00:30),Greuther Fürth,4–0,Osnabrück,9978,Sportpark Ronhof Thomas Sommer,Robin Braun,Match Report,
2. Bundesliga,11,Fri,2023-10-27,18:30 (00:30),BTSV,1–4,Düsseldorf,19333,Eintracht-Stadion,Patrick Alt,Match Report,
2. Bundesliga,11,Sat,2023-10-28,13:00 (19:00),Hertha BSC,3–1,Paderborn 07,35832,Olympiastadion Berlin,Tom Bauer,Match Report,
2. Bundesliga,11,Sat,2023-10-28,13:00 (19:00),St. Pauli,2–1,Karlsruher,29125,Millerntor-Stadion,Max Burda,Match Report,
2. Bundesliga,11,Sat,2023-10-28,13:00 (19:00),Schalke 04,3–2,Hannover 96,62271,Veltins-Arena,Timo Gerach,Match Report,
2. Bundesliga,11,Sat,2023-10-28,20:30 (02:30),Kaiserslautern,3–3,Hamburger SV,49327,Fritz-Walter-Stadion,Florian Badstübner,Match Report,
2. Bundesliga,11,Sun,2023-10-29,13:30 (20:30),Magdeburg,1–2,Elversberg,22166,MDCC-Arena,Lukas Benen,Match Report,
2. Bundesliga,11,Sun,2023-10-29,13:30 (20:30),Holstein Kiel,0–2,Nürnberg,12801,Holstein-Stadion,Frank Willenborg,Match Report,
2. Bundesliga,11,Sun,2023-10-29,13:30 (20:30),Wehen,1–0,Hansa Rostock,8619,BRITA-Arena,Christian Dingert,Match Report,
,,,,,,,,,,,,
2. Bundesliga,12,Fri,2023-11-03,18:30 (01:30),Düsseldorf,1–3,Wehen,27715,Merkur Spielarena,Florian Heft,Match Report,
2. Bundesliga,12,Fri,2023-11-03,18:30 (01:30),Elversberg,0–2,St. Pauli,10150,Ursapharm-Arena an der Kaiserlinde,Alexander Sather,Match Report,
2. Bundesliga,12,Sat,2023-11-04,13:00 (20:00),Kaiserslautern,0–2,Greuther Fürth,40302,Fritz-Walter-Stadion,Felix Zwayer,Match Report,
2. Bundesliga,12,Sat,2023-11-04,13:00 (20:00),Osnabrück,1–1,Holstein Kiel,15000,Stadion an der Bremer Brücke,Patrick Ittrich,Match Report,
2. Bundesliga,12,Sat,2023-11-04,13:00 (20:00),Nürnberg,1–2,Schalke 04,50000,Max-Morlock-Stadion,Wolfgang Haslberger,Match Report,
2. Bundesliga,12,Sat,2023-11-04,20:30 (03:30),Hamburger SV,2–0,Magdeburg,56800,Volksparkstadion,Florian Exner,Match Report,
2. Bundesliga,12,Sun,2023-11-05,13:30 (20:30),Hansa Rostock,0–0,Hertha BSC,26000,Ostseestadion,Martin Petersen,Match Report,
2. Bundesliga,12,Sun,2023-11-05,13:30 (20:30),Hannover 96,2–0,BTSV,42000,Heinz-von-Heiden-Arena,Sascha Stegemann,Match Report,
2. Bundesliga,12,Sun,2023-11-05,13:30 (20:30),Karlsruher,0–3,Paderborn 07,23705,BBBank Wildpark,Patrick Schwengers,Match Report,
,,,,,,,,,,,,
Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2. Bundesliga,13,Fri,2023-11-10,18:30 (01:30),Schalke 04,1–2,Elversberg,61110,Veltins-Arena,Martin Petersen,Match Report,
2. Bundesliga,13,Fri,2023-11-10,18:30 (01:30),St. Pauli,0–0,Hannover 96,29546,Millerntor-Stadion,Richard Hempel,Match Report,
2. Bundesliga,13,Sat,2023-11-11,13:00 (20:00),Holstein Kiel,4–2,Hamburger SV,15034,Holstein-Stadion,Deniz Aytekin,Match Report,
