Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Ajax,37,25.9,57.6,34,374,3060,34.0,66,46,112,60,6,9,53,1,64.7,57.7,45.4,103.1,683,1687,1.94,1.35,3.29,1.76,3.12,1.9,1.34,3.24,1.7,3.03
Almere City,33,25.4,42.9,34,374,3060,34.0,21,18,39,21,0,0,53,3,34.1,34.1,26.3,60.4,499,1120,0.62,0.53,1.15,0.62,1.15,1.0,0.77,1.78,1.0,1.78
AZ Alkmaar,30,23.2,52.7,34,374,3060,34.0,57,43,100,55,2,2,56,4,54.6,53.2,44.4,97.5,665,1481,1.68,1.26,2.94,1.62,2.88,1.61,1.3,2.91,1.56,2.87
Feyenoord,40,24.5,57.3,34,374,3060,34.0,71,52,123,65,6,6,46,2,61.4,56.7,46.3,103.0,785,1603,2.09,1.53,3.62,1.91,3.44,1.8,1.36,3.17,1.67,3.03
Fortuna Sittard,30,26.4,44.4,34,374,3060,34.0,36,25,61,32,4,6,69,3,41.3,37.0,27.9,65.0,488,945,1.06,0.74,1.79,0.94,1.68,1.21,0.82,2.04,1.09,1.91
Go Ahead Eag,28,25.2,51.4,34,374,3060,34.0,57,45,102,55,2,2,45,2,54.4,52.9,43.8,96.6,508,1271,1.68,1.32,3.0,1.62,2.94,1.6,1.29,2.89,1.55,2.84
Groningen,29,24.4,46.9,34,374,3060,34.0,39,25,64,34,5,6,58,6,37.6,33.0,26.3,59.3,395,1160,1.15,0.74,1.88,1.0,1.74,1.11,0.77,1.88,0.97,1.74
Heerenveen,30,24.2,53.2,34,374,3060,34.0,41,27,68,36,5,6,45,2,43.3,38.6,29.4,68.0,566,1404,1.21,0.79,2.0,1.06,1.85,1.27,0.86,2.14,1.14,2.0
Heracles Almelo,24,24.4,45.4,34,374,3060,34.0,42,29,71,37,5,5,58,2,41.8,38.2,29.4,67.6,531,1040,1.24,0.85,2.09,1.09,1.94,1.23,0.87,2.09,1.12,1.99
NAC Breda,30,25.2,45.0,34,374,3060,34.0,34,22,56,31,3,3,63,5,38.8,36.4,27.9,64.3,504,1044,1.0,0.65,1.65,0.91,1.56,1.14,0.82,1.96,1.07,1.89
NEC Nijmegen,25,25.2,48.6,34,374,3060,34.0,51,31,82,48,3,3,51,3,44.7,42.3,30.7,73.1,514,1101,1.5,0.91,2.41,1.41,2.32,1.31,0.9,2.22,1.24,2.15
PSV Eindhoven,32,26.2,67.5,34,374,3060,34.0,99,85,184,97,2,4,34,1,83.0,79.8,68.6,148.4,952,2237,2.91,2.5,5.41,2.85,5.35,2.44,2.02,4.46,2.35,4.37
RKC Waalwijk,29,25.6,43.9,34,374,3060,34.0,41,24,65,38,3,3,43,7,41.3,39.0,31.1,70.2,572,1052,1.21,0.71,1.91,1.12,1.82,1.21,0.92,2.13,1.15,2.06
Sparta R'dam,29,25.0,48.9,34,374,3060,34.0,38,29,67,36,2,2,50,3,42.8,41.2,32.7,73.9,619,1350,1.12,0.85,1.97,1.06,1.91,1.26,0.96,2.22,1.21,2.17
Twente,29,25.7,53.3,34,374,3060,34.0,61,43,104,54,7,7,44,1,54.9,49.5,40.2,89.7,616,1511,1.79,1.26,3.06,1.59,2.85,1.62,1.18,2.8,1.46,2.64
Utrecht,27,26.0,46.6,34,374,3060,34.0,58,43,101,56,2,2,48,1,49.3,47.8,37.5,85.2,578,1312,1.71,1.26,2.97,1.65,2.91,1.45,1.1,2.55,1.41,2.51
Willem II,26,25.8,44.0,34,374,3060,34.0,30,18,48,27,3,3,61,3,26.5,24.3,19.2,43.5,458,977,0.88,0.53,1.41,0.79,1.32,0.78,0.57,1.35,0.71,1.28
Zwolle,26,24.3,50.2,34,374,3060,34.0,42,28,70,39,3,3,52,3,39.0,36.6,29.9,66.5,524,1244,1.24,0.82,2.06,1.15,1.97,1.15,0.88,2.02,1.08,1.96
