Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 17_level_0_Ast,Unnamed: 18_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 21_level_0_KP,Unnamed: 22_level_0_1/3,Unnamed: 23_level_0_PPA,Unnamed: 24_level_0_CrsPA,Unnamed: 25_level_0_PrgP
Ajax,37,34.0,17383,20552,84.6,294666,100137,8076,8827,91.5,7590,8482,89.5,1297,2287,56.7,46,45.4,57.7,0.6,348,1346,415,63,1687
Almere City,33,34.0,9862,13528,72.9,187519,73254,4118,4898,84.1,4183,5141,81.4,1317,2744,48.0,18,26.3,31.9,-8.3,313,953,268,98,1120
AZ Alkmaar,30,34.0,14381,17749,81.0,258299,86242,6105,6957,87.8,6568,7442,88.3,1362,2479,54.9,43,44.4,46.5,-1.4,393,1272,355,68,1481
Feyenoord,40,34.0,15171,18307,82.9,278358,91767,5939,6682,88.9,7599,8517,89.2,1400,2412,58.0,52,46.3,50.5,5.7,426,1402,318,63,1603
Fortuna Sittard,30,34.0,10186,13653,74.6,190753,69427,4238,4915,86.2,4454,5393,82.6,1224,2638,46.4,25,27.9,30.0,-2.9,250,784,204,89,945
Go Ahead Eag,28,34.0,13562,16936,80.1,246120,89637,5772,6538,88.3,6126,7024,87.2,1384,2619,52.8,45,43.8,44.6,1.2,363,1088,346,64,1271
Groningen,29,34.0,11685,15369,76.0,216679,81785,4762,5645,84.4,5369,6347,84.6,1250,2586,48.3,25,26.3,29.3,-1.3,270,1010,222,51,1160
Heerenveen,30,34.0,14138,17581,80.4,246667,87890,6400,7220,88.6,6150,7116,86.4,1263,2377,53.1,27,29.4,33.3,-2.4,330,1126,295,74,1404
Heracles Almelo,24,34.0,10636,13958,76.2,209638,79261,4081,4762,85.7,4886,5717,85.5,1439,2735,52.6,29,29.4,29.6,-0.4,278,949,197,66,1040
NAC Breda,30,34.0,11082,14526,76.3,208137,78869,4466,5222,85.5,4964,5873,84.5,1376,2628,52.4,22,27.9,29.4,-5.9,286,859,197,70,1044
NEC Nijmegen,25,34.0,12361,15869,77.9,233515,82473,4850,5605,86.5,5948,6871,86.6,1366,2692,50.7,31,30.7,35.6,0.3,304,1013,214,88,1101
PSV Eindhoven,32,34.0,19487,22971,84.8,346543,116364,8501,9371,90.7,8644,9677,89.3,1878,2856,65.8,85,68.6,79.5,16.4,551,1847,568,139,2237
RKC Waalwijk,29,34.0,11039,14220,77.6,209465,81539,4426,5085,87.0,5013,5837,85.9,1350,2570,52.5,24,31.1,31.0,-7.1,296,876,225,80,1052
Sparta R'dam,29,34.0,12927,16314,79.2,250876,89954,4857,5684,85.5,6221,7159,86.9,1614,2753,58.6,29,32.7,37.2,-3.7,369,1136,299,103,1350
Twente,29,34.0,13990,17578,79.6,250033,88212,5979,6790,88.1,6365,7379,86.3,1330,2514,52.9,43,40.2,46.1,2.8,382,1174,351,93,1511
Utrecht,27,34.0,11403,14938,76.3,216441,82416,4328,5078,85.2,5384,6418,83.9,1385,2588,53.5,43,37.5,40.6,5.5,373,958,291,90,1312
Willem II,26,34.0,11366,14589,77.9,213204,81979,4744,5420,87.5,5065,5877,86.2,1319,2569,51.3,18,19.2,23.8,-1.2,241,980,167,56,977
Zwolle,26,34.0,13070,16429,79.6,232039,85908,5690,6459,88.1,5834,6736,86.6,1236,2433,50.8,28,29.9,32.5,-1.9,291,1049,246,56,1244
