Date,Home,Away,Score,xG,xG.1,HomeGoals,AwayGoals
2025-11-02,Arouca,Moreirense,0–2,0.6,0.7,0,2
2025-11-02,Porto,Braga,2–1,0.9,0.9,2,1
2025-11-03,Gil Vicente FC,Santa Clara,1–0,0.6,0.5,1,0
,,,,,,,
2025-11-07,Estoril,Arouca,4–3,2.0,1.1,4,3
2025-11-08,Alverca,Rio Ave,1–1,1.6,0.7,1,1
2025-11-08,Tondela,Vitória,0–1,1.4,1.3,0,1
2025-11-08,Santa Clara,Sporting CP,1–2,0.6,1.2,1,2
2025-11-09,AVS Futebol,Gil Vicente FC,1–1,1.8,2.1,1,1
2025-11-09,Estrela,Nacional,1–1,2.1,1.3,1,1
2025-11-09,Famalicão,Porto,0–1,0.2,1.2,0,1
2025-11-09,Braga,Moreirense,2–1,2.2,0.8,2,1
2025-11-09,Benfica,Casa Pia,2–2,2.1,1.2,2,2
,,,,,,,
2025-11-28,Vitória,AVS Futebol,4–0,1.6,1.1,4,0
2025-11-29,Moreirense,Famalicão,2–2,1.4,2.2,2,2
2025-11-29,Casa Pia,Alverca,0–2,0.2,1.5,0,2
2025-11-29,Nacional,Benfica,1–2,0.4,2.3,1,2
2025-11-29,Gil Vicente FC,Tondela,0–1,0.5,1.0,0,1
2025-11-30,Rio Ave,Santa Clara,1–1,2.1,1.0,1,1
2025-11-30,Sporting CP,Estrela,4–0,2.4,0.1,4,0
2025-11-30,Porto,Estoril,1–0,1.3,1.0,1,0
,Home,Away,Score,,,,
2025-12-01,Arouca,Braga,0–4,0.1,2.7,0,4
,,,,,,,
2025-12-05,Benfica,Sporting CP,1–1,0.9,0.6,1,1
2025-12-06,Santa Clara,Casa Pia,1–0,1.4,0.3,1,0
2025-12-06,AVS Futebol,Rio Ave,1–2,1.6,2.3,1,2
2025-12-06,Famalicão,Braga,1–2,1.4,2.6,1,2
2025-12-07,Estoril,Moreirense,3–3,1.9,2.3,3,3
2025-12-07,Estrela,Arouca,3–1,3.0,0.6,3,1
2025-12-07,Alverca,Nacional,1–0,1.9,0.9,1,0
2025-12-07,Tondela,Porto,0–2,0.5,1.9,0,2
2025-12-08,Vitória,Gil Vicente FC,0–0,0.5,0.2,0,0
,,,,,,,
2025-12-13,Casa Pia,Gil Vicente FC,1–1,0.1,0.8,1,1
2025-12-13,Rio Ave,Vitória,0–1,0.5,1.4,0,1
2025-12-13,Sporting CP,AVS Futebol,6–0,2.6,0.6,6,0
2025-12-14,Famalicão,Estoril,4–0,3.0,0.8,4,0
2025-12-14,Moreirense,Benfica,0–4,0.5,1.0,0,4
2025-12-14,Arouca,Alverca,1–0,1.6,0.2,1,0
2025-12-15,Nacional,Tondela,3–1,2.4,3.5,3,1
2025-12-15,Braga,Santa Clara,1–0,0.8,0.6,1,0
2025-12-15,Porto,Estrela,3–1,2.8,0.2,3,1
,,,,,,,
2025-12-19,Estoril,Braga,1–0,1.9,1.9,1,0
2025-12-20,Gil Vicente FC,Rio Ave,2–2,1.2,0.3,2,2
2025-12-20,Estrela,Moreirense,0–0,0.9,1.1,0,0
2025-12-21,AVS Futebol,Nacional,2–2,1.2,1.1,2,2
2025-12-21,Tondela,Casa Pia,1–2,1.7,1.2,1,2
2025-12-21,Santa Clara,Arouca,0–0,0.5,0.4,0,0
2025-12-22,Alverca,Porto,0–3,0.8,1.2,0,3
2025-12-22,Benfica,Famalicão,1–0,1.3,0.2,1,0
2025-12-23,Vitória,Sporting CP,1–4,0.7,2.5,1,4
,,,,,,,
2025-12-27,Famalicão,Estrela,2–3,2.4,0.7,2,3
2025-12-27,Estoril,Alverca,4–1,1.5,0.8,4,1
2025-12-28,Arouca,Gil Vicente FC,2–2,1.3,1.8,2,2
2025-12-28,Casa Pia,Vitória,0–0,0.3,1.3,0,0
2025-12-28,Braga,Benfica,2–2,1.7,1.2,2,2
2025-12-28,Sporting CP,Rio Ave,4–0,3.4,0.1,4,0
2025-12-29,Porto,AVS Futebol,2–0,2.6,0.2,2,0
,,,,,,,
,Home,Away,Score,,,,
2026-01-02,Gil Vicente FC,Sporting CP,1–1,1.2,1.4,1,1
2026-01-02,Vitória,Nacional,2–1,0.9,1.5,2,1
2026-01-03,Tondela,Arouca,3–1,0.4,0.8,3,1
2026-01-03,Estrela,Braga,3–3,1.0,3.2,3,3
2026-01-03,Benfica,Estoril,3–1,2.2,0.6,3,1
2026-01-03,AVS Futebol,Moreirense,0–2,0.3,2.0,0,2
2026-01-04,Rio Ave,Casa Pia,3–1,2.7,1.9,3,1
2026-01-04,Santa Clara,Porto,0–1,0.3,1.1,0,1
2026-01-04,Alverca,Famalicão,1–0,2.1,1.1,1,0
,,,,,,,
2026-01-11,Nacional,Santa Clara,3–3,2.0,2.4,3,3
2026-01-11,Moreirense,Tondela,1–0,0.4,0.5,1,0
,,,,,,,
2026-01-16,Sporting CP,Casa Pia,,,,,
2026-01-17,Gil Vicente FC,Nacional,,,,,
2026-01-17,AVS Futebol,Arouca,,,,,
2026-01-17,Alverca,Moreirense,,,,,
2026-01-17,Rio Ave,Benfica,,,,,
2026-01-18,Santa Clara,Famalicão,,,,,
2026-01-18,Tondela,Braga,,,,,
2026-01-18,Vitória,Porto,,,,,
2026-01-19,Estrela,Estoril,,,,,
,,,,,,,
2026-01-23,Casa Pia,AVS Futebol,,,,,
2026-01-24,Moreirense,Santa Clara,,,,,
2026-01-24,Arouca,Sporting CP,,,,,
2026-01-24,Estoril,Vitória,,,,,
2026-01-25,Nacional,Rio Ave,,,,,
