Squad,TklW,Lost,Blocks,Clr
Alverca,183,109,176,487
Arouca,154,130,166,453
AVS Futebol,161,127,161,528
Benfica,170,143,148,296
Braga,125,116,165,334
Casa Pia,170,112,176,535
Estoril,156,137,149,444
Estrela,163,92,172,458
Famalicão,193,137,146,460
Gil Vicente FC,163,118,145,432
Moreirense,140,122,166,514
Nacional,155,112,228,573
Porto,151,134,217,313
Rio Ave,150,126,197,568
Santa Clara,150,111,168,492
Sporting CP,184,111,154,301
Tondela,172,163,199,497
Vitória,137,100,156,367
