Squad,Poss,PrgC,G+A-PK
Alverca,44.1,202,1.35
Arouca,49.6,160,1.71
AVS Futebol,42.5,198,1.18
Benfica,57.5,358,2.65
Braga,63.7,287,1.82
Casa Pia,45.6,163,1.53
Estoril,50.2,198,2.35
Estrela,48.2,217,2.12
Famalicão,50.9,257,1.88
Gil Vicente FC,48.8,238,2.0
Moreirense,49.9,179,2.65
Nacional,44.3,191,1.65
Porto,56.4,288,3.24
Rio Ave,45.8,236,2.0
Santa Clara,47.5,191,0.94
Sporting CP,61.8,389,4.53
Tondela,43.4,190,0.76
Vitória,49.9,248,1.65
