Squad,xAG,PrgP,KP
Alverca,11.8,428,105
Arouca,8.9,531,109
AVS Futebol,9.2,445,120
Benfica,18.2,826,196
Braga,17.6,753,169
Casa Pia,9.9,404,101
Estoril,17.0,566,156
Estrela,15.2,450,142
Famalicão,18.6,651,164
Gil Vicente FC,12.1,522,152
Moreirense,16.1,509,126
Nacional,11.9,460,136
Porto,19.3,712,169
Rio Ave,11.7,378,110
Santa Clara,10.7,506,130
Sporting CP,26.7,890,242
Tondela,12.4,502,129
Vitória,10.4,595,148
