Squad,xAG,PrgP,KP
Angers,11.8,458,114
Auxerre,12.7,531,138
Brest,16.5,496,138
Le Havre,14.1,592,135
Lens,22.6,684,178
Lille,21.2,808,190
Lorient,15.6,560,142
Lyon,19.8,649,153
Marseille,22.2,786,187
Metz,12.9,451,113
Monaco,21.4,741,160
Nantes,8.8,433,108
Nice,16.1,577,153
Paris FC,15.3,648,154
Paris S-G,23.6,999,250
Rennes,20.2,669,172
Strasbourg,19.6,693,137
Toulouse,13.2,550,150
