Squad,GF,GA,xG,xGA,Pts
Lens,31,13,32.1,23.3,40
Paris S-G,37,15,30.9,15.4,39
Marseille,36,17,30.5,20.6,32
Lille,33,22,29.6,23.0,32
Lyon,25,17,26.9,20.6,30
Rennes,29,24,25.8,25.9,30
Strasbourg,26,21,26.0,21.1,24
Toulouse,24,22,23.8,21.2,23
Monaco,27,30,31.5,28.9,23
Angers,18,20,16.7,28.2,22
Brest,23,27,26.1,24.4,22
Lorient,20,29,22.8,22.1,19
Le Havre,15,23,21.5,23.4,18
Nice,20,30,20.7,30.8,18
Paris FC,22,31,22.3,27.9,16
Nantes,16,28,16.5,28.6,14
Auxerre,14,27,20.3,24.0,12
Metz,18,38,18.2,33.2,12
