Squad,Poss,PrgC,G+A-PK
Angers,42.3,279,1.35
Auxerre,44.5,240,0.94
Brest,44.5,184,1.88
Le Havre,46.1,264,1.47
Lens,49.4,256,2.82
Lille,54.9,349,3.06
Lorient,43.5,318,1.82
Lyon,55.5,288,2.53
Marseille,59.4,298,3.29
Metz,49.1,262,1.47
Monaco,53.1,275,2.35
Nantes,42.9,241,1.29
Nice,47.5,269,1.88
Paris FC,53.6,278,1.88
Paris S-G,69.3,435,3.59
Rennes,50.9,271,2.82
Strasbourg,52.8,279,2.47
Toulouse,40.7,244,1.88
