Date,Home,Away,Score,xG,xG.1,HomeGoals,AwayGoals
2025-11-01,Auxerre,Marseille,0–1,1.2,0.5,0,1
2025-11-02,Rennes,Strasbourg,4–1,2.3,1.6,4,1
2025-11-02,Lille,Angers,1–0,2.0,0.4,1,0
2025-11-02,Nantes,Metz,0–2,0.9,1.3,0,2
2025-11-02,Lens,Lorient,3–0,2.1,1.8,3,0
2025-11-02,Toulouse,Le Havre,0–0,1.1,1.5,0,0
2025-11-02,Brest,Lyon,0–0,1.5,0.2,0,0
,,,,,,,
2025-11-07,Paris FC,Rennes,0–1,1.9,1.1,0,1
2025-11-08,Marseille,Brest,3–0,3.5,0.9,3,0
2025-11-08,Le Havre,Nantes,1–1,0.9,0.2,1,1
2025-11-08,Monaco,Lens,1–4,2.6,3.1,1,4
2025-11-09,Lorient,Toulouse,1–1,1.3,1.3,1,1
2025-11-09,Strasbourg,Lille,2–0,0.9,0.3,2,0
2025-11-09,Angers,Auxerre,2–0,0.6,0.7,2,0
2025-11-09,Metz,Nice,2–1,1.6,0.9,2,1
2025-11-09,Lyon,Paris S-G,2–3,0.7,1.4,2,3
,,,,,,,
,Home,Away,Score,,,,
2025-11-21,Nice,Marseille,1–5,1.2,2.8,1,5
2025-11-22,Lens,Strasbourg,1–0,1.9,0.6,1,0
2025-11-22,Rennes,Monaco,4–1,3.7,1.4,4,1
2025-11-22,Paris S-G,Le Havre,3–0,3.4,1.3,3,0
2025-11-23,Auxerre,Lyon,0–0,2.0,1.6,0,0
2025-11-23,Toulouse,Angers,0–1,1.9,0.4,0,1
2025-11-23,Brest,Metz,3–2,3.1,1.0,3,2
2025-11-23,Nantes,Lorient,1–1,0.8,0.3,1,1
2025-11-23,Lille,Paris FC,4–2,3.9,1.5,4,2
,,,,,,,
2025-11-28,Metz,Rennes,0–1,1.0,0.8,0,1
2025-11-29,Monaco,Paris S-G,1–0,0.6,1.3,1,0
2025-11-29,Paris FC,Auxerre,1–1,1.8,1.1,1,1
2025-11-29,Marseille,Toulouse,2–2,1.8,0.7,2,2
2025-11-30,Strasbourg,Brest,1–2,0.8,1.1,1,2
2025-11-30,Lorient,Nice,3–1,2.3,0.9,3,1
