Squad,TklW,Lost,Blocks,Clr
Angers,203,111,197,431
Auxerre,185,105,168,356
Brest,196,149,180,394
Le Havre,146,121,183,453
Lens,192,145,235,387
Lille,149,106,169,363
Lorient,157,105,132,414
Lyon,133,103,171,400
Marseille,130,105,142,300
Metz,174,128,165,383
Monaco,171,143,223,373
Nantes,153,101,178,501
Nice,144,119,180,466
Paris FC,150,86,144,423
Paris S-G,156,98,159,231
Rennes,159,106,189,394
Strasbourg,157,117,172,353
Toulouse,163,103,160,438
