Date,Home,Away,Score,HomeGoals,AwayGoals
2025-12-30,Al-Ahli,Al-Fayha,2–0,2,0
2025-12-30,Al Okhdood SC,Damac,0–1,0,1
2025-12-30,Al-Ettifaq,Al-Nassr,2–2,2,2
2025-12-31,Al Suqoor Saudi Club,Al-Ittihad,1–3,1,3
2025-12-31,Al-Shabab,Al-Qadsiah,2–3,2,3
2025-12-31,Al Kholood Saudi Club,Al-Hilal,1–3,1,3
,,,,,
2026-01-02,Al-Najma,Al-Khaleej,2–2,2,2
2026-01-02,Al-Ettifaq,Al Okhdood SC,2–0,2,0
2026-01-02,Al-Ahli,Al-Nassr,3–2,3,2
2026-01-03,Al-Fateh,Al-Shabab,2–0,2,0
2026-01-03,Al-Fayha,Al Kholood Saudi Club,0–5,0,5
2026-01-03,Al-Ittihad,Al-Taawoun,1–0,1,0
2026-01-04,Al-Hazem,Al Suqoor Saudi Club,1–2,1,2
2026-01-04,Al-Qadsiah,Al-Riyadh SC,4–0,4,0
2026-01-04,Damac,Al-Hilal,0–2,0,2
,,,,,
,Home,Away,Score,,
2026-01-08,Al-Hilal,Al-Hazem,3–0,3,0
2026-01-08,Al-Najma,Al-Ettifaq,3–4,3,4
2026-01-08,Al-Nassr,Al-Qadsiah,1–2,1,2
2026-01-09,Al-Khaleej,Damac,4–0,4,0
2026-01-09,Al-Taawoun,Al-Shabab,2–0,2,0
2026-01-09,Al Kholood Saudi Club,Al-Ittihad,0–4,0,4
2026-01-10,Al Suqoor Saudi Club,Al-Fateh,0–1,0,1
2026-01-10,Al-Riyadh SC,Al-Fayha,1–1,1,1
2026-01-10,Al Okhdood SC,Al-Ahli,0–1,0,1
,,,,,
2026-01-12,Al-Hazem,Al-Najma,3–2,3,2
2026-01-12,Al-Hilal,Al-Nassr,3–1,3,1
2026-01-12,Al-Ettifaq,Al-Khaleej,1–2,1,2
2026-01-13,Al Okhdood SC,Al Kholood Saudi Club,1–0,1,0
2026-01-13,Damac,Al-Ittihad,1–1,1,1
2026-01-13,Al-Fateh,Al-Riyadh SC,3–1,3,1
2026-01-14,Al-Qadsiah,Al-Fayha,5–0,5,0
2026-01-14,Al-Shabab,Al Suqoor Saudi Club,3–2,3,2
2026-01-14,Al-Ahli,Al-Taawoun,2–1,2,1
,,,,,
2026-01-16,Al-Najma,Al-Fateh,,,
2026-01-16,Al-Khaleej,Al Okhdood SC,,,
2026-01-16,Al-Ittihad,Al-Ettifaq,,,
2026-01-17,Al-Fayha,Damac,,,
2026-01-17,Al Kholood Saudi Club,Al-Ahli,,,
2026-01-17,Al-Nassr,Al-Shabab,,,
2026-01-18,Al-Hazem,Al-Qadsiah,,,
2026-01-18,Al Suqoor Saudi Club,Al-Hilal,,,
2026-01-18,Al-Riyadh SC,Al-Taawoun,,,
,,,,,
2026-01-20,Al-Shabab,Al-Najma,,,
2026-01-20,Al-Ahli,Al-Khaleej,,,
2026-01-20,Al-Fateh,Al Kholood Saudi Club,,,
2026-01-21,Al Okhdood SC,Al-Riyadh SC,,,
2026-01-21,Damac,Al-Nassr,,,
2026-01-21,Al-Ettifaq,Al Suqoor Saudi Club,,,
2026-01-22,Al-Taawoun,Al-Hazem,,,
2026-01-22,Al-Hilal,Al-Fayha,,,
2026-01-22,Al-Qadsiah,Al-Ittihad,,,
,,,,,
,Home,Away,Score,,
2026-01-24,Al-Khaleej,Al-Shabab,,,
2026-01-24,Al Kholood Saudi Club,Al-Ettifaq,,,
2026-01-24,Al Suqoor Saudi Club,Al-Ahli,,,
2026-01-25,Al-Najma,Al-Qadsiah,,,
2026-01-25,Al-Riyadh SC,Al-Hilal,,,
2026-01-25,Al-Fayha,Al-Fateh,,,
2026-01-26,Al-Hazem,Damac,,,
2026-01-26,Al-Ittihad,Al Okhdood SC,,,
2026-01-26,Al-Nassr,Al-Taawoun,,,
,,,,,
2026-01-28,Al-Najma,Al-Riyadh SC,,,
2026-01-28,Al-Fayha,Al-Khaleej,,,
2026-01-28,Al-Ahli,Al-Ettifaq,,,
2026-01-29,Al-Fateh,Al-Ittihad,,,
2026-01-29,Al-Qadsiah,Al-Hilal,,,
2026-01-29,Al-Hazem,Al-Shabab,,,
2026-01-30,Al-Taawoun,Al Okhdood SC,,,
2026-01-30,Al Suqoor Saudi Club,Damac,,,
2026-01-30,Al Kholood Saudi Club,Al-Nassr,,,
,,,,,
2026-02-01,Al-Shabab,Al-Fayha,,,
2026-02-01,Al-Fateh,Al-Hazem,,,
2026-02-01,Al-Ittihad,Al-Najma,,,
2026-02-02,Al-Riyadh SC,Al-Nassr,,,
2026-02-02,Al Okhdood SC,Al Suqoor Saudi Club,,,
2026-02-02,Al-Hilal,Al-Ahli,,,
2026-02-03,Damac,Al Kholood Saudi Club,,,
2026-02-03,Al-Ettifaq,Al-Taawoun,,,
2026-02-03,Al-Khaleej,Al-Qadsiah,,,
,,,,,
2026-02-05,Al-Fayha,Al-Najma,,,
2026-02-05,Al Okhdood SC,Al-Hilal,,,
2026-02-05,Al-Ahli,Al-Hazem,,,
2026-02-06,Al Suqoor Saudi Club,Al-Riyadh SC,,,
2026-02-06,Al-Ettifaq,Damac,,,
2026-02-06,Al-Nassr,Al-Ittihad,,,
2026-02-07,Al Kholood Saudi Club,Al-Shabab,,,
2026-02-07,Al-Taawoun,Al-Khaleej,,,
2026-02-07,Al-Qadsiah,Al-Fateh,,,
,,,,,
,Home,Away,Score,,
2026-02-12,Damac,Al-Taawoun,,,
2026-02-12,Al-Hazem,Al Okhdood SC,,,
2026-02-12,Al-Qadsiah,Al Suqoor Saudi Club,,,
2026-02-13,Al-Shabab,Al-Ahli,,,
2026-02-13,Al-Hilal,Al-Ettifaq,,,
2026-02-13,Al-Ittihad,Al-Fayha,,,
2026-02-14,Al-Riyadh SC,Al-Khaleej,,,
2026-02-14,Al-Najma,Al Kholood Saudi Club,,,
2026-02-14,Al-Fateh,Al-Nassr,,,
,,,,,
2026-02-22,Al-Shabab,Al-Riyadh SC,,,
2026-02-22,Damac,Al-Ahli,,,
2026-02-22,Al-Qadsiah,Al-Ettifaq,,,
2026-02-22,Al-Fateh,Al Okhdood SC,,,
2026-02-22,Al-Fayha,Al Suqoor Saudi Club,,,
2026-02-22,Al-Taawoun,Al-Hilal,,,
2026-02-22,Al-Khaleej,Al Kholood Saudi Club,,,
2026-02-22,Al-Najma,Al-Nassr,,,
2026-02-22,Al-Hazem,Al-Ittihad,,,
