Squad,GF,GA,Pts
Al-Hilal,38,13,38
Al-Ahli,21,11,31
Al-Nassr,39,15,31
Al-Taawoun,30,16,31
Al-Qadsiah,31,13,30
Al-Ittihad,28,17,27
Al-Ettifaq,24,25,22
Al-Khaleej,32,22,21
Al-Fateh,19,23,20
Al Suqoor Saudi Club,20,23,20
Al-Hazem,14,22,16
Al-Fayha,12,26,13
Al Kholood Saudi Club,19,27,12
Al-Shabab,12,22,11
Damac,11,25,10
Al-Riyadh SC,13,31,9
Al Okhdood SC,10,25,8
Al-Najma,15,32,2
