Squad,Poss,G+A-PK
Al Kholood Saudi Club,47.1,1.64
Al Okhdood SC,41.8,1.36
Al Suqoor Saudi Club,52.7,2.07
Al-Ahli,49.5,2.29
Al-Ettifaq,51.0,2.64
Al-Fateh,44.1,1.93
Al-Fayha,46.9,1.5
Al-Hazem,47.5,1.43
Al-Hilal,59.4,4.07
Al-Ittihad,63.2,3.21
Al-Khaleej,51.3,3.71
Al-Najma,46.0,1.21
Al-Nassr,60.1,4.57
Al-Qadsiah,58.6,3.14
Al-Riyadh SC,40.8,1.43
Al-Shabab,44.2,0.79
Al-Taawoun,50.0,3.21
Damac,46.6,0.93
