Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP
1,Köln,17,9,4,4,33,18,15,31,1.82,17,9,3,5,20,20,0,30,1.76
2,Hamburger SV,17,8,7,2,44,20,24,31,1.82,17,8,4,5,34,24,10,28,1.65
3,Elversberg,17,9,3,5,39,25,14,30,1.76,17,7,7,3,25,12,13,28,1.65
4,Paderborn 07,17,8,3,6,30,23,7,27,1.59,17,7,7,3,26,23,3,28,1.65
5,Magdeburg,17,5,7,5,28,29,-1,22,1.29,17,9,4,4,36,23,13,31,1.82
6,Düsseldorf,17,7,5,5,29,27,2,26,1.53,17,7,6,4,28,25,3,27,1.59
7,Kaiserslautern,17,9,5,3,34,22,12,32,1.88,17,6,3,8,22,33,-11,21,1.24
8,Karlsruher,17,9,4,4,31,24,7,31,1.82,17,5,6,6,26,31,-5,21,1.24
9,Hannover 96,17,8,7,2,23,15,8,31,1.82,17,5,5,7,18,21,-3,20,1.18
10,Nürnberg,17,8,2,7,30,28,2,26,1.53,17,6,4,7,30,29,1,22,1.29
11,Hertha BSC,17,4,5,8,20,24,-4,17,1.0,17,8,3,6,29,27,2,27,1.59
12,Darmstadt 98,17,8,4,5,29,20,9,28,1.65,17,3,5,9,27,35,-8,14,0.82
13,Greuther Fürth,17,6,5,6,26,30,-4,23,1.35,17,4,4,9,19,29,-10,16,0.94
14,Schalke 04,17,6,3,8,31,35,-4,21,1.24,17,4,5,8,21,27,-6,17,1.0
15,Preußen Münster,17,4,7,6,17,17,0,19,1.12,17,4,5,8,23,26,-3,17,1.0
16,BTSV,17,6,5,6,22,26,-4,23,1.35,17,2,6,9,16,38,-22,12,0.71
17,Ulm,17,4,5,8,21,22,-1,17,1.0,17,2,7,8,15,26,-11,13,0.76
18,Jahn R'burg,17,6,5,6,14,19,-5,23,1.35,17,0,2,15,9,52,-43,2,0.12
