Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
BTSV,29,34.0,90,4,2,390,382,38,594,356,361,,,1
Darmstadt 98,27,34.0,84,4,2,377,418,55,653,277,346,,,2
Düsseldorf,32,34.0,89,3,1,335,335,39,660,275,314,,,1
Elversberg,23,34.0,69,3,2,351,418,44,533,289,382,,,0
Greuther Fürth,32,34.0,73,3,2,376,417,63,560,324,325,,,0
Hamburger SV,32,34.0,85,5,4,421,340,56,689,258,347,,,1
Hannover 96,24,34.0,83,4,2,458,439,60,741,279,344,,,0
Hertha BSC,29,34.0,84,2,1,442,344,75,714,335,402,,,0
Jahn R'burg,30,34.0,78,4,1,480,410,65,613,310,422,,,2
Kaiserslautern,31,34.0,81,1,1,418,437,50,596,302,379,,,0
Karlsruher,29,34.0,86,0,0,378,351,47,678,292,359,,,0
Köln,32,34.0,73,1,1,416,341,75,742,310,362,,,3
Magdeburg,29,34.0,85,4,4,384,369,65,504,287,317,,,2
Nürnberg,36,34.0,85,3,1,369,432,47,429,277,427,,,2
Paderborn 07,31,34.0,68,5,1,413,348,56,814,274,286,,,2
Preußen Münster,27,34.0,101,0,0,460,390,53,610,321,347,,,0
Schalke 04,35,34.0,83,5,4,370,349,49,678,319,315,,,0
Ulm,28,34.0,88,4,2,400,440,44,502,309,402,,,2
