match_id,match_num,jc_date,league_name_jc,home_team_cn,away_team_cn,full_score_raw,half_score_raw,hcp_sp_home_now,hcp_sp_draw_now,hcp_sp_away_now,hcp_line_now,bettingSingle,poolStatus,hcp_p_home_now,hcp_p_draw_now,hcp_p_away_now,hcp_p_home_minus_away_now,home_team_fbref,away_team_fbref,home_GF,home_GA,home_xG,home_xGA,home_Pts,home_Home.xG,home_Home.xGA,home_Away.xG,home_Away.xGA,home_def_strength,home_off_buildup,home_tempo,away_GF,away_GA,away_xG,away_xGA,away_Pts,away_Home.xG,away_Home.xGA,away_Away.xG,away_Away.xGA,away_def_strength,away_off_buildup,away_tempo,tempo_diff,bonus_isCancel,spf_sp_home_open,spf_sp_draw_open,spf_sp_away_open,spf_sp_home_close,spf_sp_draw_close,spf_sp_away_close,spf_p_home_close,spf_p_draw_close,spf_p_away_close,spf_p_home_minus_away_close,hcp_sp_home_open,hcp_sp_draw_open,hcp_sp_away_open,hcp_line_open,hcp_sp_home_close,hcp_sp_draw_close,hcp_sp_away_close,hcp_line_close,hcp_p_home_close,hcp_p_draw_close,hcp_p_away_close,hcp_p_home_minus_away_close,bonus_score,home_team_short_name,away_team_short_name,home_goal_avg_cnt,away_goal_avg_cnt,home_goal_avg_ratio,away_goal_avg_ratio,home_loss_goal_avg_cnt,away_loss_goal_avg_cnt,home_loss_goal_avg_ratio,away_loss_goal_avg_ratio,home_win_cnt,home_draw_cnt,home_loss_cnt,away_win_cnt,away_draw_cnt,away_loss_cnt,home_score_ratio,away_score_ratio,total_leg_cnt,same_home_win_cnt,same_home_draw_cnt,same_home_loss_cnt,same_away_win_cnt,same_away_draw_cnt,same_away_loss_cnt,same_home_score_ratio,same_away_score_ratio,home_win_rate,away_win_rate,home_away_goal_diff,home_away_loss_goal_diff,home_goals,away_goals,goal_diff,total_goals,result_1x2,ou25_result
1029699,7006,2025-01-26,英格兰超级联赛,托特纳姆热刺,莱切斯特城,1:2,1:0,1.38,4.7,5.2,-1.0,0,Payout,0.6414361450842476,0.18833657025877906,0.17022728465697337,0.4712088604272743,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.4,4.6,5.05,1.38,4.7,5.2,0.6414361450842476,0.18833657025877906,0.17022728465697337,0.4712088604272743,2.14,3.85,2.5,-1.0,2.07,3.96,2.54,-1.0,0.42777309959427395,0.22360866569700683,0.3486182347087193,0.07915486488555468,1:2,热刺,莱切斯特,1.7,1.3,56.7,43.3,2.1,2.3,47.7,52.3,3,2,5,2,1,7,37.0,23.0,10,3,3,4,1,2,7,40.0,17.0,0.3,0.2,0.3999999999999999,-0.19999999999999973,1.0,2.0,-1.0,3.0,A,1.0
1029698,7005,2025-01-26,西班牙甲级联赛,巴列卡诺,赫罗纳,2:1,0:0,2.35,2.95,2.75,-1.0,0,Payout,0.3771940020922934,0.30047657793792865,0.32232941996977804,0.05486458212251538,Rayo Vallecano,Girona,16.0,22.0,26.2,23.9,22.0,13.5,7.9,12.6,16.0,0.9047063505165301,0.16548971150617564,-0.15098684129832377,18.0,34.0,20.7,32.4,21.0,10.4,18.1,10.4,14.3,-0.7159121428716924,-1.1214970414323642,-0.3811134633527284,0.23012662205440462,0.0,2.47,2.95,2.6,2.35,2.95,2.75,0.3771940020922934,0.30047657793792865,0.32232941996977804,0.05486458212251538,5.85,4.05,1.41,-1.0,5.55,3.85,1.45,-1.0,0.1595113936709765,0.2299449960711479,0.6105436102578755,-0.451032216586899,2:1,巴列卡诺,赫罗纳,1.7,0.8,68.0,32.0,1.5,1.2,55.6,44.4,4,4,2,2,2,6,53.0,27.0,10,3,3,4,3,2,5,40.0,37.0,0.4,0.2,0.8999999999999999,0.30000000000000004,2.0,1.0,1.0,3.0,H,1.0
1029697,7004,2025-01-26,德国乙级联赛,汉诺威96,明斯特普鲁士,2:2,1:1,1.54,3.68,4.8,-1.0,0,Payout,0.5749401104051661,0.2405999375065097,0.18445995208832414,0.390480158316842,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.54,3.75,4.7,1.54,3.68,4.8,0.5749401104051661,0.2405999375065097,0.18445995208832414,0.390480158316842,2.7,3.4,2.15,-1.0,2.7,3.4,2.15,-1.0,0.32787620542722584,0.2603722807804441,0.41175151379233016,-0.08387530836510432,2:2,汉诺威96,明斯特,1.1,0.8,57.9,42.1,1.4,0.9,60.9,39.1,3,3,4,3,4,3,40.0,43.0,10,5,2,3,2,3,5,57.0,30.0,0.3,0.3,0.30000000000000004,0.4999999999999999,2.0,2.0,0.0,4.0,D,1.0
1029696,7003,2025-01-26,意大利甲级联赛,AC米兰,帕尔马,3:2,1:1,1.18,5.75,9.25,-1.0,0,Payout,0.7503085875506965,0.1539763710104038,0.09571504143889967,0.6545935461117969,Milan,Parma,30.0,15.0,30.3,21.0,40.0,18.0,10.8,12.3,10.2,-2.4249696273830685,0.6834577357357242,0.7660705362517983,14.0,22.0,18.0,24.4,22.0,8.7,14.0,9.3,10.4,0.006155520184692114,-1.8533982114135523,-2.4790078289661874,3.245078365217986,0.0,1.23,5.3,7.8,1.18,5.75,9.25,0.7503085875506965,0.1539763710104038,0.09571504143889967,0.6545935461117969,1.73,3.95,3.35,-1.0,1.64,3.95,3.77,-1.0,0.5404811939475107,0.22440231849972594,0.23511648755276332,0.3053647063947474,3:2,AC米兰,帕尔马,1.3,1.2,52.0,48.0,0.9,1.9,32.1,67.9,6,3,1,3,2,5,70.0,37.0,10,5,4,1,1,5,4,63.0,27.0,0.6,0.3,0.10000000000000009,-0.9999999999999999,3.0,2.0,1.0,5.0,H,1.0
1029695,7002,2025-01-26,荷兰甲级联赛,福图纳锡塔德,兹沃勒,1:4,0:2,1.92,3.25,3.35,-1.0,0,Payout,0.4621278040705449,0.2730108873278296,0.26486130860162566,0.19726649546891922,Fortuna Sittard,Zwolle,27.0,31.0,23.3,31.0,22.0,15.7,14.0,7.7,17.1,0.035561605440864376,-1.0679993288545553,-0.26448907428939694,22.0,39.0,19.1,35.3,20.0,8.5,10.8,10.5,24.4,0.9304897926738512,-1.8485591967287947,-1.5599256137162871,1.2954365394268903,0.0,1.92,3.25,3.35,1.92,3.25,3.35,0.4621278040705449,0.2730108873278296,0.26486130860162566,0.19726649546891922,3.95,3.65,1.66,-1.0,3.95,3.65,1.66,-1.0,0.22412932102761382,0.24255090905728074,0.5333197699151053,-0.3091904488874915,1:4,福图纳,兹沃勒,1.6,1.2,57.1,42.9,2.4,1.1,68.6,31.4,2,2,6,3,4,3,27.0,43.0,10,6,0,4,0,6,4,60.0,20.0,0.2,0.3,0.40000000000000013,1.2999999999999998,1.0,4.0,-3.0,5.0,A,1.0
1029694,7001,2025-01-26,澳大利亚超级联赛,西悉尼漫步者,奥克兰FC,0:1,0:0,2.52,3.5,2.24,-1.0,0,Payout,0.35149384885764495,0.2530755711775044,0.3954305799648506,-0.04393673110720564,,Auckland FC,,,,,,,,,,,,,18.0,11.0,,,24.0,,,,,-0.4217620557638856,,0.45532584518884966,,0.0,2.28,3.42,2.51,2.52,3.5,2.24,0.35149384885764495,0.2530755711775044,0.3954305799648506,-0.04393673110720564,4.68,4.25,1.47,-1.0,5.35,4.5,1.39,-1.0,0.16562297274039162,0.1969073120357989,0.6374697152238095,-0.47184674248341785,0:1,西悉尼,奥克兰FC,2.4,1.6,60.0,40.0,1.9,1.1,63.3,36.7,5,2,3,5,3,2,57.0,60.0,10,4,1,4,4,3,2,48.0,56.0,0.5,0.5,0.7999999999999998,0.7999999999999998,0.0,1.0,-1.0,1.0,A,0.0
1029693,6021,2025-01-26,法国甲级联赛,巴黎圣日尔曼,兰斯,1:1,0:0,1.12,6.55,12.0,-2.0,0,Payout,0.7909354371276767,0.13524392207374014,0.07382064079858316,0.7171147963290935,Paris S G,Reims,,,,,,,,,,,,,34.0,21.0,,,32.0,,,,,0.09963217039054414,,1.181595785772556,,0.0,1.15,6.1,10.5,1.12,6.55,12.0,0.7909354371276767,0.13524392207374014,0.07382064079858316,0.7171147963290935,2.6,4.0,2.02,-2.0,2.25,3.95,2.32,-2.0,0.39378639107921704,0.22430870377930082,0.38190490514148207,0.01188148593773497,1:1,巴黎圣曼,兰斯,2.4,1.2,66.7,33.3,1.0,1.3,43.5,56.5,8,2,0,2,5,3,87.0,37.0,10,7,2,1,4,2,4,77.0,47.0,0.8,0.2,1.2,-0.30000000000000004,1.0,1.0,0.0,2.0,D,0.0
1029692,6020,2025-01-26,西班牙甲级联赛,巴利亚多利德,皇家马德里,0:3,0:1,10.5,6.1,1.15,2.0,0,Payout,0.08437575174404617,0.14523694972335818,0.7703872985325956,-0.6860115467885494,,Real Madrid,,,,,,,,,,,,,41.0,17.0,44.7,21.7,45.0,21.9,8.8,22.8,12.9,-0.9036247937847237,3.972631978679345,3.2861036018857277,,0.0,10.0,6.0,1.16,10.5,6.1,1.15,0.08437575174404617,0.14523694972335818,0.7703872985325956,-0.6860115467885494,1.98,4.1,2.63,2.0,2.11,4.1,2.43,2.0,0.4196484606992878,0.21596542733548715,0.36438611196522513,0.05526234873406266,0:3,巴利亚多,皇马,1.0,3.3,23.3,76.7,1.9,1.5,55.9,44.1,3,1,6,7,2,1,33.0,77.0,10,3,3,4,6,1,3,40.0,63.0,0.3,0.7,-2.3,0.3999999999999999,0.0,3.0,-3.0,3.0,A,1.0
1029691,6019,2025-01-26,葡萄牙超级联赛,卡萨皮亚,本菲卡,3:1,1:1,7.0,4.5,1.31,1.0,0,Payout,0.1265972296789434,0.19692902394502307,0.6764737463760334,-0.54987651669709,Casa Pia,Benfica,17.0,32.0,14.3,28.5,14.0,4.8,13.1,9.5,15.4,-1.101114159519189,-2.8693751824996165,-2.18514297445106,36.0,11.0,31.0,12.6,39.0,18.6,5.9,12.4,6.6,-2.003842902305884,0.6400774830302276,1.6029453410627794,-3.7880883155138396,0.0,7.0,4.75,1.29,7.0,4.5,1.31,0.1265972296789434,0.19692902394502307,0.6764737463760334,-0.54987651669709,2.9,3.45,2.02,1.0,2.88,3.45,2.03,1.0,0.30736113122588965,0.25657972693639486,0.43605914183771544,-0.12869801061182579,3:1,卡萨皮亚,本菲卡,1.7,2.2,43.6,56.4,1.2,1.1,52.2,47.8,5,3,2,5,2,3,60.0,57.0,10,4,4,2,6,2,2,53.0,67.0,0.5,0.5,-0.5000000000000002,0.09999999999999987,3.0,1.0,2.0,4.0,H,1.0
1029690,6018,2025-01-26,荷兰甲级联赛,PSV埃因霍温,布雷达,3:2,2:1,,,,-2.0,0,,,,,,PSV Eindhoven,NAC Breda,57.0,22.0,37.8,22.0,49.0,22.1,11.7,15.7,10.3,-0.19793722423802576,3.3786499988057623,4.73074817337677,16.0,26.0,22.9,30.6,14.0,13.4,10.8,9.5,19.8,-1.236569667381093,-0.22915481561421147,-0.4963222933091015,5.227070466685872,0.0,,,,,,,,,,,1.8,4.2,2.98,-2.0,1.77,4.2,3.06,-2.0,0.5000350164577352,0.21072904265004552,0.2892359408922194,0.2107990755655158,3:2,埃因霍温,布雷达,3.1,1.4,68.9,31.1,1.5,1.8,45.5,54.5,5,2,3,4,1,5,57.0,43.0,10,8,2,0,3,1,6,87.0,33.0,0.5,0.4,1.7000000000000002,-0.30000000000000004,3.0,2.0,1.0,5.0,H,1.0
1029689,6017,2025-01-26,英格兰超级联赛,曼彻斯特城,切尔西,3:1,1:1,1.98,3.75,2.8,-1.0,1,Payout,0.44739869615237116,0.23622651156845198,0.31637479227917675,0.1310239038731944,Manchester City,Chelsea,45.0,19.0,39.6,23.1,43.0,22.9,11.4,16.6,11.7,-1.0570032572990145,2.8751901798910358,4.107507860148099,34.0,24.0,36.8,28.4,31.0,18.1,13.5,18.7,15.0,-0.45750316812556285,2.0495860241461874,2.2146663616158255,1.892841498532274,0.0,1.8,3.9,3.15,1.98,3.75,2.8,0.44739869615237116,0.23622651156845198,0.31637479227917675,0.1310239038731944,3.15,4.0,1.78,-1.0,3.7,4.15,1.62,-1.0,0.23949130806497576,0.213522371045882,0.5469863208891422,-0.30749501282416647,3:1,曼城,切尔西,2.7,2.2,55.1,44.9,1.4,1.1,56.0,44.0,4,2,4,5,3,2,47.0,60.0,10,6,2,2,5,3,2,67.0,60.0,0.4,0.5,0.5,0.2999999999999998,3.0,1.0,2.0,4.0,H,1.0
1029688,6016,2025-01-26,意大利甲级联赛,那不勒斯,尤文图斯,2:1,0:1,2.35,2.75,2.95,-1.0,1,Payout,0.37719400209229337,0.322329419969778,0.3004765779379286,0.07671742415436478,Napoli,Juventus,30.0,17.0,27.5,20.2,40.0,10.6,9.2,16.9,11.0,-3.5627896190213106,0.3213164840475242,1.5547628198166157,32.0,16.0,33.1,16.7,39.0,19.8,8.4,13.3,8.3,-2.6373978229686323,1.9388162819583765,2.57955773684557,-1.0247949170289545,0.0,1.87,2.98,3.87,2.35,2.75,2.95,0.37719400209229337,0.322329419969778,0.3004765779379286,0.07671742415436478,4.2,3.3,1.7,-1.0,5.75,3.85,1.44,-1.0,0.15416487076456767,0.23024623555747117,0.6155888936779612,-0.46142402291339357,2:1,那不勒斯,尤文图斯,1.7,1.7,50.0,50.0,0.8,0.9,47.1,52.9,8,0,2,4,5,1,80.0,57.0,10,8,0,2,2,8,0,80.0,47.0,0.8,0.4,0.0,-0.09999999999999998,2.0,1.0,1.0,3.0,H,1.0
