hcp_sp_home_now,hcp_sp_draw_now,hcp_sp_away_now,hcp_line_now,hcp_p_home_now,hcp_p_draw_now,hcp_p_away_now,hcp_p_home_minus_away_now,home_GF,home_GA,home_xG,home_xGA,home_Pts,home_Home.xG,home_Home.xGA,home_Away.xG,home_Away.xGA,home_def_strength,home_off_buildup,home_tempo,away_GF,away_GA,away_xG,away_xGA,away_Pts,away_Home.xG,away_Home.xGA,away_Away.xG,away_Away.xGA,away_def_strength,away_off_buildup,away_tempo,tempo_diff,bonus_isCancel,spf_sp_home_open,spf_sp_draw_open,spf_sp_away_open,spf_sp_home_close,spf_sp_draw_close,spf_sp_away_close,spf_p_home_close,spf_p_draw_close,spf_p_away_close,spf_p_home_minus_away_close,hcp_sp_home_open,hcp_sp_draw_open,hcp_sp_away_open,hcp_line_open,hcp_sp_home_close,hcp_sp_draw_close,hcp_sp_away_close,hcp_line_close,hcp_p_home_close,hcp_p_draw_close,hcp_p_away_close,hcp_p_home_minus_away_close,home_team_short_name,away_team_short_name,home_goal_avg_cnt,away_goal_avg_cnt,home_goal_avg_ratio,away_goal_avg_ratio,home_loss_goal_avg_cnt,away_loss_goal_avg_cnt,home_loss_goal_avg_ratio,away_loss_goal_avg_ratio,home_win_cnt,home_draw_cnt,home_loss_cnt,away_win_cnt,away_draw_cnt,away_loss_cnt,home_score_ratio,away_score_ratio,total_leg_cnt,same_home_win_cnt,same_home_draw_cnt,same_home_loss_cnt,same_away_win_cnt,same_away_draw_cnt,same_away_loss_cnt,same_home_score_ratio,same_away_score_ratio,home_win_rate,away_win_rate,home_away_goal_diff,home_away_loss_goal_diff,result_1x2,is_betting_available,is_fbref_available,home_away_goal_avg_diff,win_rate_diff,prob_home,prob_draw,prob_away,hcp_prob_home,hcp_prob_draw,hcp_prob_away,xg_diff,def_strength_diff,off_buildup_diff,league_encoded,month,day_of_week,is_weekend,pred_home_prob,pred_draw_prob,pred_away_prob,ev_home,kelley_home,ev_draw,kelley_draw,ev_away,kelley_away,has_value_bet,betting_recommendation,stake,return,capital
1.12,6.55,12.0,-2.0,0.7909354371276767,0.1352439220737401,0.0738206407985831,0.7171147963290935,53.0,20.0,43.3,24.9,49.0,21.7,7.5,21.6,17.4,-1.7868204327715036,3.6908188826724007,5.111895867056881,28.0,24.0,26.653795379537954,24.3,29.0,15.7,10.8,12.4,12.9,0.20862255929425097,0.0293944331178513,0.4232460222864829,0.0161686826058537,0.0,1.15,6.0,11.0,1.12,6.55,12.0,0.7909354371276767,0.1352439220737401,0.0738206407985831,0.7171147963290935,2.45,4.1,2.1,-2.0,2.29,4.05,2.25,-2.0,0.3871152743261326,0.2188874020263811,0.3939973236474861,-0.0068820493213534,巴萨,巴伦西亚,2.8,1.3,68.3,31.7,1.5,0.9,62.5,37.5,6,2,2,4,3,3,67.0,50.0,10,7,0,3,4,4,2,70.0,53.0,0.6,0.4,1.4999999999999998,0.6,H,True,False,1.4999999999999998,0.19999999999999996,0.000197324495592649,6.152917200093104e-05,2.6638450224431787e-05,0.00012171644981169546,9.90346012196355e-05,0.00010964466500226054,16.646204620462044,-1.9954429920657546,0.1173644058004617,50,1,0,0,0.004255065,0.0065691457,0.98917574,-0.97532964040488,0.0,-0.9378326536682434,0.0,10.652706665992737,0.9881917129863392,True,"客胜 (EV:10.6527, 凯利:0.9882)",100.0,-100.0,9900.0
2.44,3.35,2.38,1.0,0.3631651346894899,0.2645143070574195,0.3723205582530905,-0.0091554235636006,20.0,30.0,20.7,30.8,18.0,12.8,13.9,7.8,16.9,-1.3499256820616,-0.972822270651911,-0.8212259696569422,36.0,17.0,30.5,20.6,32.0,18.9,10.8,11.7,9.8,-3.3215669665944167,0.8049680712374939,1.767794329170466,-2.589020298827408,0.0,2.5,3.35,2.32,2.44,3.35,2.38,0.3631651346894899,0.2645143070574195,0.3723205582530905,-0.0091554235636006,1.45,4.25,4.9,1.0,1.42,4.3,5.2,1.0,0.6237099023709902,0.2059693165969316,0.170320781032078,0.4533891213389122,尼斯,马赛,1.6,2.2,42.1,57.9,1.7,1.0,63.0,37.0,4,2,4,6,3,1,47.0,70.0,10,5,4,1,9,0,1,63.0,90.0,0.4,0.6,-0.6000000000000001,0.7,H,True,True,-0.6000000000000001,-0.19999999999999996,9.057517830482249e-05,0.00012030330644958155,0.00013431151373663087,0.00019628920427379055,9.327677556733111e-05,4.744240312597812e-05,-9.8,1.9716412845328168,-1.7777903418894048,33,1,0,0,0.07994091,0.004084802,0.9159743,-0.7888453016102314,0.0,-0.9665895942701027,0.0,1.1564185015916824,0.855086144329845,True,"客胜 (EV:1.1564, 凯利:0.8551)",100.0,-100.0,9800.0
1.84,3.3,3.55,-1.0,0.4817221102841399,0.268596570582672,0.249681319133188,0.2320407911509519,21.0,16.0,21.4,25.3,28.0,14.3,12.5,7.1,12.8,-1.592406786857535,-0.7237721420094037,-0.7034862519886075,21.0,31.0,29.7,27.9,14.0,17.1,12.9,12.6,15.0,-1.2251713824436845,-0.0384073941495889,-0.0572121640989301,-0.6462740878896773,0.0,1.84,3.3,3.55,1.84,3.3,3.55,0.4817221102841399,0.268596570582672,0.249681319133188,0.2320407911509519,3.75,3.5,1.74,-1.0,3.77,3.45,1.74,-1.0,0.2347737325620959,0.2565498468866961,0.5086764205512079,-0.2739026879891119,拉齐奥,佛罗伦萨,1.7,1.6,51.5,48.5,1.4,1.4,50.0,50.0,6,2,2,2,4,4,67.0,33.0,10,6,3,1,5,2,3,70.0,57.0,0.6,0.2,0.0999999999999998,0.0,A,True,True,0.09999999999999987,0.39999999999999997,0.00012011056253465591,0.00012212608382002976,9.004546554737506e-05,7.393386473973014e-05,0.0001162580101273982,0.00014178189439947484,-8.3,-0.3672354044138504,-0.6853647478598147,16,1,0,0,0.64844257,0.1408661,0.21069135,0.18927163572311403,0.22992181210290819,-0.5244390300512314,0.0,-0.2470048012882472,0.0,True,"主胜 (EV:0.1893, 凯利:0.2299)",100.0,-100.0,9700.0
2.15,3.2,2.85,-1.0,0.4121568184385945,0.2769178623884307,0.3109253191729748,0.1012314992656197,30.0,30.0,23.6,29.0,31.0,12.6,13.4,11.0,15.5,0.4188199130691741,0.3904244167523178,0.8135954047425947,28.0,24.0,30.33763250883392,24.3,29.0,15.7,10.8,12.4,12.9,1.1322769494405067,0.0293944331178513,0.4232460222864829,0.0161686826058537,0.0,2.19,3.2,2.78,2.15,3.2,2.85,0.4121568184385945,0.2769178623884307,0.3109253191729748,0.1012314992656197,4.7,3.95,1.51,-1.0,4.55,3.9,1.53,-1.0,0.1945327399872854,0.2269548633184997,0.578512396694215,-0.3839796567069295,富勒姆,曼联,2.0,1.4,58.8,41.2,1.3,2.0,39.4,60.6,4,5,1,3,2,5,57.0,37.0,10,4,4,2,2,4,4,53.0,33.0,0.4,0.3,0.6000000000000001,-0.7,A,True,False,0.6000000000000001,0.10000000000000003,0.00010279229537849623,0.0001259425239394057,0.00011216189568181805,6.125948792720496e-05,0.00010284362434346764,0.00016124215441508906,-6.737632508833919,-0.7134570363713326,0.1173644058004617,42,1,0,0,0.91123956,0.046618745,0.042141657,0.9399817622303962,0.8340565769568734,-0.8338036165237426,0.0,-0.862298351097852,0.0,True,"主胜 (EV:0.9400, 凯利:0.8341)",100.0,-100.0,9600.0
1.48,3.55,5.8,-1.0,0.5980597188335076,0.2493319391193215,0.1526083420471709,0.4454513767863367,36.0,4.0,30.6,8.2,49.0,15.3,3.3,15.2,4.9,-1.0109809721437597,0.0222665610759193,1.3131273995131425,14.0,19.0,18.9,17.6,17.0,9.7,6.8,9.2,10.8,-1.6093916870426763,-2.0691810873538503,-2.162778114832028,3.4759055143451705,0.0,1.36,4.0,7.0,1.48,3.55,5.8,0.5980597188335076,0.2493319391193215,0.1526083420471709,0.4454513767863367,2.3,3.2,2.62,-1.0,2.67,3.25,2.24,-1.0,0.3318397505731985,0.2726191181632122,0.3955411312635892,-0.0637013806903907,波尔图,圣克拉拉,1.5,0.9,62.5,37.5,0.8,0.8,50.0,50.0,5,1,4,5,2,3,53.0,57.0,10,8,1,1,4,1,5,83.0,43.0,0.5,0.5,0.6,0.0,D,True,True,0.6,0.0,0.000149326645313356,0.0001135256553819995,5.5114034947100255e-05,0.00010439350938905715,0.00012341234921216116,0.00011013415011387778,11.700000000000003,0.5984107148989166,2.0914476484297695,48,1,0,0,0.007834752,0.88096464,0.111200616,-0.9686364755682647,0.0,2.0848759714365004,0.8342841022154863,-0.3479356999993324,0.0,True,"平局 (EV:2.0849, 凯利:0.8343)",100.0,249.89999999999998,9849.9
1.39,4.15,6.0,-1.0,0.6383224169091352,0.2137995565069151,0.1478780265839496,0.4904443903251855,33.0,24.0,25.0,30.1,43.0,12.0,12.8,13.1,17.3,0.3799370373827,0.2725538142416458,0.543067664220031,28.0,24.0,30.33763250883392,24.3,29.0,15.7,10.8,12.4,12.9,1.1322769494405067,0.0293944331178513,0.4232460222864829,0.0161686826058537,0.0,1.46,3.92,5.3,1.39,4.15,6.0,0.6383224169091352,0.2137995565069151,0.1478780265839496,0.4904443903251855,2.45,3.4,2.35,-1.0,2.35,3.3,2.5,-1.0,0.3770566727605118,0.2685100548446069,0.3544332723948812,0.0226234003656306,维拉,西汉姆联,1.5,1.1,57.7,42.3,1.5,2.1,41.7,58.3,5,2,3,3,2,5,57.0,37.0,10,5,4,1,2,2,6,63.0,27.0,0.5,0.3,0.3999999999999999,-0.6000000000000001,D,True,False,0.3999999999999999,0.2,0.00015899527702429274,9.711230761592728e-05,5.3276900448863574e-05,0.00011860879577395003,0.00012154246513318901,9.868019850203451e-05,-5.33763250883392,-0.7523399120578067,0.1173644058004617,42,1,0,0,0.026967721,0.6791229,0.2939093,-0.9432645703721791,0.0,1.7819929351806643,0.5772571866474454,0.7481867504119873,0.15269117355346679,True,"平局 (EV:1.7820, 凯利:0.5773)",100.0,308.70000000000005,10158.6
1.75,2.7,5.35,-1.0,0.5062647857706124,0.3281345833698413,0.1656006308595461,0.3406641549110663,24.0,27.0,25.8,23.9,21.0,13.5,11.0,12.3,12.9,0.4032158578002988,0.5898258645943176,0.0630998549476538,15.0,25.0,13.0,20.2,21.0,5.1,9.5,8.0,10.7,1.1031877437150177,-2.566078877324473,-2.569134562964982,2.632234417912636,0.0,1.63,2.88,5.95,1.75,2.7,5.35,0.5062647857706124,0.3281345833698413,0.1656006308595461,0.3406641549110663,3.45,3.0,1.98,-1.0,4.15,2.95,1.82,-1.0,0.2133561167517733,0.3001450455999523,0.4864988376482743,-0.273142720896501,皇家社会,赫塔费,1.3,0.8,61.9,38.1,0.7,0.6,53.8,46.2,5,2,3,4,3,3,57.0,50.0,10,6,2,2,3,3,4,67.0,40.0,0.5,0.4,0.5,0.0999999999999999,A,True,True,0.5,0.09999999999999998,0.00012628767717929535,0.00014926521355781416,5.974979489592177e-05,6.716401688404399e-05,0.00013596275760661822,0.00013554972321708032,12.8,-0.6999718859147189,3.155904741918791,50,1,6,1,0.9687764,0.0047128666,0.0265107,0.6814515343308448,0.9271449446678162,-0.9675297549255192,0.0,-0.84100439684093,0.0,True,"主胜 (EV:0.6815, 凯利:0.9271)",100.0,-100.0,10058.6
3.03,3.7,1.89,1.0,0.2922187817322518,0.2393034888239791,0.4684777294437689,-0.176258947711517,34.0,21.0,22.5,22.6,30.0,10.9,10.9,11.6,11.7,-1.1001831828754982,-0.7515303728497585,0.5188527870086905,35.0,36.0,23.8,21.7,26.0,12.6,9.0,11.2,12.7,-2.254077472931314,-0.4320437653828988,0.8366703554965502,-0.3178175684878597,0.0,2.7,3.45,2.13,3.03,3.7,1.89,0.2922187817322518,0.2393034888239791,0.4684777294437689,-0.176258947711517,1.55,4.13,4.13,1.0,1.69,3.95,3.52,1.0,0.5241195251863104,0.2242435436873074,0.251636931126382,0.2724825940599284,霍芬海姆,法兰克福,0.8,1.9,29.6,70.4,1.9,1.4,57.6,42.4,1,3,6,5,1,4,20.0,53.0,10,3,3,4,5,1,4,40.0,53.0,0.1,0.5,-1.1,0.5,D,True,True,-1.0999999999999999,-0.4,7.293842741378444e-05,0.0001089232639475941,0.0001691330172979796,0.00016492939057324412,0.00010154180631380347,7.008536825428587e-05,-1.3000000000000007,1.153894290055816,-0.31948660746685975,13,1,6,1,0.061099984,0.85719746,0.08170257,-0.7985697082474827,0.0,2.1281980026960374,0.8043076351836876,-0.8286705042228102,0.0,True,"平局 (EV:2.1282, 凯利:0.8043)",100.0,264.6,10323.2
2.88,3.05,2.2,1.0,0.3073751717819514,0.2902427851580394,0.4023820430600091,-0.0950068712780577,22.0,32.0,23.0,27.4,26.0,12.2,10.8,10.8,16.6,-0.1562063423904265,-0.7510163083141094,-0.6307895533935588,24.0,12.0,25.5,22.9,39.0,12.9,8.4,12.6,14.5,-0.7205914114639307,1.1646989578002178,0.8994578777465566,-1.5302474311401153,0.0,3.35,3.17,1.94,2.88,3.05,2.2,0.3073751717819514,0.2902427851580394,0.4023820430600091,-0.0950068712780577,1.65,3.5,4.2,1.0,1.52,3.85,4.75,1.0,0.5831566192063012,0.2302332626476825,0.1866101181460163,0.3965465010602849,乌迪内斯,罗马,0.9,2.4,27.3,72.7,1.6,0.9,64.0,36.0,2,4,4,6,2,2,33.0,67.0,10,4,2,4,0,5,5,47.0,17.0,0.2,0.6,-1.5,0.7000000000000001,A,True,True,-1.5,-0.39999999999999997,7.673730384158572e-05,0.00013213641855937649,0.00014530063758780973,0.00018337544083472538,0.00010417925582844772,5.193694658001816e-05,-2.5,0.5643850690735042,-1.915715266114327,16,1,6,1,0.5636321,0.30429432,0.13207361,0.6107951572418212,0.331521470495995,-0.07046428361535076,0.0,-0.6952492946386337,0.0,True,"主胜 (EV:0.6108, 凯利:0.3315)",100.0,-100.0,10223.2
1.85,3.25,3.55,-1.0,0.478387063335752,0.2723126360526589,0.2493003006115891,0.2290867627241629,22.0,23.0,33.2,27.4,28.0,20.0,13.0,13.2,14.4,2.891004623437549,0.0293944331178513,-1.6126775673584954,35.0,28.0,33.8,28.0,33.0,21.3,15.3,12.5,12.7,1.7313700857804617,-0.1938320228921542,-0.6923906607754469,-0.9202869065830486,0.0,1.91,3.35,3.25,1.85,3.25,3.55,0.478387063335752,0.2723126360526589,0.2493003006115891,0.2290867627241629,3.8,3.7,1.68,-1.0,3.6,3.6,1.75,-1.0,0.2464788732394366,0.2464788732394366,0.5070422535211268,-0.2605633802816901,水晶宫,布伦特,1.6,1.4,53.3,46.7,1.3,1.7,43.3,56.7,5,3,2,2,2,6,60.0,27.0,10,3,4,3,1,2,7,43.0,17.0,0.5,0.2,0.2000000000000001,-0.3999999999999999,A,True,True,0.20000000000000018,0.3,0.00011946131625068478,0.00012400494664803024,9.004546554737506e-05,7.742518613021738e-05,0.00011141392637208993,0.00014097171214576357,-0.5999999999999943,1.1596345376570871,0.22322645601000551,42,1,6,1,0.8907093,0.019121319,0.09016948,0.6348559263944626,0.7621319644591388,-0.9190985988080501,0.0,-0.6663003723546862,0.0,True,"主胜 (EV:0.6349, 凯利:0.7621)",100.0,-100.0,10123.2
