Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Al Kholood Saudi Club,21,13.0,18,2,0,140,166,25,186,108,135,,,2
Al Okhdood SC,25,12.0,28,4,3,119,134,23,196,112,109,,,2
Al Suqoor Saudi Club,25,12.0,27,1,0,146,147,20,170,93,126,,,1
Al-Ahli,25,12.0,31,4,0,166,127,37,207,106,127,,,1
Al-Ettifaq,24,13.0,25,1,0,133,121,29,180,79,119,,,0
Al-Fateh,28,12.0,33,3,1,152,144,29,212,97,121,,,1
Al-Fayha,26,12.0,19,2,1,136,125,36,213,107,119,,,1
Al-Hazem,26,13.0,33,1,1,168,132,31,153,116,135,,,0
Al-Hilal,27,13.0,20,2,0,129,120,30,277,106,138,,,1
Al-Ittihad,30,13.0,21,3,0,161,116,24,250,85,122,,,1
Al-Khaleej,25,13.0,30,3,1,141,149,22,221,97,139,,,0
Al-Najma,24,13.0,23,3,1,111,172,29,146,106,122,,,1
Al-Nassr,24,13.0,24,1,0,133,157,40,309,99,116,,,0
Al-Qadsiah,24,13.0,23,0,0,162,124,24,303,104,139,,,0
Al-Riyadh SC,25,12.0,19,2,1,163,118,18,228,102,118,,,1
Al-Shabab,26,13.0,30,5,1,148,152,26,227,102,124,,,1
Al-Taawoun,27,13.0,25,1,1,151,136,21,168,113,133,,,0
Damac,22,13.0,29,5,0,151,148,22,163,106,114,,,1
