Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP
1,Al-Hilal,7,6,1,0,16,6,10,19,2.71,6,5,1,0,19,6,13,16,2.67
2,Al-Nassr,7,6,0,1,22,6,16,18,2.57,6,4,1,1,16,6,10,13,2.17
3,Al-Taawoun,7,5,1,1,16,8,8,16,2.29,6,5,0,1,13,6,7,15,2.5
4,Al-Qadsiah,6,4,2,0,14,3,11,14,2.33,7,4,1,2,12,10,2,13,1.86
5,Al-Ittihad,7,4,0,3,9,8,1,12,1.71,6,4,2,0,18,8,10,14,2.33
6,Al-Ahli,7,4,3,0,13,8,5,15,2.14,5,3,1,1,5,2,3,10,2.0
7,Al-Ettifaq,7,3,3,1,11,12,-1,12,1.71,6,3,1,2,12,11,1,10,1.67
8,Al Suqoor Saudi Club,6,2,1,3,7,11,-4,7,1.17,6,4,1,1,11,8,3,13,2.17
9,Al-Khaleej,6,3,1,2,15,7,8,10,1.67,7,2,2,3,15,14,1,8,1.14
10,Al-Fateh,6,3,0,3,9,10,-1,9,1.5,6,1,2,3,6,12,-6,5,0.83
11,Al-Hazem,5,0,1,4,2,10,-8,1,0.2,8,3,3,2,9,10,-1,12,1.5
12,Al Kholood Saudi Club,7,2,0,5,11,16,-5,6,0.86,6,2,0,4,8,10,-2,6,1.0
13,Al-Fayha,6,1,3,2,4,8,-4,6,1.0,6,2,0,4,7,12,-5,6,1.0
14,Damac,6,0,3,3,4,9,-5,3,0.5,7,1,3,3,6,15,-9,6,0.86
15,Al-Shabab,6,1,2,3,7,11,-4,5,0.83,7,0,3,4,2,9,-7,3,0.43
16,Al-Riyadh SC,6,2,1,3,7,9,-2,7,1.17,6,0,1,5,4,18,-14,1,0.17
17,Al Okhdood SC,6,1,1,4,8,13,-5,4,0.67,6,0,1,5,1,11,-10,1,0.17
18,Al-Najma,6,0,1,5,8,14,-6,1,0.17,7,0,1,6,5,15,-10,1,0.14
