Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Ajaccio,39,29.6,49.2,38,418,3420,38.0,35,23,58,31,4,5,70,4,0.92,0.61,1.53,0.82,1.42
Amiens,31,27.1,46.1,38,418,3420,38.0,36,27,63,33,3,5,71,2,0.95,0.71,1.66,0.87,1.58
Angers,27,27.8,52.3,38,418,3420,38.0,55,39,94,48,7,7,57,1,1.45,1.03,2.47,1.26,2.29
Annecy,30,25.7,43.6,38,418,3420,38.0,49,38,87,42,7,7,78,7,1.29,1.0,2.29,1.11,2.11
Auxerre,25,26.6,57.0,38,418,3420,38.0,65,53,118,62,3,4,46,5,1.71,1.39,3.11,1.63,3.03
Bastia,33,26.2,47.2,38,418,3420,38.0,44,32,76,39,5,6,76,9,1.16,0.84,2.0,1.03,1.87
Bordeaux,30,25.3,59.4,38,418,3420,38.0,50,34,84,46,4,6,67,6,1.32,0.89,2.21,1.21,2.11
Caen,28,27.2,50.5,38,418,3420,38.0,48,35,83,43,5,5,61,3,1.26,0.92,2.18,1.13,2.05
Dunkerque,35,26.3,50.6,38,418,3420,38.0,36,23,59,32,4,5,69,2,0.95,0.61,1.55,0.84,1.45
Grenoble,26,26.8,49.6,38,418,3420,38.0,42,24,66,33,9,9,55,0,1.11,0.63,1.74,0.87,1.5
Guingamp,26,26.5,47.3,38,418,3420,38.0,41,26,67,40,1,4,70,6,1.08,0.68,1.76,1.05,1.74
Paris FC,36,25.4,56.0,38,418,3420,38.0,48,35,83,43,5,5,60,3,1.26,0.92,2.18,1.13,2.05
Pau FC,35,27.1,48.8,38,418,3420,38.0,59,39,98,54,5,5,82,3,1.55,1.03,2.58,1.42,2.45
Quevilly-Rouen,27,26.0,46.7,38,418,3420,38.0,50,33,83,50,0,1,68,3,1.32,0.87,2.18,1.32,2.18
Rodez Aveyron,26,23.8,46.0,38,418,3420,38.0,59,49,108,55,4,5,60,5,1.55,1.29,2.84,1.45,2.74
Saint-Étienne,31,26.7,52.9,38,418,3420,38.0,46,26,72,38,8,10,69,2,1.21,0.68,1.89,1.0,1.68
Stade Laval,27,28.2,44.6,38,418,3420,38.0,38,27,65,36,2,3,78,6,1.0,0.71,1.71,0.95,1.66
Troyes,36,24.2,50.3,38,418,3420,38.0,42,34,76,37,5,6,63,3,1.11,0.89,2.0,0.97,1.87
US Concarneau,27,27.0,53.4,38,418,3420,38.0,38,22,60,34,4,9,53,2,1.0,0.58,1.58,0.89,1.47
Valenciennes,41,24.5,48.4,38,418,3420,38.0,26,21,47,24,2,3,70,2,0.68,0.55,1.24,0.63,1.18
