Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP
1,Auxerre,19,12,5,2,39,14,25,41,2.16,19,9,6,4,33,22,11,33,1.74
2,Angers,19,13,4,2,31,15,16,43,2.26,19,7,4,8,25,27,-2,25,1.32
3,Saint-Étienne,19,10,4,5,24,14,10,34,1.79,19,9,4,6,24,17,7,31,1.63
4,Rodez Aveyron,19,10,6,3,35,22,13,36,1.89,19,6,6,7,27,29,-2,24,1.26
5,Paris FC,19,10,4,5,29,19,10,34,1.79,19,6,7,6,20,23,-3,25,1.32
6,Caen,19,11,3,5,25,12,13,36,1.89,19,6,4,9,26,33,-7,22,1.16
7,Stade Laval,19,6,5,8,19,27,-8,23,1.21,19,9,5,5,21,18,3,32,1.68
8,Amiens,19,5,10,4,17,16,1,25,1.32,19,7,7,5,19,20,-1,28,1.47
9,Guingamp,19,5,7,7,24,21,3,22,1.16,19,8,5,6,20,19,1,29,1.53
10,Pau FC,19,7,6,6,32,27,5,27,1.42,19,6,6,7,28,30,-2,24,1.26
11,Grenoble,19,7,7,5,23,21,2,28,1.47,19,6,5,8,20,23,-3,23,1.21
12,Bordeaux,19,10,5,4,31,19,12,35,1.84,19,4,4,11,19,33,-14,16,0.84
13,Bastia,19,8,5,6,22,23,-1,29,1.53,19,6,4,9,22,25,-3,22,1.16
14,Annecy,19,5,6,8,22,27,-5,21,1.11,19,7,4,8,27,23,4,25,1.32
15,Ajaccio,19,10,6,3,26,14,12,36,1.89,19,2,4,13,9,32,-23,10,0.53
16,Dunkerque,19,4,4,11,15,30,-15,16,0.84,19,8,6,5,21,22,-1,30,1.58
17,Troyes,19,7,4,8,29,26,3,25,1.32,19,2,10,7,14,24,-10,16,0.84
18,Quevilly-Rouen,19,4,7,8,24,27,-3,19,1.0,19,3,10,6,27,28,-1,19,1.0
19,US Concarneau,19,5,5,9,23,31,-8,20,1.05,19,5,3,11,16,26,-10,18,0.95
20,Valenciennes,19,4,6,9,15,24,-9,18,0.95,19,2,5,12,11,31,-20,11,0.58
