Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Ajaccio,39,38.0,70,4,3,541,479,84,589,439,375,4,4,2
Amiens,31,38.0,71,2,0,546,499,88,724,380,455,4,7,0
Angers,27,38.0,57,1,1,446,432,63,792,411,378,6,1,3
Annecy,30,38.0,78,7,2,596,406,56,615,326,400,4,4,2
Auxerre,25,38.0,46,5,1,408,445,46,865,409,403,3,3,3
Bastia,33,38.0,76,9,3,558,428,94,608,426,495,5,6,1
Bordeaux,30,38.0,67,6,1,465,551,59,739,365,352,6,5,1
Caen,28,38.0,61,3,1,487,562,80,792,366,448,1,5,1
Dunkerque,35,38.0,69,2,2,493,455,86,589,358,356,5,6,2
Grenoble,26,38.0,55,0,0,435,415,81,622,465,419,5,8,0
Guingamp,26,38.0,70,6,2,509,503,75,823,390,407,3,8,1
Paris FC,36,38.0,60,3,1,451,468,59,677,351,406,5,3,1
Pau FC,35,38.0,82,3,1,498,481,66,720,391,377,1,6,1
Quevilly-Rouen,27,38.0,68,3,1,604,415,67,746,425,428,1,6,1
Rodez Aveyron,26,38.0,60,5,4,445,447,76,899,406,391,4,4,1
Saint-Étienne,31,38.0,69,2,1,514,481,93,726,391,466,9,8,0
Stade Laval,27,38.0,78,6,1,565,449,59,806,336,382,3,7,2
Troyes,36,38.0,63,3,0,490,504,83,520,360,384,6,5,2
US Concarneau,27,38.0,53,2,1,425,574,52,675,324,352,9,8,2
Valenciennes,41,38.0,70,2,0,554,540,65,530,403,383,3,6,1
