Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 15_level_0_Int,Unnamed: 16_level_0_Tkl+Int,Unnamed: 17_level_0_Clr,Unnamed: 18_level_0_Err
Ajax,35,34.0,533,316,236,216,81,271,526,51.5,255,375,101,274,293,826,542,11
Almere City,29,34.0,623,378,299,236,88,294,602,48.8,308,418,116,302,328,951,752,6
AZ Alkmaar,33,34.0,553,333,225,244,84,279,532,52.4,253,375,110,265,269,822,549,6
Excelsior,27,34.0,602,373,345,195,62,283,567,49.9,284,418,124,294,351,953,819,12
Feyenoord,25,34.0,580,344,237,238,105,262,502,52.2,240,352,77,275,255,835,467,8
Fortuna Sittard,32,34.0,627,379,323,225,79,321,626,51.3,305,408,106,302,334,961,619,4
Go Ahead Eag,23,34.0,502,297,226,201,75,251,497,50.5,246,401,162,239,264,766,821,5
Heerenveen,26,34.0,505,305,257,186,62,259,522,49.6,263,365,109,256,288,793,670,16
Heracles Almelo,27,34.0,598,379,347,187,64,295,597,49.4,302,420,161,259,256,854,764,12
NEC Nijmegen,28,34.0,624,376,355,203,66,307,646,47.5,339,450,158,292,268,892,814,13
PSV Eindhoven,29,34.0,547,341,233,219,95,261,492,53.0,231,359,86,273,285,832,477,13
RKC Waalwijk,26,34.0,621,357,345,195,81,308,594,51.9,286,398,142,256,277,898,851,13
Sparta R'dam,26,34.0,532,339,282,198,52,275,545,50.5,270,400,156,244,258,790,848,16
Twente,26,34.0,541,323,229,221,91,294,625,47.0,331,361,65,296,269,810,517,9
Utrecht,35,34.0,573,359,275,228,70,287,577,49.7,290,362,101,261,246,819,726,9
Vitesse,31,34.0,527,321,275,182,70,238,517,46.0,279,386,124,262,302,829,636,11
Volendam,37,34.0,613,367,358,195,60,322,665,48.4,343,410,148,262,299,912,862,11
Zwolle,29,34.0,558,351,318,182,58,314,614,51.1,300,358,118,240,312,870,849,10
