Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Home_xG,Home_xGA,Home_xGD,Home_xGD/90,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP,Away_xG,Away_xGA,Away_xGD,Away_xGD/90
1,PSV Eindhoven,17,16,1,0,54,11,43,49,2.88,54.5,14.2,40.3,2.37,17,13,3,1,57,10,47,42,2.47,44.4,14.0,30.4,1.79
2,Feyenoord,17,13,3,1,51,10,41,42,2.47,49.4,10.2,39.2,2.31,17,13,3,1,41,16,25,42,2.47,43.7,16.0,27.7,1.63
3,Twente,17,14,1,2,40,17,23,43,2.53,32.6,14.8,17.8,1.05,17,7,5,5,29,19,10,26,1.53,25.4,21.9,3.5,0.2
4,AZ Alkmaar,17,11,3,3,41,18,23,36,2.12,31.6,17.0,14.6,0.86,17,8,5,4,29,21,8,29,1.71,24.9,22.7,2.2,0.13
5,Ajax,17,9,6,2,39,21,18,33,1.94,33.4,20.6,12.8,0.76,17,6,5,6,35,40,-5,23,1.35,31.7,32.0,-0.3,-0.02
6,NEC Nijmegen,17,8,4,5,35,25,10,28,1.65,26.2,25.6,0.6,0.03,17,6,7,4,33,26,7,25,1.47,21.8,34.4,-12.6,-0.74
7,Utrecht,17,8,5,4,29,23,6,29,1.71,25.9,22.7,3.2,0.19,17,5,6,6,20,24,-4,21,1.24,20.4,25.3,-4.9,-0.29
8,Sparta R'dam,17,6,5,6,25,25,0,23,1.35,26.4,23.4,3.0,0.18,17,8,2,7,26,23,3,26,1.53,19.8,29.1,-9.3,-0.55
9,Go Ahead Eag,17,7,4,6,31,23,8,25,1.47,29.8,25.7,4.0,0.24,17,5,6,6,16,23,-7,21,1.24,19.7,29.9,-10.1,-0.6
10,Fortuna Sittard,17,7,6,4,27,20,7,27,1.59,29.1,17.0,12.0,0.71,17,2,5,10,10,36,-26,11,0.65,15.6,26.3,-10.7,-0.63
11,Heerenveen,17,6,3,8,30,36,-6,21,1.24,27.4,23.9,3.5,0.21,17,4,4,9,23,34,-11,16,0.94,19.6,29.6,-10.0,-0.59
12,Zwolle,17,5,3,9,19,31,-12,18,1.06,25.2,24.0,1.2,0.07,17,4,6,7,26,36,-10,18,1.06,17.9,38.5,-20.6,-1.21
13,Almere City,17,3,7,7,18,30,-12,16,0.94,18.5,26.8,-8.3,-0.49,17,4,6,7,15,29,-14,18,1.06,16.2,29.0,-12.8,-0.75
14,Heracles Almelo,17,6,4,7,25,35,-10,22,1.29,23.2,31.0,-7.7,-0.45,17,3,2,12,16,39,-23,11,0.65,18.5,37.2,-18.7,-1.1
15,RKC Waalwijk,17,4,6,7,20,25,-5,18,1.06,22.2,23.2,-1.0,-0.06,17,3,2,12,18,31,-13,11,0.65,22.3,34.4,-12.1,-0.71
16,Excelsior,19,6,7,6,37,29,8,25,1.32,28.7,23.2,5.4,0.32,19,3,4,12,28,53,-25,13,0.68,17.1,34.9,-17.8,-1.05
17,Volendam,17,3,2,12,16,44,-28,11,0.65,22.2,34.5,-12.3,-0.72,17,1,5,11,18,44,-26,8,0.47,14.4,40.1,-25.7,-1.51
18,Vitesse,17,2,6,9,15,30,-15,12,0.71,22.4,30.6,-8.2,-0.48,17,4,0,13,15,44,-29,12,0.71,15.3,33.6,-18.2,-1.07
