Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Amiens,28,24.9,45.7,18,198,1620,18.0,19,14,33,18,1,2,36,1,1.06,0.78,1.83,1.0,1.78
Annecy,27,26.9,46.3,18,198,1620,18.0,22,16,38,22,0,0,44,2,1.22,0.89,2.11,1.22,2.11
Bastia,27,26.1,51.1,18,198,1620,18.0,9,8,17,8,1,1,48,3,0.5,0.44,0.94,0.44,0.89
Clermont Foot,28,27.3,52.5,18,198,1620,18.0,19,10,29,15,4,4,24,2,1.06,0.56,1.61,0.83,1.39
Dunkerque,26,26.0,56.1,18,198,1620,18.0,31,27,58,29,2,2,34,2,1.72,1.5,3.22,1.61,3.11
Grenoble,25,26.5,45.6,18,198,1620,18.0,19,13,32,17,2,3,32,2,1.06,0.72,1.78,0.94,1.67
Guingamp,24,27.5,54.7,18,198,1620,18.0,28,20,48,26,2,3,31,1,1.56,1.11,2.67,1.44,2.56
Le Mans,24,27.6,46.7,18,198,1620,18.0,21,13,34,17,4,4,47,3,1.17,0.72,1.89,0.94,1.67
Montpellier,26,25.3,52.5,18,198,1620,18.0,19,12,31,17,2,2,39,2,1.06,0.67,1.72,0.94,1.61
Nancy,27,26.9,43.2,18,198,1620,18.0,17,10,27,15,2,3,37,5,0.94,0.56,1.5,0.83,1.39
Pau FC,24,24.3,51.8,18,198,1620,18.0,25,16,41,22,3,4,44,5,1.39,0.89,2.28,1.22,2.11
Red Star,23,27.4,54.5,18,198,1620,18.0,21,15,36,18,3,4,29,0,1.17,0.83,2.0,1.0,1.83
Reims,28,25.0,55.9,18,198,1620,18.0,32,22,54,30,2,3,39,0,1.78,1.22,3.0,1.67,2.89
Rodez Aveyron,25,24.7,40.6,18,198,1620,18.0,21,15,36,20,1,1,36,2,1.17,0.83,2.0,1.11,1.94
Saint-Étienne,26,26.1,63.0,18,198,1620,18.0,34,24,58,31,3,4,30,2,1.89,1.33,3.22,1.72,3.06
Stade Laval,26,28.7,47.6,18,198,1620,18.0,13,6,19,10,3,3,31,3,0.72,0.33,1.06,0.56,0.89
Troyes,26,26.1,50.4,18,198,1620,18.0,31,22,53,29,2,3,40,3,1.72,1.22,2.94,1.61,2.83
US Boulogne,26,26.1,43.1,18,198,1620,18.0,16,12,28,13,3,4,39,3,0.89,0.67,1.56,0.72,1.39
