Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Abha,30,34.0,70,2,1,381,453,62,541,297,347,,,1
Al Okhdood SC,27,34.0,76,5,2,447,379,56,582,365,368,,,2
Al-Ahli,31,34.0,65,5,2,444,390,81,692,299,403,,,5
Al-Ettifaq,34,34.0,43,3,0,416,355,61,691,247,258,,,0
Al-Fateh,32,34.0,67,5,2,435,412,61,573,298,364,,,0
Al-Fayha,31,34.0,61,3,0,411,399,96,362,268,353,,,2
Al-Hazem,33,34.0,61,2,1,463,379,54,648,306,308,,,7
Al-Hilal,29,34.0,57,2,0,463,330,73,774,276,384,,,1
Al-Ittihad,34,34.0,58,5,2,394,364,77,611,311,377,,,2
Al-Khaleej,26,34.0,76,5,3,446,495,61,593,296,299,,,0
Al-Nassr,35,34.0,56,2,0,397,396,129,742,303,345,,,0
Al-Raed,28,34.0,76,5,3,456,370,55,508,330,375,,,1
Al-Riyadh SC,27,34.0,66,3,0,426,405,69,482,292,318,,,2
Al-Shabab,35,34.0,75,8,2,451,409,78,605,305,339,,,0
Al-Ta'ee,28,34.0,80,4,2,459,459,62,596,310,323,,,0
Al-Taawoun,34,34.0,51,2,0,423,390,67,648,270,405,,,4
Al-Wehda,29,34.0,62,4,0,367,447,81,619,291,320,,,2
Damac,31,34.0,61,7,1,443,479,92,484,294,342,,,1
