Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
18,Sat,2023-12-23,21:00 (02:00),Al-Ittihad,1–3,Al-Raed,3650,King Abdul Aziz Stadium,Sami Ahmed Al Jurays,Match Report,
18,Sun,2023-12-24,21:00 (02:00),Al-Wehda,3–1,Al-Riyadh SC,668,King Abdul Aziz Stadium,Abdullah Khaled Al Kharboush,Match Report,
,,,,,,,,,,,
17,Tue,2023-12-26,21:00 (02:00),Al-Ittihad,2–5,Al-Nassr,20332,Prince Abdullah Al Faisal Stadium,Tasos Sidiropoulos,Match Report,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
,,,,,,,,,,,
19,Thu,2023-12-28,18:00 (23:00),Al-Ettifaq,1–1,Al-Hazem,5808,Prince Mohammed bin Fahad bin Abdulaziz ...,Abdullah Saleh Al Harbi,Match Report,
19,Thu,2023-12-28,18:00 (23:00),Al-Riyadh SC,1–0,Damac,299,Prince Faisal bin Fahd Stadium,Ahmed Mohammed Al Rumaikhani,Match Report,
19,Fri,2023-12-29,18:00 (23:00),Al-Raed,4–3,Abha,3015,Prince Abdullah bin Abdul Aziz Stadium,Shukri Hussein Al Hunfush,Match Report,
19,Fri,2023-12-29,18:00 (23:00),Al-Fayha,0–2,Al-Hilal,7789,Prince Faisal bin Fahd Stadium,Mario Escobar,Match Report,
19,Fri,2023-12-29,21:00 (02:00),Al-Ahli,1–0,Al-Khaleej,20786,Prince Abdullah Al Faisal Stadium,István Kovács,Match Report,
19,Sat,2023-12-30,18:00 (23:00),Al-Fateh,0–0,Al Okhdood SC,5973,Al Fateh Club Stadium,Majed Mohammed Al Shamrani,Match Report,
19,Sat,2023-12-30,21:00 (02:00),Al-Taawoun,1–4,Al-Nassr,18113,Prince Abdullah bin Abdul Aziz Stadium,Mohammed Khaled Al Hoish,Match Report,
19,Sat,2023-12-30,21:00 (02:00),Al-Shabab,1–0,Al-Wehda,3451,Al Shabab Club Stadium,Danny Makkelie,Match Report,
19,Wed,2024-02-07,21:00 (02:00),Al-Ta'ee,0–3,Al-Ittihad,4814,Prince Abdul Aziz bin Musa'ed Stadium,Sergey Karasev,Match Report,
,,,,,,,,,,,
20,Thu,2024-02-15,17:00 (22:00),Abha,1–1,Al-Taawoun,505,Prince Sultan bin Abdul Aziz Stadium,Faisal Suleiman Al Balawi,Match Report,
20,Thu,2024-02-15,20:00 (01:00),Al-Khaleej,0–2,Al-Ettifaq,4324,Prince Mohammed bin Fahad bin Abdulaziz ...,Abdullah Khaled Al Kharboush,Match Report,
20,Fri,2024-02-16,17:00 (22:00),Damac,0–1,Al-Shabab,3845,Damac Club Stadium,Jesús Valenzuela,Match Report,
20,Fri,2024-02-16,20:00 (01:00),Al-Wehda,1–1,Al-Ta'ee,848,King Abdul Aziz Stadium,Khalid Saleh Al Turais,Match Report,
20,Fri,2024-02-16,20:00 (01:00),Al Okhdood SC,3–2,Al-Ahli,4391,Prince Hathloul bin Abdulaziz Sports Cit...,Kirill Levnikov,Match Report,
20,Sat,2024-02-17,17:00 (22:00),Al-Hazem,1–3,Al-Fayha,355,Ar-Rass Stadium,Majed Mohammed Al Shamrani,Match Report,
20,Sat,2024-02-17,20:00 (01:00),Al-Nassr,2–1,Al-Fateh,15803,Al Awwal Park Stadium,Sami Ahmed Al Jurays,Match Report,
20,Sun,2024-02-18,17:00 (22:00),Al-Hilal,3–1,Al-Raed,15051,Kingdom Arena,Andris Treimanis,Match Report,
20,Sun,2024-02-18,20:00 (01:00),Al-Ittihad,2–0,Al-Riyadh SC,11864,Prince Abdullah Al Faisal Stadium,Nazareno Arasa,Match Report,
,,,,,,,,,,,
21,Fri,2024-02-23,17:00 (22:00),Al-Taawoun,3–1,Al Okhdood SC,3883,Al Taawoun Stadium,Sebastían Zunino,Match Report,
21,Fri,2024-02-23,17:00 (22:00),Al-Riyadh SC,1–1,Al-Raed,292,Prince Faisal bin Fahd Stadium,Mohammed Khaled Al Hoish,Match Report,
21,Fri,2024-02-23,20:00 (01:00),Al-Fateh,1–1,Damac,7865,Al Fateh Club Stadium,Faisal Suleiman Al Balawi,Match Report,
21,Sat,2024-02-24,17:00 (22:00),Al-Ta'ee,1–4,Al-Ahli,7079,Prince Abdul Aziz bin Musa'ed Stadium,Mohammed Al Hakim,Match Report,
21,Sat,2024-02-24,20:00 (01:00),Al-Hazem,1–1,Al-Khaleej,695,Ar-Rass Stadium,Mamdouh Mufreh Al Shahdan,Match Report,
21,Sun,2024-02-25,17:00 (22:00),Al-Fayha,3–2,Abha,840,Al Majma'ah Sport City,Abdullah Saleh Al Harbi,Match Report,
21,Sun,2024-02-25,20:00 (01:00),Al-Shabab,2–3,Al-Nassr,11974,Al Shabab Club Stadium,Tamás Bognár,Match Report,
21,Mon,2024-02-26,17:00 (22:00),Al-Ettifaq,0–2,Al-Hilal,12247,Prince Mohammed bin Fahad bin Abdulaziz ...,Fabio Maresca,Match Report,
21,Mon,2024-02-26,20:00 (01:00),Al-Ittihad,2–1,Al-Wehda,38221,King Abdullah Sports City,Kevin Ortega,Match Report,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
,,,,,,,,,,,
22,Thu,2024-02-29,17:00 (22:00),Al-Raed,1–2,Al-Fayha,4746,Al Raed FC Stadium,Raed Ali Al Zahrani,Match Report,
22,Thu,2024-02-29,17:00 (22:00),Al-Wehda,3–3,Al-Taawoun,782,King Abdul Aziz Stadium,Freeh Khalifa Al Jaloud,Match Report,
22,Thu,2024-02-29,20:00 (01:00),Al-Nassr,4–4,Al-Hazem,19323,Al Awwal Park Stadium,Shukri Hussein Al Hunfush,Match Report,
22,Fri,2024-03-01,17:00 (22:00),Al Okhdood SC,1–2,Al-Riyadh SC,828,Prince Hathloul bin Abdulaziz Sports Cit...,Urs Schnyder,Match Report,
22,Fri,2024-03-01,17:00 (22:00),Abha,2–0,Al-Ta'ee,689,Prince Sultan bin Abdul Aziz Stadium,Abdulsamad Ali Bakri,Match Report,
22,Fri,2024-03-01,20:00 (01:00),Al-Hilal,3–1,Al-Ittihad,17210,Kingdom Arena,Iván Barton,Match Report,
22,Sat,2024-03-02,17:00 (22:00),Al-Khaleej,0–0,Al-Shabab,3457,Prince Mohammed bin Fahad bin Abdulaziz ...,Ahmed Mohammed Al Rumaikhani,Match Report,
22,Sat,2024-03-02,17:00 (22:00),Damac,0–2,Al-Ettifaq,2974,Damac Club Stadium,Mohammed Khaled Al Hoish,Match Report,
22,Sat,2024-03-02,20:00 (01:00),Al-Ahli,1–1,Al-Fateh,44137,King Abdullah Sports City,Majed Mohammed Al Shamrani,Match Report,
,,,,,,,,,,,
23,Thu,2024-03-07,17:00 (22:00),Damac,1–0,Al-Wehda,2783,Damac Club Stadium,Mohammed Abdulrahman Al Baridi,Match Report,
23,Thu,2024-03-07,17:00 (22:00),Al-Shabab,2–3,Al-Fayha,2012,Al Shabab Club Stadium,Gustavo Correia,Match Report,
23,Thu,2024-03-07,20:00 (01:00),Al-Nassr,1–3,Al-Raed,17409,Al Awwal Park Stadium,Abdullah Khaled Al Kharboush,Match Report,
23,Fri,2024-03-08,17:00 (22:00),Al-Riyadh SC,1–3,Al-Hilal,6755,Prince Faisal bin Fahd Stadium,Wilton Pereira Sampaio,Match Report,
23,Fri,2024-03-08,17:00 (22:00),Al-Ta'ee,1–0,Al-Hazem,5323,Prince Abdul Aziz bin Musa'ed Stadium,Sultan Sanat Al Harbi,Match Report,
23,Fri,2024-03-08,20:00 (01:00),Al-Ittihad,2–1,Al Okhdood SC,8944,Prince Abdullah Al Faisal Stadium,Yael Falcón,Match Report,
23,Sat,2024-03-09,17:00 (22:00),Al-Fateh,1–2,Al-Khaleej,6848,Al Fateh Club Stadium,Mohammed Saif Al Harbi,Match Report,
23,Sat,2024-03-09,17:00 (22:00),Al-Ettifaq,3–0,Abha,7802,Al Ettifaq Club Stadium,Mohammed Nasser Abu Shaqara,Match Report,
23,Sat,2024-03-09,20:00 (01:00),Al-Taawoun,0–1,Al-Ahli,14179,Prince Abdullah bin Abdul Aziz Stadium,Sami Ahmed Al Jurays,Match Report,
,,,,,,,,,,,
24,Thu,2024-03-14,22:00 (03:00),Al-Hazem,0–3,Al-Shabab,825,Ar-Rass Stadium,Georgi Kabakov,Match Report,
24,Thu,2024-03-14,22:00 (03:00),Al-Khaleej,2–2,Al Okhdood SC,3055,Prince Mohammed bin Fahad bin Abdulaziz ...,Mohammed Khaled Al Hoish,Match Report,
24,Thu,2024-03-14,22:00 (03:00),Abha,1–0,Al-Wehda,873,Prince Sultan bin Abdul Aziz Stadium,Abdullah Khaled Al Kharboush,Match Report,
24,Fri,2024-03-15,22:00 (03:00),Al-Fayha,1–1,Al-Riyadh SC,811,Al Majma'ah Sport City,Ahmed Alromkhani,Match Report,
24,Fri,2024-03-15,22:00 (03:00),Al-Ahli,0–1,Al-Nassr,52037,King Abdullah Sports City,Facundo Tello,Match Report,
24,Fri,2024-03-15,22:00 (03:00),Al-Ta'ee,1–1,Al-Ettifaq,7149,Prince Abdul Aziz bin Musa'ed Stadium,Khalid Saleh Al Turais,Match Report,
24,Sat,2024-03-16,22:00 (03:00),Al-Fateh,2–4,Al-Ittihad,6558,Al Fateh Club Stadium,Sergey Karasev,Match Report,
24,Sat,2024-03-16,22:00 (03:00),Al-Raed,0–0,Al-Taawoun,15473,Prince Abdullah bin Abdul Aziz Stadium,Faisal Suleiman Al Balawi,Match Report,
24,Sat,2024-03-16,22:00 (03:00),Al-Hilal,2–1,Damac,16451,Kingdom Arena,Adonai Escobedo,Match Report,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
,,,,,,,,,,,
25,Fri,2024-03-29,22:00 (03:00),Al Okhdood SC,1–3,Al-Raed,576,Prince Hathloul bin Abdulaziz Sports Cit...,Shukri Hussein Al Hunfush,Match Report,
25,Fri,2024-03-29,22:00 (03:00),Al-Taawoun,4–0,Al-Hazem,3271,Al Taawoun Stadium,Abdulsamad Ali Bakri,Match Report,
25,Fri,2024-03-29,22:00 (03:00),Al-Ittihad,3–1,Al-Fayha,9312,Prince Abdullah Al Faisal Stadium,Radu Petrescu,Match Report,
25,Fri,2024-03-29,22:00 (03:00),Damac,0–1,Al-Khaleej,1893,Damac Club Stadium,Sami Ahmed Al Jurays,Match Report,
25,Fri,2024-03-29,22:00 (03:00),Al-Ettifaq,2–2,Al-Ahli,11454,Al Ettifaq Club Stadium,Faisal Suleiman Al Balawi,Match Report,
25,Sat,2024-03-30,22:00 (03:00),Al-Nassr,5–1,Al-Ta'ee,12427,Al Awwal Park Stadium,Abdullah Saleh Al Harbi,Match Report,
25,Sat,2024-03-30,22:00 (03:00),Al-Riyadh SC,1–1,Abha,194,Prince Faisal bin Fahd Stadium,Majed Mohammed Al Shamrani,Match Report,
25,Sat,2024-03-30,22:00 (03:00),Al-Shabab,3–4,Al-Hilal,12087,Al Shabab Club Stadium,Mario Escobar,Match Report,
25,Sat,2024-03-30,22:00 (03:00),Al-Wehda,2–3,Al-Fateh,365,King Abdul Aziz Stadium,Abdullah Dhafer Al Shehri,Match Report,
,,,,,,,,,,,
26,Mon,2024-04-01,22:00 (03:00),Al-Ahli,1–0,Al-Ittihad,50633,King Abdullah Sports City,Rade Obrenović,Match Report,
26,Mon,2024-04-01,22:00 (03:00),Al-Raed,0–1,Al-Khaleej,3408,Al Raed FC Stadium,Mamdouh Mufreh Al Shahdan,Match Report,
26,Mon,2024-04-01,22:00 (03:00),Al-Hazem,0–0,Damac,196,Ar-Rass Stadium,Sultan Mohammed Al Akairi,Match Report,
26,Tue,2024-04-02,22:00 (03:00),Al-Ta'ee,2–3,Al-Taawoun,7022,Prince Abdul Aziz bin Musa'ed Stadium,Abdullah Khaled Al Kharboush,Match Report,
26,Tue,2024-04-02,22:00 (03:00),Abha,0–8,Al-Nassr,12079,Prince Sultan bin Abdul Aziz Stadium,Ahmed Mohammed Al Rumaikhani,Match Report,
26,Tue,2024-04-02,22:00 (03:00),Al-Fayha,1–2,Al-Wehda,379,Al Majma'ah Sport City,Mohammed Abdulrahman Al Baridi,Match Report,
26,Tue,2024-04-02,22:00 (03:00),Al-Hilal,3–0,Al Okhdood SC,16358,Kingdom Arena,Bastian Dankert,Match Report,
26,Wed,2024-04-03,22:00 (03:00),Al-Fateh,1–0,Al-Ettifaq,8327,Al Fateh Club Stadium,Sultan Sanat Al Harbi,Match Report,
26,Wed,2024-04-03,22:00 (03:00),Al-Shabab,1–0,Al-Riyadh SC,4317,Al Shabab Club Stadium,Khalid Saleh Al Turais,Match Report,
,,,,,,,,,,,
27,Fri,2024-04-05,22:00 (03:00),Damac,0–1,Al-Nassr,14065,Prince Sultan bin Abdul Aziz Stadium,Abdulsamad Ali Bakri,Match Report,
27,Fri,2024-04-05,22:00 (03:00),Al-Ittihad,0–0,Al-Taawoun,9648,King Abdullah Sports City,César Soto,Match Report,
27,Fri,2024-04-05,22:00 (03:00),Al-Wehda,1–1,Al-Ahli,7647,Prince Abdullah Al Faisal Stadium,Mohammed Khaled Al Hoish,Match Report,
27,Fri,2024-04-05,22:00 (03:00),Al-Khaleej,1–4,Al-Hilal,17214,Prince Mohammed bin Fahad bin Abdulaziz ...,Harm Osmers,Match Report,
27,Sat,2024-04-06,22:00 (03:00),Al-Ettifaq,1–0,Al-Riyadh SC,3573,Al Ettifaq Club Stadium,Majed Mohammed Al Shamrani,Match Report,
27,Sat,2024-04-06,22:00 (03:00),Al-Ta'ee,0–0,Al-Shabab,7879,Prince Abdul Aziz bin Musa'ed Stadium,Sultan Sanat Al Harbi,Match Report,
27,Sun,2024-04-07,22:00 (03:00),Al-Fayha,3–0,Al Okhdood SC,294,Al Majma'ah Sport City,Abdullah Saleh Al Harbi,Match Report,
27,Sun,2024-04-07,22:00 (03:00),Al-Raed,2–0,Al-Hazem,2782,Al Raed FC Stadium,Ahmed Mohammed Al Rumaikhani,Match Report,
27,Sun,2024-04-07,22:00 (03:00),Abha,2–1,Al-Fateh,679,Prince Sultan bin Abdul Aziz Stadium,Mohammed Saif Al Harbi,Match Report,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
,,,,,,,,,,,
28,Thu,2024-04-18,18:00 (23:00),Al-Taawoun,1–1,Al-Khaleej,3275,Al Taawoun Stadium,Raed Ali Al Zahrani,Match Report,
28,Thu,2024-04-18,21:00 (02:00),Al-Fateh,3–1,Al-Raed,7575,Al Fateh Club Stadium,Mamdouh Mufreh Al Shahdan,Match Report,
28,Thu,2024-04-18,21:00 (02:00),Al-Shabab,5–0,Abha,4563,Al Shabab Club Stadium,Shukri Hussein Al Hunfush,Match Report,
28,Fri,2024-04-19,18:00 (23:00),Al-Riyadh SC,1–2,Al-Ta'ee,1631,Prince Faisal bin Fahd Stadium,Faisal Suleiman Al Balawi,Match Report,
28,Fri,2024-04-19,18:00 (23:00),Al-Nassr,3–1,Al-Fayha,6093,Al Awwal Park Stadium,Mohammed Saif Al Harbi,Match Report,
28,Sat,2024-04-20,18:00 (23:00),Al Okhdood SC,1–2,Damac,560,Prince Hathloul bin Abdulaziz Sports Cit...,Khalid Saleh Al Turais,Match Report,
28,Sat,2024-04-20,21:00 (02:00),Al-Ettifaq,0–0,Al-Wehda,3070,Al Ettifaq Club Stadium,Abdulsamad Ali Bakri,Match Report,
28,Sat,2024-04-20,21:00 (02:00),Al-Hazem,2–3,Al-Ittihad,1158,Prince Abdullah bin Abdul Aziz Stadium,Mohammed Salem Al Dagash,Match Report,
,,,,,,,,,,,
29,Thu,2024-04-25,18:00 (23:00),Al-Fayha,1–0,Al-Ta'ee,572,Al Majma'ah Sport City,Abdulsamad Ali Bakri,Match Report,
29,Thu,2024-04-25,21:00 (02:00),Al-Riyadh SC,2–1,Al-Ahli,5813,Prince Faisal bin Fahd Stadium,Sami Ahmed Al Jurays,Match Report,
29,Thu,2024-04-25,21:00 (02:00),Al-Wehda,0–2,Al-Hazem,695,King Abdul Aziz Stadium,Abdullah Saleh Al Harbi,Match Report,
29,Fri,2024-04-26,18:00 (23:00),Al-Hilal,3–1,Al-Fateh,16978,Kingdom Arena,Tasos Sidiropoulos,Match Report,
29,Fri,2024-04-26,18:00 (23:00),Damac,0–1,Al-Taawoun,337,Damac Club Stadium,Shukri Hussein Al Hunfush,Match Report,
29,Fri,2024-04-26,21:00 (02:00),Al-Ittihad,1–3,Al-Shabab,18323,King Abdullah Sports City,César Arturo Ramos,Match Report,
29,Sat,2024-04-27,18:00 (23:00),Al-Raed,2–2,Al-Ettifaq,2712,Al Raed FC Stadium,Abdulrahman Mohammed Al Sultan,Match Report,
29,Sat,2024-04-27,18:00 (23:00),Al Okhdood SC,4–0,Abha,1017,Prince Hathloul bin Abdulaziz Sports Cit...,Mohammed Khaled Al Hoish,Match Report,
29,Sat,2024-04-27,21:00 (02:00),Al-Khaleej,0–1,Al-Nassr,17300,Prince Mohammed bin Fahad bin Abdulaziz ...,Abdullah Khaled Al Kharboush,Match Report,
,,,,,,,,,,,
30,Thu,2024-05-02,18:00 (23:00),Al-Hazem,0–0,Al Okhdood SC,533,Ar-Rass Stadium,Shukri Hussein Al Hunfush,Match Report,
30,Thu,2024-05-02,21:00 (02:00),Al-Ahli,4–1,Damac,10762,Prince Abdullah Al Faisal Stadium,Abdullah Fahad Al Owaidan,Match Report,
30,Thu,2024-05-02,21:00 (02:00),Al-Fateh,2–2,Al-Riyadh SC,6954,Al Fateh Club Stadium,Abdullah Khaled Al Kharboush,Match Report,
30,Fri,2024-05-03,18:00 (23:00),Al-Taawoun,0–3,Al-Hilal,20050,Prince Abdullah bin Abdul Aziz Stadium,Sascha Stegemann,Match Report,
30,Fri,2024-05-03,21:00 (02:00),Abha,3–1,Al-Ittihad,8181,Prince Sultan bin Abdul Aziz Stadium,Ahmed Mohammed Al Rumaikhani,Match Report,
30,Fri,2024-05-03,21:00 (02:00),Al-Ettifaq,1–2,Al-Fayha,4576,Al Ettifaq Club Stadium,Freeh Khalifa Al Jaloud,Match Report,
30,Sat,2024-05-04,18:00 (23:00),Al-Shabab,2–0,Al-Raed,6458,Al Shabab Club Stadium,Raed Ali Al Zahrani,Match Report,
30,Sat,2024-05-04,18:00 (23:00),Al-Ta'ee,0–0,Al-Khaleej,7423,Prince Abdul Aziz bin Musa'ed Stadium,Khalid Saleh Al Turais,Match Report,
30,Sat,2024-05-04,21:00 (02:00),Al-Nassr,6–0,Al-Wehda,10037,Al Awwal Park Stadium,Sultan Sanat Al Harbi,Match Report,
,,,,,,,,,,,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
28,Mon,2024-05-06,21:00 (02:00),Al-Ahli,1–2,Al-Hilal,49816,King Abdullah Sports City,Ricardo de Burgos,Match Report,
,,,,,,,,,,,
31,Thu,2024-05-09,18:00 (23:00),Al-Riyadh SC,0–0,Al-Taawoun,1146,Prince Faisal bin Fahd Stadium,Mohammed Khaled Al Hoish,Match Report,
31,Thu,2024-05-09,18:00 (23:00),Al-Fayha,2–2,Al-Fateh,445,Al Majma'ah Sport City,Mohammed Nasser Abu Shaqara,Match Report,
31,Thu,2024-05-09,21:00 (02:00),Al Okhdood SC,2–3,Al-Nassr,7042,Prince Hathloul bin Abdulaziz Sports Cit...,Faisal Suleiman Al Balawi,Match Report,
31,Fri,2024-05-10,18:00 (23:00),Abha,0–0,Damac,954,Prince Sultan bin Abdul Aziz Stadium,Sami Ahmed Al Jurays,Match Report,
31,Fri,2024-05-10,21:00 (02:00),Al-Khaleej,1–2,Al-Wehda,1657,Prince Mohammed bin Fahad bin Abdulaziz ...,Mamdouh Mufreh Al Shahdan,Match Report,
31,Fri,2024-05-10,21:00 (02:00),Al-Ittihad,0–5,Al-Ettifaq,13214,King Abdullah Sports City,Sultan Sanat Al Harbi,Match Report,
31,Sat,2024-05-11,18:00 (23:00),Al-Raed,1–1,Al-Ta'ee,4674,Al Raed FC Stadium,Majed Mohammed Al Shamrani,Match Report,
31,Sat,2024-05-11,18:00 (23:00),Al-Hilal,4–1,Al-Hazem,11230,Prince Faisal bin Fahd Stadium,Urs Schnyder,Match Report,
31,Sat,2024-05-11,21:00 (02:00),Al-Shabab,1–2,Al-Ahli,13475,Al Shabab Club Stadium,Sergey Karasev,Match Report,
,,,,,,,,,,,
32,Thu,2024-05-16,18:00 (23:00),Al-Ta'ee,3–1,Al-Fateh,8897,Prince Abdul Aziz bin Musa'ed Stadium,Sultan Sanat Al Harbi,Match Report,
32,Thu,2024-05-16,21:00 (02:00),Al-Wehda,0–1,Al-Raed,753,King Abdul Aziz Stadium,Shukri Hussein Al Hunfush,Match Report,
32,Thu,2024-05-16,21:00 (02:00),Al-Khaleej,1–1,Al-Ittihad,8457,Prince Mohammed bin Fahad bin Abdulaziz ...,Mohammed Khaled Al Hoish,Match Report,
32,Fri,2024-05-17,19:15 (00:15),Damac,1–1,Al-Fayha,462,Damac Club Stadium,Abdullah Saleh Al Harbi,Match Report,
32,Fri,2024-05-17,21:00 (02:00),Al-Nassr,1–1,Al-Hilal,20368,Al Awwal Park Stadium,José Sánchez,Match Report,
32,Fri,2024-05-17,21:00 (02:00),Al-Ettifaq,1–1,Al Okhdood SC,4826,Al Ettifaq Club Stadium,Khalid Saleh Al Turais,Match Report,
32,Sat,2024-05-18,19:20 (00:20),Al-Taawoun,1–0,Al-Shabab,4607,Al Taawoun Stadium,Tamás Bognár,Match Report,
32,Sat,2024-05-18,19:20 (00:20),Al-Hazem,1–1,Al-Riyadh SC,305,Ar-Rass Stadium,Majed Mohammed Al Shamrani,Match Report,
32,Sat,2024-05-18,21:00 (02:00),Al-Ahli,5–1,Abha,22965,King Abdullah Sports City,Tamás Bognár,Match Report,
,,,,,,,,,,,
33,Thu,2024-05-23,21:00 (02:00),Al-Ittihad,4–1,Damac,17137,Prince Abdullah Al Faisal Stadium,Shukri Hussein Al Hunfush,Match Report,
33,Thu,2024-05-23,21:00 (02:00),Al-Riyadh SC,2–2,Al-Nassr,1876,Prince Faisal bin Fahd Stadium,Khalid Saleh Al Turais,Match Report,
33,Thu,2024-05-23,21:00 (02:00),Al-Ettifaq,1–0,Al-Shabab,6049,Al Ettifaq Club Stadium,Ahmed Alromkhani,Match Report,
33,Thu,2024-05-23,21:00 (02:00),Al Okhdood SC,1–1,Al-Wehda,1315,Prince Hathloul bin Abdulaziz Sports Cit...,Mohammed Khaled Al Hoish,Match Report,
33,Thu,2024-05-23,21:00 (02:00),Al-Fateh,2–1,Al-Hazem,3854,Al Fateh Club Stadium,Freeh Khalifa Al Jaloud,Match Report,
33,Thu,2024-05-23,21:00 (02:00),Al-Raed,0–0,Al-Ahli,11563,Prince Abdullah bin Abdul Aziz Stadium,Rade Obrenović,Match Report,
33,Thu,2024-05-23,21:00 (02:00),Al-Fayha,1–1,Al-Taawoun,1214,Al Majma'ah Sport City,Abdullah Khaled Al Kharboush,Match Report,
33,Thu,2024-05-23,21:00 (02:00),Al-Hilal,3–1,Al-Ta'ee,9315,Al Shabab Club Stadium,Faisal Suleiman Al Balawi,Match Report,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
33,Thu,2024-05-23,21:00 (02:00),Abha,2–1,Al-Khaleej,5113,Prince Sultan bin Abdul Aziz Stadium,Majed Mohammed Al Shamrani,Match Report,
,,,,,,,,,,,
34,Mon,2024-05-27,21:00 (02:00),Al-Khaleej,1–2,Al-Riyadh SC,1500,Prince Mohammed bin Fahad bin Abdulaziz ...,Sami Ahmed Al Jurays,Match Report,
34,Mon,2024-05-27,21:00 (02:00),Al-Hazem,2–1,Abha,117,Ar-Rass Stadium,Faisal Suleiman Al Balawi,Match Report,
34,Mon,2024-05-27,21:00 (02:00),Al-Shabab,3–2,Al-Fateh,6546,Al Shabab Club Stadium,Abdullah Saleh Al Harbi,Match Report,
34,Mon,2024-05-27,21:00 (02:00),Al-Ahli,1–0,Al-Fayha,8489,Prince Abdullah Al Faisal Stadium,Radu Petrescu,Match Report,
34,Mon,2024-05-27,21:00 (02:00),Al-Ta'ee,0–2,Al Okhdood SC,10501,Prince Abdul Aziz bin Musa'ed Stadium,Khalid Saleh Al Turais,Match Report,
34,Mon,2024-05-27,21:00 (02:00),Damac,1–1,Al-Raed,316,Damac Club Stadium,Abdulsamad Ali Bakri,Match Report,
34,Mon,2024-05-27,21:00 (02:00),Al-Wehda,1–2,Al-Hilal,5144,King Abdul Aziz Stadium,Shukri Hussein Al Hunfush,Match Report,
34,Mon,2024-05-27,21:00 (02:00),Al-Nassr,4–2,Al-Ittihad,18736,Al Awwal Park Stadium,Majed Mohammed Al Shamrani,Match Report,
34,Mon,2024-05-27,21:00 (02:00),Al-Taawoun,1–0,Al-Ettifaq,4591,Al Taawoun Stadium,Mohammed Khaled Al Hoish,Match Report,
