Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
5,Fri,2023-09-01,18:00 (23:00),Al-Ta'ee,1–0,Abha,1172,Prince Abdul Aziz bin Musa'ed Stadium,Faisal Suleiman Al Balawi,Match Report,
5,Fri,2023-09-01,18:00 (23:00),Al-Fayha,0–0,Al-Raed,1134,Al Majma'ah Sport City,Shukri Hussein Al Hunfush,Match Report,
5,Fri,2023-09-01,21:00 (02:00),Al-Riyadh SC,0–1,Al Okhdood SC,133,Prince Faisal bin Fahd Stadium,Sami Ahmed Al Jurays,Match Report,
5,Fri,2023-09-01,21:00 (02:00),Al-Ittihad,3–4,Al-Hilal,23742,Prince Abdullah Al Faisal Stadium,Mario Escobar,Match Report,
5,Sat,2023-09-02,21:00 (02:00),Al-Hazem,1–5,Al-Nassr,12297,Prince Abdullah bin Abdul Aziz Stadium,Darío Herrera,Match Report,
5,Sat,2023-09-02,21:00 (02:00),Al-Shabab,1–3,Al-Khaleej,987,Prince Faisal bin Fahd Stadium,Mohammed Khaled Al Hoish,Match Report,
5,Sat,2023-09-02,21:00 (02:00),Al-Fateh,5–1,Al-Ahli,11715,Prince Abdullah bin Jalawi Stadium,Fabio Verssimo,Match Report,
5,Sat,2023-09-02,21:00 (02:00),Al-Taawoun,4–1,Al-Wehda,4197,Al Taawoun Stadium,Abdullah Dhafer Al Shehri,Match Report,
5,Sat,2023-09-02,21:00 (02:00),Al-Ettifaq,3–1,Damac,2281,Prince Mohammed bin Fahad bin Abdulaziz ...,Majed Mohammed Al Shamrani,Match Report,
,,,,,,,,,,,
6,Thu,2023-09-14,18:00 (23:00),Al Okhdood SC,0–1,Al-Ittihad,6971,Prince Hathloul bin Abdulaziz Sports Cit...,Piero Maza,Match Report,
6,Thu,2023-09-14,21:00 (02:00),Al-Wehda,4–2,Damac,820,King Abdul Aziz Stadium,Abdullah Saleh Al Harbi,Match Report,
6,Fri,2023-09-15,18:00 (23:00),Al-Fayha,0–1,Al-Shabab,1104,Al Majma'ah Sport City,Ahmed Mohammed Al Rumaikhani,Match Report,
6,Fri,2023-09-15,21:00 (02:00),Al-Hilal,6–1,Al-Riyadh SC,15373,Prince Faisal bin Fahd Stadium,Tamás Bognár,Match Report,
6,Fri,2023-09-15,21:00 (02:00),Al-Khaleej,1–3,Al-Fateh,2276,Prince Mohammed bin Fahad bin Abdulaziz ...,Mohammed Abdulrahman Al Baridi,Match Report,
6,Sat,2023-09-16,15:00 (20:00),Abha,1–3,Al-Ettifaq,976,Prince Sultan bin Abdul Aziz Stadium,Sultan Mohammed Al Akairi,Match Report,
6,Sat,2023-09-16,18:00 (23:00),Al-Raed,1–3,Al-Nassr,19710,Prince Abdullah bin Abdul Aziz Stadium,Wilmar Roldán,Match Report,
6,Sat,2023-09-16,18:00 (23:00),Al-Hazem,1–1,Al-Ta'ee,554,Ar-Rass Stadium,Mohammed Salem Al Dagash,Match Report,
6,Sat,2023-09-16,21:00 (02:00),Al-Ahli,3–2,Al-Taawoun,16175,Prince Abdullah Al Faisal Stadium,Andrés Matonte,Match Report,
,,,,,,,,,,,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
7,Thu,2023-09-21,18:00 (23:00),Al-Ettifaq,4–3,Al-Ta'ee,4865,Prince Mohammed bin Fahad bin Abdulaziz ...,Mamdouh Mufreh Al Shahdan,Match Report,
7,Thu,2023-09-21,18:00 (23:00),Damac,1–1,Al-Hilal,11072,Prince Sultan bin Abdul Aziz Stadium,István Kovács,Match Report,
7,Thu,2023-09-21,18:00 (23:00),Al-Taawoun,2–1,Al-Raed,8079,Prince Abdullah bin Abdul Aziz Stadium,Mohammed Khaled Al Hoish,Match Report,
7,Thu,2023-09-21,21:00 (02:00),Al-Ittihad,2–1,Al-Fateh,15209,Prince Abdullah Al Faisal Stadium,Daniele Orsato,Match Report,
7,Thu,2023-09-21,21:00 (02:00),Al-Shabab,4–1,Al-Hazem,2450,Prince Faisal bin Fahd Stadium,Majed Mohammed Al Shamrani,Match Report,
7,Fri,2023-09-22,18:00 (23:00),Al Okhdood SC,0–1,Al-Khaleej,887,Prince Hathloul bin Abdulaziz Sports Cit...,Mohammed Saif Al Harbi,Match Report,
7,Fri,2023-09-22,18:00 (23:00),Al-Riyadh SC,1–3,Al-Fayha,281,Prince Faisal bin Fahd Stadium,Abdulrahman Mohammed Al Sultan,Match Report,
7,Fri,2023-09-22,21:00 (02:00),Al-Wehda,4–0,Abha,661,King Abdul Aziz Stadium,Raed Ali Al Zahrani,Match Report,
7,Fri,2023-09-22,21:00 (02:00),Al-Nassr,4–3,Al-Ahli,23524,Al Awwal Park Stadium,Anderson Daronco,Match Report,
