Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Abha,30,30.1,40.4,34,374,3060,34.0,34,21,55,30,4,7,70,2,1.0,0.62,1.62,0.88,1.5
Al Okhdood SC,27,28.7,42.1,34,374,3060,34.0,32,20,52,28,4,4,76,5,0.94,0.59,1.53,0.82,1.41
Al-Ahli,31,26.7,56.2,34,374,3060,34.0,65,50,115,60,5,5,65,5,1.91,1.47,3.38,1.76,3.24
Al-Ettifaq,34,28.9,52.1,34,374,3060,34.0,41,28,69,39,2,3,43,3,1.21,0.82,2.03,1.15,1.97
Al-Fateh,32,29.1,52.3,34,374,3060,34.0,57,42,99,53,4,5,67,5,1.68,1.24,2.91,1.56,2.79
Al-Fayha,31,29.4,42.6,34,374,3060,34.0,44,35,79,39,5,6,61,3,1.29,1.03,2.32,1.15,2.18
Al-Hazem,33,27.7,45.1,34,374,3060,34.0,34,19,53,29,5,6,61,2,1.0,0.56,1.56,0.85,1.41
Al-Hilal,29,29.1,63.2,34,374,3060,34.0,99,62,161,83,16,20,57,2,2.91,1.82,4.74,2.44,4.26
Al-Ittihad,34,29.1,55.8,34,374,3060,34.0,61,44,105,54,7,12,58,5,1.79,1.29,3.09,1.59,2.88
Al-Khaleej,26,29.5,47.9,34,374,3060,34.0,33,19,52,26,7,9,76,5,0.97,0.56,1.53,0.76,1.32
Al-Nassr,35,29.3,62.5,34,374,3060,34.0,100,66,166,89,11,13,56,2,2.94,1.94,4.88,2.62,4.56
Al-Raed,28,27.3,43.6,34,374,3060,34.0,41,29,70,37,4,4,76,5,1.21,0.85,2.06,1.09,1.94
Al-Riyadh SC,27,30.0,42.5,34,374,3060,34.0,31,19,50,27,4,5,66,3,0.91,0.56,1.47,0.79,1.35
Al-Shabab,35,28.7,57.1,34,374,3060,34.0,41,29,70,38,3,6,75,8,1.21,0.85,2.06,1.12,1.97
Al-Ta'ee,28,27.7,49.1,34,374,3060,34.0,31,20,51,27,4,4,80,4,0.91,0.59,1.5,0.79,1.38
Al-Taawoun,34,26.8,53.8,34,374,3060,34.0,50,36,86,47,3,6,51,2,1.47,1.06,2.53,1.38,2.44
Al-Wehda,29,30.4,45.8,34,374,3060,34.0,44,27,71,37,7,7,62,4,1.29,0.79,2.09,1.09,1.88
Damac,31,29.5,48.8,34,374,3060,34.0,41,29,70,36,5,5,61,7,1.21,0.85,2.06,1.06,1.91
