match_id,match_num,match_num_str,jc_date,business_date,match_time,league_name_jc,league_abb_name,league_id,home_team_cn,home_team_abb,home_team_id,away_team_cn,away_team_abb,away_team_id,full_score_raw,half_score_raw,hcp_sp_home_now,hcp_sp_draw_now,hcp_sp_away_now,hcp_line_now,spf_sp_home_now,spf_sp_draw_now,spf_sp_away_now,match_status,sell_status,weekday,back_color,bettingSingle,poolStatus,hcp_p_home_now,hcp_p_draw_now,hcp_p_away_now,hcp_p_home_minus_away_now,spf_p_home_now,spf_p_draw_now,spf_p_away_now,spf_p_home_minus_away_now,bonus_isCancel,hcp_sp_home_open,hcp_sp_draw_open,hcp_sp_away_open,hcp_line_open,hcp_sp_home_close,hcp_sp_draw_close,hcp_sp_away_close,hcp_line_close,hcp_p_home_close,hcp_p_draw_close,hcp_p_away_close,hcp_p_home_minus_away_close,bonus_score,spf_sp_home_open,spf_sp_draw_open,spf_sp_away_open,spf_sp_home_close,spf_sp_draw_close,spf_sp_away_close,spf_p_home_close,spf_p_draw_close,spf_p_away_close,spf_p_home_minus_away_close,home_team_short_name,away_team_short_name,home_goal_avg_cnt,away_goal_avg_cnt,home_goal_avg_ratio,away_goal_avg_ratio,home_loss_goal_avg_cnt,away_loss_goal_avg_cnt,home_loss_goal_avg_ratio,away_loss_goal_avg_ratio,home_win_cnt,home_draw_cnt,home_loss_cnt,away_win_cnt,away_draw_cnt,away_loss_cnt,home_score_ratio,away_score_ratio,total_leg_cnt,same_home_win_cnt,same_home_draw_cnt,same_home_loss_cnt,same_away_win_cnt,same_away_draw_cnt,same_away_loss_cnt,same_home_score_ratio,same_away_score_ratio,home_win_rate,away_win_rate,home_away_goal_diff,home_away_loss_goal_diff,home_team_fbref,away_team_fbref,home_GF,home_GA,home_xG,home_xGA,home_Pts,home_Home.xG,home_Home.xGA,home_Away.xG,home_Away.xGA,home_def_strength,home_off_buildup,home_tempo,away_GF,away_GA,away_xG,away_xGA,away_Pts,away_Home.xG,away_Home.xGA,away_Away.xG,away_Away.xGA,away_def_strength,away_off_buildup,away_tempo,tempo_diff
2037146,3011,周三011,2026-01-22,2026-01-21,04:00,欧洲冠军联赛,欧冠,69,纽卡斯尔联,纽卡斯尔,15,PSV埃因霍温,埃因霍温,250,,,1.96,3.8,2.82,-1.0,1.31,5.0,6.1,Selling,2,周三,F75000,,,0.45231984872019987,0.2333018167083136,0.31437833457148645,0.13794151414871342,0.6771608090406519,0.17741613196865083,0.1454230589906974,0.5317377500499545,0,1.96,3.8,1.96,-1.0,1.96,3.8,2.82,-1.0,0.45231984872019987,0.2333018167083136,0.31437833457148645,0.13794151414871342,,1.31,5.0,6.1,1.31,5.0,6.1,0.6771608090406519,0.17741613196865083,0.1454230589906974,0.5317377500499545,纽卡斯尔,埃因霍温,1.5,3.1,32.6,67.4,1.3,1.1,54.2,45.8,4,3,3,9,0,1,50.0,90.0,10,6,3,1,9,1,0,70.0,93.0,0.4,0.9,-1.6,0.19999999999999996,Newcastle Utd,PSV Eindhoven,32.0,27.0,31.0,23.3,32.0,21.1,13.3,9.9,10.0,1.3561532580486109,1.4077240886727822,0.6775484187384476,57.0,22.0,37.8,22.0,49.0,22.1,11.7,15.7,10.3,-0.19793722423802576,3.3786499988057623,4.73074817337677,-4.053199754638323
2037147,3012,周三012,2026-01-22,2026-01-21,04:00,英格兰冠军联赛,英冠,20,斯托克城,斯托克城,59,米德尔斯堡,米堡,14,,,1.52,3.9,4.65,1.0,2.85,3.15,2.17,Define,,周三,CC3300,,,0.5825383058687482,0.2270405704924352,0.19042112363881658,0.39211718222993164,0.3107398568019093,0.28114558472553697,0.40811455847255373,-0.09737470167064444,0,1.52,3.9,1.52,1.0,1.52,3.9,4.65,1.0,0.5825383058687482,0.2270405704924352,0.19042112363881658,0.39211718222993164,,2.85,3.15,2.17,2.85,3.15,2.17,0.3107398568019093,0.28114558472553697,0.40811455847255373,-0.09737470167064444,斯托克城,米堡,0.7,1.7,29.2,70.8,0.9,1.2,42.9,57.1,4,2,4,5,1,4,47.0,53.0,10,5,2,3,4,2,4,57.0,47.0,0.4,0.5,-1.0,-0.29999999999999993,Stoke City,Middlesbrough,32.0,23.0,29.1,32.0,40.0,12.3,11.3,16.8,20.8,1.3358508833161975,1.5983827482054915,1.1753105660012182,37.0,26.0,31.6,24.7,46.0,16.3,14.1,15.4,10.6,3.2867318317758634,3.461919483165814,2.5234913020548335,-1.3481807360536153
2037148,4001,周四001,2026-01-23,2026-01-22,01:30,沙特职业联赛,沙职,2068446,胡巴尔卡德西亚,胡巴卡德,2065838,吉达联合,吉达联合,751,,,4.25,4.1,1.54,-1.0,2.16,3.65,2.55,Define,,周四,2E7D32,,,0.2084929335622771,0.21612072381455555,0.5753863426231673,-0.36689340906089024,0.4100310579528183,0.24264851648714728,0.3473204255600344,0.0627106323927839,0,4.25,4.1,4.25,-1.0,4.25,4.1,1.54,-1.0,0.2084929335622771,0.21612072381455555,0.5753863426231673,-0.36689340906089024,,2.16,3.65,2.55,2.16,3.65,2.55,0.4100310579528183,0.24264851648714728,0.3473204255600344,0.0627106323927839,胡巴卡德,吉达联合,2.8,2.0,58.3,41.7,1.2,0.9,57.1,42.9,6,2,2,7,1,2,67.0,73.0,10,6,2,2,6,2,2,67.0,67.0,0.6,0.7,0.7999999999999998,0.29999999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037149,4002,周四002,2026-01-23,2026-01-22,01:30,沙特职业联赛,沙职,2068446,利雅得新月,利雅新月,1009,迈季迈阿宽广,迈季宽广,1046326,,,2.08,4.0,2.51,-2.0,,,,Define,,周四,2E7D32,,,0.42577011806215226,0.2214004613923192,0.3528294205455286,0.07294069751662363,,,,,0,2.08,4.0,2.08,-2.0,2.08,4.0,2.51,-2.0,0.42577011806215226,0.2214004613923192,0.3528294205455286,0.07294069751662363,,,,,,,,,,,,利雅新月,迈季宽广,2.7,0.8,77.1,22.9,0.7,2.1,25.0,75.0,10,0,0,1,3,6,100.0,20.0,10,10,0,0,2,2,6,100.0,27.0,1.0,0.1,1.9000000000000001,-1.4000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037150,4003,周四003,2026-01-23,2026-01-22,01:45,欧罗巴联赛,欧罗巴,70,费耶诺德,费耶诺德,245,格拉茨风暴,格风暴,1276,,,2.04,3.47,2.85,-1.0,1.31,4.75,6.45,Define,,周四,CC9933,,,0.43408698858324224,0.25519811432559486,0.31071489709116284,0.1233720914920794,0.676182698992485,0.1864840706695064,0.1373332303380086,0.5388494686544764,0,2.04,3.47,2.04,-1.0,2.04,3.47,2.85,-1.0,0.43408698858324224,0.25519811432559486,0.31071489709116284,0.1233720914920794,,1.31,4.75,6.45,1.31,4.75,6.45,0.676182698992485,0.1864840706695064,0.1373332303380086,0.5388494686544764,费耶诺德,格风暴,2.2,1.0,68.8,31.3,2.5,1.6,61.0,39.0,2,2,6,2,3,5,27.0,30.0,10,4,1,5,3,2,5,43.0,37.0,0.2,0.2,1.2000000000000002,0.8999999999999999,Feyenoord,,44.0,23.0,38.9,19.4,36.0,21.2,9.8,17.7,9.5,-1.622438403411143,2.6500981465873124,2.962049239237622,,,,,,,,,,,,,
2037151,4004,周四004,2026-01-23,2026-01-22,01:45,欧罗巴联赛,欧罗巴,70,博洛尼亚,博洛尼亚,118,凯尔特人,凯尔特人,211,,,2.5,3.35,2.32,-1.0,1.47,4.0,5.05,Define,,周四,CC9933,,,0.35412584863534885,0.26427302136966324,0.38160112999498796,-0.027475281359639114,0.6029220827674721,0.22157386541704596,0.17550405181548195,0.4274180309519901,0,2.5,3.35,2.5,-1.0,2.5,3.35,2.32,-1.0,0.35412584863534885,0.26427302136966324,0.38160112999498796,-0.027475281359639114,,1.47,4.0,5.05,1.47,4.0,5.05,0.6029220827674721,0.22157386541704596,0.17550405181548195,0.4274180309519901,博洛尼亚,凯尔特人,1.0,1.7,37.0,63.0,1.6,1.6,50.0,50.0,2,3,5,5,0,5,30.0,50.0,10,3,3,4,6,0,4,40.0,60.0,0.2,0.5,-0.7,0.0,Bologna,,26.0,20.0,25.0,23.6,27.0,12.6,8.7,12.4,14.9,-2.3987788316351657,-0.12066437392137908,0.4232460222864829,,,,,,,,,,,,,
2037152,4005,周四005,2026-01-23,2026-01-22,01:45,欧罗巴联赛,欧罗巴,70,年轻人,年轻人,307,里昂,里昂,181,,,2.03,3.5,2.85,1.0,4.0,3.88,1.61,Define,,周四,CC9933,,,0.43624674728302476,0.2530231134241543,0.31073013929282106,0.1255166079902037,0.22146432775075517,0.22831373994923215,0.5502219323000128,-0.3287576045492576,0,2.03,3.5,2.03,1.0,2.03,3.5,2.85,1.0,0.43624674728302476,0.2530231134241543,0.31073013929282106,0.1255166079902037,,4.0,3.88,1.61,4.0,3.88,1.61,0.22146432775075517,0.22831373994923215,0.5502219323000128,-0.3287576045492576,年轻人,里昂,1.6,2.2,42.1,57.9,2.2,0.5,81.5,18.5,3,1,6,8,1,1,33.0,83.0,10,5,1,4,4,3,3,53.0,50.0,0.3,0.8,-0.6000000000000001,1.7000000000000002,,Lyon,,,,,,,,,,,,,25.0,17.0,26.9,20.6,30.0,15.2,7.8,11.7,12.8,-2.3262737270655536,-0.34418049686775665,0.6997046427310228,
2037153,4006,周四006,2026-01-23,2026-01-22,01:45,欧罗巴联赛,欧罗巴,70,费内巴切,费内巴切,311,阿斯顿维拉,维拉,2,,,4.65,3.85,1.53,-1.0,2.19,3.35,2.67,Define,,周四,CC9933,,,0.1905848095122543,0.23018684785246296,0.5792283426352827,-0.38864353312302835,0.4042108973576823,0.2642453328994997,0.3315437697428181,0.07266712761486421,0,4.65,3.85,4.65,-1.0,4.65,3.85,1.53,-1.0,0.1905848095122543,0.23018684785246296,0.5792283426352827,-0.38864353312302835,,2.19,3.35,2.67,2.19,3.35,2.67,0.4042108973576823,0.2642453328994997,0.3315437697428181,0.07266712761486421,费内巴切,维拉,2.2,1.7,56.4,43.6,0.6,1.3,31.6,68.4,7,2,1,7,1,2,77.0,73.0,10,7,2,1,6,1,3,77.0,63.0,0.7,0.7,0.5000000000000002,-0.7000000000000001,,Aston Villa,,,,,,,,,,,,,33.0,24.0,25.0,30.1,43.0,12.0,12.8,13.1,17.3,0.37993703738270007,0.2725538142416458,0.543067664220031,
2037154,4007,周四007,2026-01-23,2026-01-22,01:45,欧罗巴联赛,欧罗巴,70,比尔森,比尔森,1594,波尔图,波尔图,937,,,1.86,3.28,3.5,1.0,4.0,3.28,1.74,Define,,周四,CC9933,,,0.4765304597605724,0.27022763876666606,0.2532419014727613,0.22328855828781108,0.2213191040516225,0.2699013464044177,0.5087795495439598,-0.2874604454923373,0,1.86,3.28,1.86,1.0,1.86,3.28,3.5,1.0,0.4765304597605724,0.27022763876666606,0.2532419014727613,0.22328855828781108,,4.0,3.28,1.74,4.0,3.28,1.74,0.2213191040516225,0.2699013464044177,0.5087795495439598,-0.2874604454923373,比尔森,波尔图,1.5,2.0,42.9,57.1,1.4,0.6,70.0,30.0,4,4,2,9,0,1,53.0,90.0,10,5,3,2,8,1,1,60.0,83.0,0.4,0.9,-0.5,0.7999999999999999,,Porto,,,,,,,,,,,,,36.0,4.0,30.6,8.2,49.0,15.3,3.3,15.2,4.9,-1.0109809721437597,0.02226656107591939,1.3131273995131423,
2037155,4008,周四008,2026-01-23,2026-01-22,01:45,欧罗巴联赛,欧罗巴,70,马尔默,马尔默,606,贝尔格莱德红星,贝红星,318,,,1.84,3.45,3.38,1.0,3.5,3.65,1.76,Define,,周四,CC9933,,,0.48129865198405164,0.25669261439149427,0.2620087336244542,0.21928991835959744,0.2533222918884814,0.24291178674237943,0.5037659213691392,-0.25044362948065785,0,1.84,3.45,1.84,1.0,1.84,3.45,3.38,1.0,0.48129865198405164,0.25669261439149427,0.2620087336244542,0.21928991835959744,,3.5,3.65,1.76,3.5,3.65,1.76,0.2533222918884814,0.24291178674237943,0.5037659213691392,-0.25044362948065785,马尔默,贝红星,1.0,2.1,32.3,67.7,1.7,0.8,68.0,32.0,3,2,5,7,1,2,37.0,73.0,10,3,3,4,4,2,4,40.0,47.0,0.3,0.7,-1.1,0.8999999999999999,Malm?,,,,,,,,,,,,,,,,,,,,,,,,,,
