match_id,match_num,match_num_str,jc_date,business_date,match_time,league_name_jc,league_abb_name,league_id,home_team_cn,home_team_abb,home_team_id,away_team_cn,away_team_abb,away_team_id,full_score_raw,half_score_raw,hcp_sp_home_now,hcp_sp_draw_now,hcp_sp_away_now,hcp_line_now,spf_sp_home_now,spf_sp_draw_now,spf_sp_away_now,match_status,sell_status,weekday,back_color,bettingSingle,poolStatus,hcp_p_home_now,hcp_p_draw_now,hcp_p_away_now,hcp_p_home_minus_away_now,spf_p_home_now,spf_p_draw_now,spf_p_away_now,spf_p_home_minus_away_now,bonus_isCancel,spf_sp_home_open,spf_sp_draw_open,spf_sp_away_open,spf_sp_home_close,spf_sp_draw_close,spf_sp_away_close,spf_p_home_close,spf_p_draw_close,spf_p_away_close,spf_p_home_minus_away_close,hcp_sp_home_open,hcp_sp_draw_open,hcp_sp_away_open,hcp_line_open,hcp_sp_home_close,hcp_sp_draw_close,hcp_sp_away_close,hcp_line_close,hcp_p_home_close,hcp_p_draw_close,hcp_p_away_close,hcp_p_home_minus_away_close,bonus_score,home_team_short_name,away_team_short_name,home_goal_avg_cnt,away_goal_avg_cnt,home_goal_avg_ratio,away_goal_avg_ratio,home_loss_goal_avg_cnt,away_loss_goal_avg_cnt,home_loss_goal_avg_ratio,away_loss_goal_avg_ratio,home_win_cnt,home_draw_cnt,home_loss_cnt,away_win_cnt,away_draw_cnt,away_loss_cnt,home_score_ratio,away_score_ratio,total_leg_cnt,same_home_win_cnt,same_home_draw_cnt,same_home_loss_cnt,same_away_win_cnt,same_away_draw_cnt,same_away_loss_cnt,same_home_score_ratio,same_away_score_ratio,home_win_rate,away_win_rate,home_away_goal_diff,home_away_loss_goal_diff,home_team_fbref,away_team_fbref,home_GF,home_GA,home_xG,home_xGA,home_Pts,home_Home.xG,home_Home.xGA,home_Away.xG,home_Away.xGA,home_def_strength,home_off_buildup,home_tempo,away_GF,away_GA,away_xG,away_xGA,away_Pts,away_Home.xG,away_Home.xGA,away_Away.xG,away_Away.xGA,away_def_strength,away_off_buildup,away_tempo,tempo_diff
2037148,4001,周四001,2026-01-23,2026-01-22,01:30,沙特职业联赛,沙职,2068446,胡巴尔卡德西亚,胡巴卡德,2065838,吉达联合,吉达联合,751,,,4.15,4.05,1.56,-1.0,2.12,3.65,2.61,Selling,1,周四,2E7D32,,,0.21344955151269443,0.21871991080930422,0.5678305376780013,-0.3543809861653069,0.4178711010321216,0.242708694298109,0.33942020466976935,0.07845089636235225,0,2.12,3.65,2.61,2.12,3.65,2.61,0.4178711010321216,0.242708694298109,0.33942020466976935,0.07845089636235225,4.15,4.05,4.15,-1.0,4.15,4.05,1.56,-1.0,0.21344955151269443,0.21871991080930422,0.5678305376780013,-0.3543809861653069,,胡巴卡德,吉达联合,2.8,2.0,58.3,41.7,1.2,0.9,57.1,42.9,6,2,2,7,1,2,67.0,73.0,10,6,2,2,6,2,2,67.0,67.0,0.6,0.7,0.7999999999999998,0.29999999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037149,4002,周四002,2026-01-23,2026-01-22,01:30,沙特职业联赛,沙职,2068446,利雅得新月,利雅新月,1009,迈季迈阿宽广,迈季宽广,1046326,,,2.12,4.0,2.45,-2.0,,,,Selling,1,周四,2E7D32,,,0.41748317287211384,0.22126608162222033,0.3612507455056658,0.05623242736644801,,,,,0,,,,,,,,,,,2.12,4.0,2.12,-2.0,2.12,4.0,2.45,-2.0,0.41748317287211384,0.22126608162222033,0.3612507455056658,0.05623242736644801,,利雅新月,迈季宽广,2.7,0.8,77.1,22.9,0.7,2.1,25.0,75.0,10,0,0,1,3,6,100.0,20.0,10,10,0,0,2,2,6,100.0,27.0,1.0,0.1,1.9000000000000001,-1.4000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037150,4003,周四003,2026-01-23,2026-01-22,01:45,欧罗巴联赛,欧罗巴,70,费耶诺德,费耶诺德,245,格拉茨风暴,格风暴,1276,,,2.0,3.52,2.9,-1.0,1.3,4.8,6.6,Selling,1,周四,CC9933,,,0.44290177021867405,0.2516487330787921,0.30544949670253385,0.1374522735161402,0.6812903225806451,0.18451612903225809,0.1341935483870968,0.5470967741935484,0,1.3,4.8,6.6,1.3,4.8,6.6,0.6812903225806451,0.18451612903225809,0.1341935483870968,0.5470967741935484,2.0,3.52,2.0,-1.0,2.0,3.52,2.9,-1.0,0.44290177021867405,0.2516487330787921,0.30544949670253385,0.1374522735161402,,费耶诺德,格风暴,2.2,1.0,68.8,31.3,2.5,1.6,61.0,39.0,2,2,6,2,3,5,27.0,30.0,10,4,1,5,3,2,5,43.0,37.0,0.2,0.2,1.2000000000000002,0.8999999999999999,Feyenoord,,44.0,23.0,38.9,19.4,36.0,21.2,9.8,17.7,9.5,-1.622438403411143,2.6500981465873124,2.962049239237622,,,,,,,,,,,,,
2037151,4004,周四004,2026-01-23,2026-01-22,01:45,欧罗巴联赛,欧罗巴,70,博洛尼亚,博洛尼亚,118,凯尔特人,凯尔特人,211,,,2.6,3.45,2.2,-1.0,1.52,3.85,4.75,Selling,1,周四,CC9933,,,0.34066427289048473,0.25673249551166966,0.4026032315978456,-0.06193895870736088,0.5831566192063012,0.2302332626476825,0.18661011814601636,0.3965465010602849,0,1.52,3.85,4.75,1.52,3.85,4.75,0.5831566192063012,0.2302332626476825,0.18661011814601636,0.3965465010602849,2.6,3.45,2.6,-1.0,2.6,3.45,2.2,-1.0,0.34066427289048473,0.25673249551166966,0.4026032315978456,-0.06193895870736088,,博洛尼亚,凯尔特人,1.0,1.7,37.0,63.0,1.6,1.6,50.0,50.0,2,3,5,5,0,5,30.0,50.0,10,3,3,4,6,0,4,40.0,60.0,0.2,0.5,-0.7,0.0,Bologna,,26.0,20.0,25.0,23.6,27.0,12.6,8.7,12.4,14.9,-2.3987788316351657,-0.12066437392137908,0.4232460222864829,,,,,,,,,,,,,
2037152,4005,周四005,2026-01-23,2026-01-22,01:45,欧罗巴联赛,欧罗巴,70,年轻人,年轻人,307,里昂,里昂,181,,,2.03,3.5,2.85,1.0,4.0,3.88,1.61,Selling,1,周四,CC9933,,,0.43624674728302476,0.2530231134241543,0.31073013929282106,0.1255166079902037,0.22146432775075517,0.22831373994923215,0.5502219323000128,-0.3287576045492576,0,4.0,3.88,1.61,4.0,3.88,1.61,0.22146432775075517,0.22831373994923215,0.5502219323000128,-0.3287576045492576,2.03,3.5,2.03,1.0,2.03,3.5,2.85,1.0,0.43624674728302476,0.2530231134241543,0.31073013929282106,0.1255166079902037,,年轻人,里昂,1.6,2.2,42.1,57.9,2.2,0.5,81.5,18.5,3,1,6,8,1,1,33.0,83.0,10,5,1,4,4,3,3,53.0,50.0,0.3,0.8,-0.6000000000000001,1.7000000000000002,,Lyon,,,,,,,,,,,,,25.0,17.0,26.9,20.6,30.0,15.2,7.8,11.7,12.8,-2.3262737270655536,-0.34418049686775665,0.6997046427310228,
2037153,4006,周四006,2026-01-23,2026-01-22,01:45,欧罗巴联赛,欧罗巴,70,费内巴切,费内巴切,311,阿斯顿维拉,维拉,2,,,4.65,3.85,1.53,-1.0,2.19,3.35,2.67,Selling,1,周四,CC9933,,,0.1905848095122543,0.23018684785246296,0.5792283426352827,-0.38864353312302835,0.4042108973576823,0.2642453328994997,0.3315437697428181,0.07266712761486421,0,2.19,3.35,2.67,2.19,3.35,2.67,0.4042108973576823,0.2642453328994997,0.3315437697428181,0.07266712761486421,4.65,3.85,4.65,-1.0,4.65,3.85,1.53,-1.0,0.1905848095122543,0.23018684785246296,0.5792283426352827,-0.38864353312302835,,费内巴切,维拉,2.2,1.7,56.4,43.6,0.6,1.3,31.6,68.4,7,2,1,7,1,2,77.0,73.0,10,7,2,1,6,1,3,77.0,63.0,0.7,0.7,0.5000000000000002,-0.7000000000000001,,Aston Villa,,,,,,,,,,,,,33.0,24.0,25.0,30.1,43.0,12.0,12.8,13.1,17.3,0.37993703738270007,0.2725538142416458,0.543067664220031,
2037154,4007,周四007,2026-01-23,2026-01-22,01:45,欧罗巴联赛,欧罗巴,70,比尔森,比尔森,1594,波尔图,波尔图,937,,,1.86,3.28,3.5,1.0,4.0,3.28,1.74,Selling,1,周四,CC9933,,,0.4765304597605724,0.27022763876666606,0.2532419014727613,0.22328855828781108,0.2213191040516225,0.2699013464044177,0.5087795495439598,-0.2874604454923373,0,4.0,3.28,1.74,4.0,3.28,1.74,0.2213191040516225,0.2699013464044177,0.5087795495439598,-0.2874604454923373,1.86,3.28,1.86,1.0,1.86,3.28,3.5,1.0,0.4765304597605724,0.27022763876666606,0.2532419014727613,0.22328855828781108,,比尔森,波尔图,1.5,2.0,42.9,57.1,1.4,0.6,70.0,30.0,4,4,2,9,0,1,53.0,90.0,10,5,3,2,8,1,1,60.0,83.0,0.4,0.9,-0.5,0.7999999999999999,,Porto,,,,,,,,,,,,,36.0,4.0,30.6,8.2,49.0,15.3,3.3,15.2,4.9,-1.0109809721437597,0.02226656107591939,1.3131273995131423,
2037155,4008,周四008,2026-01-23,2026-01-22,01:45,欧罗巴联赛,欧罗巴,70,马尔默,马尔默,606,贝尔格莱德红星,贝红星,318,,,1.84,3.45,3.38,1.0,3.5,3.65,1.76,Selling,1,周四,CC9933,,,0.48129865198405164,0.25669261439149427,0.2620087336244542,0.21928991835959744,0.2533222918884814,0.24291178674237943,0.5037659213691392,-0.25044362948065785,0,3.5,3.65,1.76,3.5,3.65,1.76,0.2533222918884814,0.24291178674237943,0.5037659213691392,-0.25044362948065785,1.84,3.45,1.84,1.0,1.84,3.45,3.38,1.0,0.48129865198405164,0.25669261439149427,0.2620087336244542,0.21928991835959744,,马尔默,贝红星,1.0,2.1,32.3,67.7,1.7,0.8,68.0,32.0,3,2,5,7,1,2,37.0,73.0,10,3,3,4,4,2,4,40.0,47.0,0.3,0.7,-1.1,0.8999999999999999,Malm?,,,,,,,,,,,,,,,,,,,,,,,,,,
2037156,4009,周四009,2026-01-23,2026-01-22,01:45,欧罗巴联赛,欧罗巴,70,塞萨洛尼基,塞萨洛,333,皇家贝蒂斯,贝蒂斯,505,,,1.44,4.0,5.4,1.0,2.5,3.25,2.38,Selling,1,周四,CC9933,,,0.6147540983606558,0.2213114754098361,0.1639344262295082,0.45081967213114754,0.354653828519028,0.27281063732232924,0.3725355341586428,-0.01788170563961483,0,2.5,3.25,2.38,2.5,3.25,2.38,0.354653828519028,0.27281063732232924,0.3725355341586428,-0.01788170563961483,1.44,4.0,1.44,1.0,1.44,4.0,5.4,1.0,0.6147540983606558,0.2213114754098361,0.1639344262295082,0.45081967213114754,,塞萨洛,贝蒂斯,2.2,2.2,50.0,50.0,0.9,1.4,39.1,60.9,6,3,1,6,2,2,70.0,67.0,10,8,2,0,5,4,1,87.0,63.0,0.6,0.6,0.0,-0.4999999999999999,,Betis,,,,,,,,,,,,,31.0,25.0,29.3,23.7,29.0,15.7,10.9,13.6,12.8,1.5490488287174,1.249558813920199,0.715221038581455,
2037157,4010,周四010,2026-01-23,2026-01-22,04:00,欧罗巴联赛,欧罗巴,70,布拉加,布拉加,269,诺丁汉森林,诺丁汉,52,,,5.4,4.0,1.44,-1.0,2.39,3.14,2.55,Selling,1,周四,CC9933,,,0.1639344262295082,0.2213114754098361,0.6147540983606558,-0.45081967213114754,0.37058978714344565,0.2820731182397564,0.3473370946167981,0.023252692526647523,0,2.39,3.14,2.55,2.39,3.14,2.55,0.37058978714344565,0.2820731182397564,0.3473370946167981,0.023252692526647523,5.4,4.0,5.4,-1.0,5.4,4.0,1.44,-1.0,0.1639344262295082,0.2213114754098361,0.6147540983606558,-0.45081967213114754,,布拉加,诺丁汉,1.6,1.2,57.1,42.9,1.1,1.6,40.7,59.3,5,2,3,3,2,5,57.0,37.0,10,7,1,2,4,2,4,73.0,47.0,0.5,0.3,0.40000000000000013,-0.5,Braga,Nottham Forest,31.0,18.0,30.7,18.5,27.0,13.3,7.2,17.4,11.4,-2.4773338970263588,-0.015408335800128651,1.0898778245915708,,,,,,,,,,,,,
