Squad,Poss,G+A-PK
Albirex Niigata,54.2,1.5
Avispa Fukuoka,46.5,1.34
Cerezo Osaka,55.3,2.45
Fagi Okayama,42.0,1.58
FC Tokyo,51.2,1.61
Gamba Osaka,52.9,2.26
Grampus,47.3,1.76
Kashima Antlers,52.0,2.42
Kashiwa Reysol,60.2,2.74
Kawa Frontale,50.9,2.74
Kyoto Sanga,48.2,2.58
Machida Zelvia,44.7,2.13
Marinos,48.4,1.95
S-Pulse,51.2,1.5
Sanfrecce,52.7,1.82
Shonan Bellmare,49.9,1.55
Tokyo Verdy,46.8,1.08
Urawa Reds,51.8,2.0
Vissel Kobe,53.4,1.97
Yokohama FC,41.1,1.18
