Squad,GF,GA,Pts
Kashima Antlers,58,31,76
Kashiwa Reysol,60,34,75
Kyoto Sanga,62,40,68
Sanfrecce,46,28,68
Vissel Kobe,46,33,64
Machida Zelvia,52,38,60
Urawa Reds,45,39,59
Kawa Frontale,67,57,57
Gamba Osaka,53,55,57
Cerezo Osaka,60,57,52
FC Tokyo,41,48,50
Avispa Fukuoka,34,38,48
Fagi Okayama,34,43,45
S-Pulse,41,51,44
Marinos,46,47,43
Grampus,44,56,43
Tokyo Verdy,23,41,43
Yokohama FC,27,45,35
Shonan Bellmare,36,63,32
Albirex Niigata,36,67,24
