Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 15_level_0_Int,Unnamed: 16_level_0_Tkl+Int,Unnamed: 17_level_0_Clr,Unnamed: 18_level_0_Err
Blackburn,33,46.0,833,520,408,334,91,405,711,57.0,306,513,168,345,381,1214,1471,18
Bristol City,24,46.0,755,487,303,357,95,355,678,52.4,323,471,185,286,355,1110,1160,18
Burnley,38,46.0,698,420,297,309,92,335,607,55.2,272,444,134,310,336,1034,1059,17
Cardiff City,33,46.0,813,512,381,318,114,383,673,56.9,290,471,165,306,371,1184,1195,17
Coventry City,26,46.0,695,427,332,265,98,329,600,54.8,271,471,176,295,355,1050,1178,15
Derby County,33,46.0,846,532,386,356,104,367,669,54.9,302,555,164,391,440,1286,1315,15
Hull City,37,46.0,710,458,341,284,85,317,634,50.0,317,479,184,295,314,1024,1366,24
Leeds United,28,46.0,685,411,263,290,132,332,637,52.1,305,378,78,300,345,1030,909,11
Luton Town,37,46.0,753,454,349,293,111,359,693,51.8,334,526,166,360,353,1106,1324,15
Middlesbrough,33,46.0,756,478,357,301,98,372,661,56.3,289,473,129,344,334,1090,1100,28
Millwall,34,46.0,904,587,420,368,116,383,678,56.5,295,491,154,337,441,1345,1363,13
Norwich City,35,46.0,774,482,367,307,100,372,735,50.6,363,493,167,326,335,1109,1033,19
Oxford United,34,46.0,765,445,367,323,75,386,709,54.4,323,544,196,348,413,1178,1489,17
Plymouth Argyle,34,46.0,851,532,446,325,80,403,726,55.5,323,576,219,357,375,1226,1616,21
Portsmouth,37,46.0,671,392,262,295,114,315,643,49.0,328,532,188,344,434,1105,1254,16
Preston,28,46.0,800,489,373,325,102,367,691,53.1,324,546,167,379,371,1171,1307,14
QPR,30,46.0,757,462,380,286,91,349,623,56.0,274,514,167,347,354,1111,1393,12
Sheffield Utd,33,46.0,766,491,379,301,86,355,638,55.6,283,492,150,342,364,1130,1255,14
Sheffield Weds,28,46.0,762,451,383,292,87,351,643,54.6,292,447,151,296,410,1172,1213,14
Stoke City,32,46.0,707,442,315,282,110,298,610,48.9,312,504,190,314,369,1076,1302,21
Sunderland,30,46.0,771,456,382,283,106,361,716,50.4,355,490,158,332,358,1129,1210,15
Swansea City,26,46.0,753,458,318,332,103,324,640,50.6,316,513,159,354,353,1106,1111,39
Watford,32,46.0,716,481,379,256,81,356,620,57.4,264,461,155,306,369,1085,1221,33
West Brom,30,46.0,695,413,359,256,80,327,596,54.9,269,435,164,271,327,1022,1262,17
