Squad,GF,GA,Pts
Auckland FC,18,11,24
Sydney FC,18,7,22
Macarthur FC,14,17,19
Newcastle,24,23,18
Brisbane,11,12,18
Melb City,12,11,17
Melb Victory,15,16,17
Adelaide,18,19,16
Perth Glory,15,16,16
Wellington,19,22,15
W Sydney,9,14,12
Central Coast,15,20,11
Western United,0,0,0
