Squad,TklW
Adelaide,130
Auckland FC,127
Brisbane,149
Central Coast,119
Macarthur FC,136
Melb City,105
Melb Victory,140
Newcastle,131
Perth Glory,139
Sydney FC,101
W Sydney,123
Wellington,120
