Squad,Poss,G+A-PK
Adelaide,51.9,2.83
Auckland FC,50.8,2.67
Brisbane,47.2,1.23
Central Coast,44.3,1.42
Macarthur FC,44.8,1.38
Melb City,59.3,1.62
Melb Victory,51.8,2.25
Newcastle,52.3,3.08
Perth Glory,44.8,2.17
Sydney FC,50.7,3.0
W Sydney,49.4,0.75
Wellington,53.3,2.33
