Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP
1,Al-Ittihad,17,16,1,0,47,15,32,49,2.88,17,10,4,3,32,20,12,34,2.0
2,Al-Hilal,17,13,2,2,54,17,37,41,2.41,17,10,4,3,41,24,17,34,2.0
3,Al-Nassr,17,9,5,3,34,18,16,32,1.88,17,12,2,3,46,20,26,38,2.24
4,Al-Qadsiah,17,13,2,2,30,12,18,41,2.41,17,8,3,6,23,19,4,27,1.59
5,Al-Ahli,17,11,3,3,43,19,24,36,2.12,17,10,1,6,26,17,9,31,1.82
6,Al-Shabab,17,10,2,5,36,19,17,32,1.88,17,8,4,5,29,22,7,28,1.65
7,Al-Ettifaq,17,6,2,9,17,26,-9,20,1.18,17,8,6,3,27,19,8,30,1.76
8,Al-Taawoun,17,7,5,5,24,21,3,26,1.53,17,5,4,8,16,18,-2,19,1.12
9,Al Kholood Saudi Club,17,8,2,7,23,27,-4,26,1.53,17,4,2,11,19,37,-18,14,0.82
10,Al-Fateh,17,7,3,7,28,26,2,24,1.41,17,4,3,10,19,35,-16,15,0.88
11,Al-Riyadh SC,17,5,5,7,16,22,-6,20,1.18,17,5,3,9,21,30,-9,18,1.06
12,Al-Khaleej,17,4,4,9,20,27,-7,16,0.94,17,6,3,8,20,30,-10,21,1.24
13,Al-Fayha,17,5,6,6,13,20,-7,21,1.24,17,3,6,8,14,29,-15,15,0.88
14,Damac,17,6,4,7,21,24,-3,22,1.29,17,3,4,10,16,26,-10,13,0.76
15,Al Okhdood SC,17,3,4,10,15,31,-16,13,0.76,17,6,3,8,18,25,-7,21,1.24
16,Al-Wehda,17,4,4,9,24,35,-11,16,0.94,17,5,2,10,18,32,-14,17,1.0
17,Al-Orobah,17,5,1,11,15,33,-18,16,0.94,17,4,2,11,16,41,-25,14,0.82
18,Al-Raed,17,2,2,13,17,33,-16,8,0.47,17,4,1,12,24,33,-9,13,0.76
