Unnamed: 0_level_0_Squad,Unnamed: 1_level_0_# Pl,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Poss,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
Al Kholood Saudi Club,28,28.2,42.4,34,374,3060,34.0,39,21,60,32,7,8,62,1,1.15,0.62,1.76,0.94,1.56
Al Okhdood SC,27,29.3,44.7,34,374,3060,34.0,31,19,50,28,3,4,84,5,0.91,0.56,1.47,0.82,1.38
Al-Ahli,29,26.5,52.5,34,374,3060,34.0,66,42,108,54,12,12,85,2,1.94,1.24,3.18,1.59,2.82
Al-Ettifaq,27,28.2,52.0,34,374,3060,34.0,41,26,67,36,5,5,71,3,1.21,0.76,1.97,1.06,1.82
Al-Fateh,32,27.7,49.3,34,374,3060,34.0,47,31,78,39,8,9,70,5,1.38,0.91,2.29,1.15,2.06
Al-Fayha,28,28.7,48.6,34,374,3060,34.0,25,20,45,22,3,3,77,3,0.74,0.59,1.32,0.65,1.24
Al-Hilal,28,28.9,62.1,34,374,3060,34.0,93,69,162,86,7,8,51,1,2.74,2.03,4.76,2.53,4.56
Al-Ittihad,28,28.5,58.8,34,374,3060,34.0,78,62,140,74,4,7,59,1,2.29,1.82,4.12,2.18,4.0
Al-Khaleej,28,30.1,48.9,34,374,3060,34.0,39,30,69,35,4,6,72,2,1.15,0.88,2.03,1.03,1.91
Al-Nassr,28,28.2,61.5,34,374,3060,34.0,76,47,123,64,12,13,79,5,2.24,1.38,3.62,1.88,3.26
Al-Orobah,30,29.5,40.6,34,374,3060,34.0,33,28,61,30,3,4,77,2,0.97,0.82,1.79,0.88,1.71
Al-Qadsiah,27,27.3,53.9,34,374,3060,34.0,52,40,92,48,4,5,67,2,1.53,1.18,2.71,1.41,2.59
Al-Raed,33,28.0,43.6,34,374,3060,34.0,38,25,63,35,3,3,86,5,1.12,0.74,1.85,1.03,1.76
Al-Riyadh SC,28,29.2,44.4,34,374,3060,34.0,35,23,58,33,2,3,69,5,1.03,0.68,1.71,0.97,1.65
Al-Shabab,32,28.6,55.6,34,374,3060,34.0,61,47,108,53,8,10,76,4,1.79,1.38,3.18,1.56,2.94
Al-Taawoun,30,27.9,54.9,34,374,3060,34.0,39,28,67,37,2,2,76,8,1.15,0.82,1.97,1.09,1.91
Al-Wehda,27,29.5,44.5,34,374,3060,34.0,42,28,70,41,1,2,71,2,1.24,0.82,2.06,1.21,2.03
Damac,28,29.3,42.6,34,374,3060,34.0,36,24,60,30,6,7,73,7,1.06,0.71,1.76,0.88,1.59
