Squad,TklW,Lost,Blocks,Clr
Augsburg,157,110,216,469
Bayern Munich,125,97,154,263
Dortmund,157,88,189,422
Eint Frankfurt,166,90,177,420
Freiburg,142,72,151,389
Gladbach,183,104,168,535
Hamburger SV,120,91,180,495
Heidenheim,145,126,192,513
Hoffenheim,155,110,196,491
Köln,145,87,181,504
Leverkusen,130,69,152,337
Mainz 05,143,92,223,504
RB Leipzig,153,102,197,470
St. Pauli,154,92,144,381
Stuttgart,138,77,173,418
Union Berlin,147,103,167,539
Werder Bremen,153,119,199,483
Wolfsburg,157,116,186,579
