Date,Home,Away,Score,xG,xG.1,HomeGoals,AwayGoals
2025-11-08,Hoffenheim,RB Leipzig,3–1,1.7,1.7,3,1
2025-11-08,Union Berlin,Bayern Munich,2–2,0.8,1.3,2,2
2025-11-08,Hamburger SV,Dortmund,1–1,0.6,1.0,1,1
2025-11-08,Leverkusen,Heidenheim,6–0,3.3,0.1,6,0
2025-11-08,Gladbach,Köln,3–1,2.8,2.2,3,1
2025-11-09,Freiburg,St. Pauli,2–1,1.0,0.5,2,1
2025-11-09,Stuttgart,Augsburg,3–2,2.3,1.9,3,2
2025-11-09,Eint Frankfurt,Mainz 05,1–0,1.2,0.1,1,0
,,,,,,,
2025-11-21,Mainz 05,Hoffenheim,1–1,1.9,1.3,1,1
2025-11-22,Wolfsburg,Leverkusen,1–3,2.1,1.0,1,3
2025-11-22,Dortmund,Stuttgart,3–3,3.0,1.5,3,3
2025-11-22,Augsburg,Hamburger SV,1–0,1.6,1.3,1,0
2025-11-22,Heidenheim,Gladbach,0–3,0.4,2.2,0,3
2025-11-22,Bayern Munich,Freiburg,6–2,2.9,0.7,6,2
2025-11-22,Köln,Eint Frankfurt,3–4,1.2,2.2,3,4
2025-11-23,RB Leipzig,Werder Bremen,2–0,2.0,0.8,2,0
2025-11-23,St. Pauli,Union Berlin,0–1,0.7,0.5,0,1
,,,,,,,
2025-11-28,Gladbach,RB Leipzig,0–0,0.4,0.9,0,0
2025-11-29,Bayern Munich,St. Pauli,3–1,2.3,0.5,3,1
2025-11-29,Union Berlin,Heidenheim,1–2,1.0,0.6,1,2
2025-11-29,Werder Bremen,Köln,1–1,1.1,1.0,1,1
2025-11-29,Hoffenheim,Augsburg,3–0,2.0,1.0,3,0
2025-11-29,Leverkusen,Dortmund,1–2,0.8,1.1,1,2
2025-11-30,Hamburger SV,Stuttgart,2–1,1.0,0.8,2,1
2025-11-30,Eint Frankfurt,Wolfsburg,1–1,1.6,1.8,1,1
2025-11-30,Freiburg,Mainz 05,4–0,4.2,0.1,4,0
,,,,,,,
,Home,Away,Score,,,,
2025-12-05,Mainz 05,Gladbach,0–1,1.0,1.7,0,1
2025-12-06,Stuttgart,Bayern Munich,0–5,0.9,3.3,0,5
2025-12-06,Wolfsburg,Union Berlin,3–1,0.7,1.9,3,1
2025-12-06,Heidenheim,Freiburg,2–1,2.1,1.0,2,1
2025-12-06,Augsburg,Leverkusen,2–0,1.5,1.6,2,0
2025-12-06,Köln,St. Pauli,1–1,1.9,0.1,1,1
2025-12-06,RB Leipzig,Eint Frankfurt,6–0,3.6,0.6,6,0
2025-12-07,Hamburger SV,Werder Bremen,3–2,1.3,0.7,3,2
2025-12-07,Dortmund,Hoffenheim,2–0,1.6,1.1,2,0
,,,,,,,
2025-12-12,Union Berlin,RB Leipzig,3–1,1.4,0.5,3,1
2025-12-13,St. Pauli,Heidenheim,2–1,0.8,2.4,2,1
2025-12-13,Eint Frankfurt,Augsburg,1–0,1.1,0.6,1,0
2025-12-13,Hoffenheim,Hamburger SV,4–1,1.5,1.4,4,1
2025-12-13,Gladbach,Wolfsburg,1–3,0.8,1.7,1,3
2025-12-13,Leverkusen,Köln,2–0,2.1,0.1,2,0
2025-12-14,Freiburg,Dortmund,1–1,1.5,1.0,1,1
2025-12-14,Bayern Munich,Mainz 05,2–2,4.4,0.5,2,2
2025-12-14,Werder Bremen,Stuttgart,0–4,0.9,2.1,0,4
,,,,,,,
2025-12-19,Dortmund,Gladbach,2–0,1.4,0.3,2,0
2025-12-20,Stuttgart,Hoffenheim,0–0,1.2,0.1,0,0
2025-12-20,Köln,Union Berlin,0–1,0.5,1.2,0,1
2025-12-20,Wolfsburg,Freiburg,3–4,1.6,3.3,3,4
2025-12-20,Augsburg,Werder Bremen,0–0,1.0,0.6,0,0
2025-12-20,Hamburger SV,Eint Frankfurt,1–1,0.7,1.5,1,1
2025-12-20,RB Leipzig,Leverkusen,1–3,1.8,2.7,1,3
2025-12-21,Mainz 05,St. Pauli,0–0,1.1,0.3,0,0
2025-12-21,Heidenheim,Bayern Munich,0–4,1.2,4.2,0,4
,,,,,,,
2026-01-09,Eint Frankfurt,Dortmund,3–3,1.6,2.2,3,3
2026-01-10,Union Berlin,Mainz 05,2–2,3.4,1.0,2,2
2026-01-10,Heidenheim,Köln,2–2,1.9,2.9,2,2
2026-01-10,Freiburg,Hamburger SV,2–1,2.8,0.6,2,1
2026-01-10,Leverkusen,Stuttgart,1–4,2.0,2.6,1,4
2026-01-11,Gladbach,Augsburg,4–0,2.8,1.8,4,0
2026-01-11,Bayern Munich,Wolfsburg,8–1,3.3,1.4,8,1
,,,,,,,
2026-01-13,Stuttgart,Eint Frankfurt,3–2,,,3,2
2026-01-13,Mainz 05,Heidenheim,2–1,,,2,1
,Home,Away,Score,,,,
2026-01-13,Hamburger SV,Leverkusen,,,,,
2026-01-13,Dortmund,Werder Bremen,3–0,,,3,0
2026-01-14,Wolfsburg,St. Pauli,2–1,,,2,1
2026-01-14,Hoffenheim,Gladbach,5–1,,,5,1
2026-01-14,RB Leipzig,Freiburg,2–0,,,2,0
2026-01-14,Köln,Bayern Munich,1–3,,,1,3
2026-01-15,Augsburg,Union Berlin,,,,,
,,,,,,,
2026-01-16,Werder Bremen,Eint Frankfurt,,,,,
2026-01-17,Dortmund,St. Pauli,,,,,
2026-01-17,Hamburger SV,Gladbach,,,,,
2026-01-17,Köln,Mainz 05,,,,,
2026-01-17,Hoffenheim,Leverkusen,,,,,
2026-01-17,Wolfsburg,Heidenheim,,,,,
2026-01-17,RB Leipzig,Bayern Munich,,,,,
2026-01-18,Stuttgart,Union Berlin,,,,,
2026-01-18,Augsburg,Freiburg,,,,,
,,,,,,,
2026-01-23,St. Pauli,Hamburger SV,,,,,
2026-01-24,Leverkusen,Werder Bremen,,,,,
2026-01-24,Heidenheim,RB Leipzig,,,,,
2026-01-24,Eint Frankfurt,Hoffenheim,,,,,
2026-01-24,Mainz 05,Wolfsburg,,,,,
2026-01-24,Bayern Munich,Augsburg,,,,,
2026-01-24,Union Berlin,Dortmund,,,,,
2026-01-25,Gladbach,Stuttgart,,,,,
2026-01-25,Freiburg,Köln,,,,,
,,,,,,,
2026-01-27,Werder Bremen,Hoffenheim,,,,,
2026-01-27,St. Pauli,RB Leipzig,,,,,
,,,,,,,
2026-01-30,Köln,Wolfsburg,,,,,
2026-01-31,Werder Bremen,Gladbach,,,,,
2026-01-31,RB Leipzig,Mainz 05,,,,,
2026-01-31,Hoffenheim,Union Berlin,,,,,
2026-01-31,Eint Frankfurt,Leverkusen,,,,,
2026-01-31,Augsburg,St. Pauli,,,,,
2026-01-31,Hamburger SV,Bayern Munich,,,,,
2026-02-01,Stuttgart,Freiburg,,,,,
2026-02-01,Dortmund,Heidenheim,,,,,
,Home,Away,Score,,,,
,,,,,,,
2026-02-06,Union Berlin,Eint Frankfurt,,,,,
2026-02-07,Mainz 05,Augsburg,,,,,
2026-02-07,Freiburg,Werder Bremen,,,,,
2026-02-07,Wolfsburg,Dortmund,,,,,
2026-02-07,Heidenheim,Hamburger SV,,,,,
2026-02-07,St. Pauli,Stuttgart,,,,,
2026-02-07,Gladbach,Leverkusen,,,,,
2026-02-08,Köln,RB Leipzig,,,,,
2026-02-08,Bayern Munich,Hoffenheim,,,,,
,,,,,,,
2026-02-13,Dortmund,Mainz 05,,,,,
2026-02-14,Leverkusen,St. Pauli,,,,,
2026-02-14,Eint Frankfurt,Gladbach,,,,,
2026-02-14,Hamburger SV,Union Berlin,,,,,
2026-02-14,Werder Bremen,Bayern Munich,,,,,
2026-02-14,Hoffenheim,Freiburg,,,,,
2026-02-14,Stuttgart,Köln,,,,,
2026-02-15,Augsburg,Heidenheim,,,,,
2026-02-15,RB Leipzig,Wolfsburg,,,,,
,,,,,,,
2026-02-20,Mainz 05,Hamburger SV,,,,,
2026-02-21,Wolfsburg,Augsburg,,,,,
2026-02-21,Union Berlin,Leverkusen,,,,,
2026-02-21,Bayern Munich,Eint Frankfurt,,,,,
2026-02-21,Köln,Hoffenheim,,,,,
2026-02-21,RB Leipzig,Dortmund,,,,,
2026-02-22,Freiburg,Gladbach,,,,,
2026-02-22,St. Pauli,Werder Bremen,,,,,
2026-02-22,Heidenheim,Stuttgart,,,,,
,,,,,,,
2026-02-27,Augsburg,Köln,,,,,
2026-02-28,Werder Bremen,Heidenheim,,,,,
2026-02-28,Leverkusen,Mainz 05,,,,,
2026-02-28,Hoffenheim,St. Pauli,,,,,
2026-02-28,Gladbach,Union Berlin,,,,,
2026-02-28,Dortmund,Bayern Munich,,,,,
2026-03-01,Stuttgart,Wolfsburg,,,,,
2026-03-01,Eint Frankfurt,Freiburg,,,,,
2026-03-01,Hamburger SV,RB Leipzig,,,,,
,Home,Away,Score,,,,
,,,,,,,
2026-03-07,Bayern Munich,Gladbach,,,,,
2026-03-07,St. Pauli,Eint Frankfurt,,,,,
2026-03-07,Köln,Dortmund,,,,,
2026-03-07,Union Berlin,Werder Bremen,,,,,
2026-03-07,Freiburg,Leverkusen,,,,,
2026-03-07,Mainz 05,Stuttgart,,,,,
2026-03-07,RB Leipzig,Augsburg,,,,,
2026-03-07,Wolfsburg,Hamburger SV,,,,,
2026-03-07,Heidenheim,Hoffenheim,,,,,
,,,,,,,
2026-03-14,Stuttgart,RB Leipzig,,,,,
2026-03-14,Werder Bremen,Mainz 05,,,,,
2026-03-14,Dortmund,Augsburg,,,,,
2026-03-14,Eint Frankfurt,Heidenheim,,,,,
2026-03-14,Hoffenheim,Wolfsburg,,,,,
2026-03-14,Leverkusen,Bayern Munich,,,,,
2026-03-14,Hamburger SV,Köln,,,,,
2026-03-14,Gladbach,St. Pauli,,,,,
2026-03-14,Freiburg,Union Berlin,,,,,
,,,,,,,
2026-03-21,Köln,Gladbach,,,,,
2026-03-21,St. Pauli,Freiburg,,,,,
2026-03-21,Wolfsburg,Werder Bremen,,,,,
2026-03-21,Augsburg,Stuttgart,,,,,
2026-03-21,Heidenheim,Leverkusen,,,,,
2026-03-21,Bayern Munich,Union Berlin,,,,,
2026-03-21,Mainz 05,Eint Frankfurt,,,,,
2026-03-21,Dortmund,Hamburger SV,,,,,
2026-03-21,RB Leipzig,Hoffenheim,,,,,
,,,,,,,
2026-04-04,Eint Frankfurt,Köln,,,,,
2026-04-04,Gladbach,Heidenheim,,,,,
2026-04-04,Leverkusen,Wolfsburg,,,,,
2026-04-04,Hamburger SV,Augsburg,,,,,
2026-04-04,Werder Bremen,RB Leipzig,,,,,
2026-04-04,Stuttgart,Dortmund,,,,,
2026-04-04,Union Berlin,St. Pauli,,,,,
2026-04-04,Freiburg,Bayern Munich,,,,,
2026-04-04,Hoffenheim,Mainz 05,,,,,
,Home,Away,Score,,,,
,,,,,,,
2026-04-11,Köln,Werder Bremen,,,,,
2026-04-11,Wolfsburg,Eint Frankfurt,,,,,
2026-04-11,RB Leipzig,Gladbach,,,,,
2026-04-11,Augsburg,Hoffenheim,,,,,
2026-04-11,St. Pauli,Bayern Munich,,,,,
2026-04-11,Dortmund,Leverkusen,,,,,
2026-04-11,Mainz 05,Freiburg,,,,,
2026-04-11,Stuttgart,Hamburger SV,,,,,
2026-04-11,Heidenheim,Union Berlin,,,,,
,,,,,,,
2026-04-18,Freiburg,Heidenheim,,,,,
2026-04-18,Hoffenheim,Dortmund,,,,,
2026-04-18,Union Berlin,Wolfsburg,,,,,
2026-04-18,Eint Frankfurt,RB Leipzig,,,,,
2026-04-18,Werder Bremen,Hamburger SV,,,,,
2026-04-18,St. Pauli,Köln,,,,,
2026-04-18,Gladbach,Mainz 05,,,,,
2026-04-18,Bayern Munich,Stuttgart,,,,,
2026-04-18,Leverkusen,Augsburg,,,,,
,,,,,,,
2026-04-25,Wolfsburg,Gladbach,,,,,
2026-04-25,Köln,Leverkusen,,,,,
2026-04-25,Stuttgart,Werder Bremen,,,,,
2026-04-25,Augsburg,Eint Frankfurt,,,,,
2026-04-25,Heidenheim,St. Pauli,,,,,
2026-04-25,RB Leipzig,Union Berlin,,,,,
2026-04-25,Mainz 05,Bayern Munich,,,,,
2026-04-25,Hamburger SV,Hoffenheim,,,,,
2026-04-25,Dortmund,Freiburg,,,,,
,,,,,,,
2026-05-02,Union Berlin,Köln,,,,,
2026-05-02,Bayern Munich,Heidenheim,,,,,
2026-05-02,Gladbach,Dortmund,,,,,
2026-05-02,Leverkusen,RB Leipzig,,,,,
2026-05-02,Freiburg,Wolfsburg,,,,,
2026-05-02,Hoffenheim,Stuttgart,,,,,
2026-05-02,Eint Frankfurt,Hamburger SV,,,,,
2026-05-02,Werder Bremen,Augsburg,,,,,
2026-05-02,St. Pauli,Mainz 05,,,,,
,Home,Away,Score,,,,
,,,,,,,
2026-05-09,Wolfsburg,Bayern Munich,,,,,
2026-05-09,Dortmund,Eint Frankfurt,,,,,
2026-05-09,RB Leipzig,St. Pauli,,,,,
2026-05-09,Stuttgart,Leverkusen,,,,,
2026-05-09,Hamburger SV,Freiburg,,,,,
2026-05-09,Augsburg,Gladbach,,,,,
2026-05-09,Mainz 05,Union Berlin,,,,,
2026-05-09,Hoffenheim,Werder Bremen,,,,,
2026-05-09,Köln,Heidenheim,,,,,
,,,,,,,
2026-05-16,Leverkusen,Hamburger SV,,,,,
2026-05-16,Bayern Munich,Köln,,,,,
2026-05-16,St. Pauli,Wolfsburg,,,,,
2026-05-16,Freiburg,RB Leipzig,,,,,
2026-05-16,Union Berlin,Augsburg,,,,,
2026-05-16,Eint Frankfurt,Stuttgart,,,,,
2026-05-16,Gladbach,Hoffenheim,,,,,
2026-05-16,Werder Bremen,Dortmund,,,,,
2026-05-16,Heidenheim,Mainz 05,,,,,
