Squad,Poss,PrgC,G+A-PK
Augsburg,46.1,221,1.69
Bayern Munich,67.8,392,6.29
Dortmund,52.6,275,3.24
Eint Frankfurt,53.3,258,3.41
Freiburg,50.8,230,1.94
Gladbach,45.8,230,2.0
Hamburger SV,46.3,250,1.87
Heidenheim,43.8,203,1.65
Hoffenheim,54.3,210,3.38
Köln,46.9,231,2.41
Leverkusen,59.1,298,3.25
Mainz 05,45.8,200,1.47
RB Leipzig,50.9,316,3.31
St. Pauli,47.0,184,1.44
Stuttgart,56.8,286,3.24
Union Berlin,38.1,155,2.19
Werder Bremen,48.5,228,1.81
Wolfsburg,45.7,186,2.65
