Squad,xAG,PrgP,KP
Augsburg,13.4,558,148
Bayern Munich,34.5,976,246
Dortmund,19.1,774,145
Eint Frankfurt,17.4,674,159
Freiburg,17.6,536,157
Gladbach,14.5,571,143
Hamburger SV,13.7,499,159
Heidenheim,17.3,500,132
Hoffenheim,17.7,597,152
Köln,17.7,511,147
Leverkusen,17.9,635,174
Mainz 05,12.6,595,124
RB Leipzig,19.2,561,184
St. Pauli,8.4,558,112
Stuttgart,17.9,680,190
Union Berlin,12.7,425,142
Werder Bremen,12.9,558,131
Wolfsburg,17.2,450,148
