Date,Home,Away,Score,HomeGoals,AwayGoals
2025-11-09,Holstein Kiel,Düsseldorf,1–0,1,0
2025-11-09,BTSV,Bochum,0–2,0,2
2025-11-09,Magdeburg,Paderborn 07,0–1,0,1
,,,,,
,Home,Away,Score,,
2025-11-21,Hertha BSC,BTSV,1–0,1,0
2025-11-21,Bochum,Dresden,1–2,1,2
2025-11-22,Düsseldorf,Magdeburg,2–1,2,1
2025-11-22,Preußen Münster,Schalke 04,0–0,0,0
2025-11-22,Paderborn 07,Hannover 96,0–2,0,2
2025-11-22,Darmstadt 98,Greuther Fürth,4–2,4,2
2025-11-23,Karlsruher,Elversberg,2–3,2,3
2025-11-23,Nürnberg,Arminia,2–0,2,0
2025-11-23,Kaiserslautern,Holstein Kiel,4–1,4,1
,,,,,
2025-11-28,Hannover 96,Karlsruher,3–0,3,0
2025-11-28,Schalke 04,Paderborn 07,2–1,2,1
2025-11-29,Greuther Fürth,Bochum,0–3,0,3
2025-11-29,BTSV,Kaiserslautern,2–0,2,0
2025-11-29,Holstein Kiel,Hertha BSC,0–1,0,1
2025-11-29,Magdeburg,Nürnberg,3–0,3,0
2025-11-30,Dresden,Düsseldorf,2–1,2,1
2025-11-30,Arminia,Preußen Münster,1–2,1,2
2025-11-30,Elversberg,Darmstadt 98,0–0,0,0
,,,,,
2025-12-05,Preußen Münster,Hannover 96,2–2,2,2
2025-12-05,Düsseldorf,Schalke 04,0–2,0,2
2025-12-06,Paderborn 07,Elversberg,1–2,1,2
2025-12-06,Kaiserslautern,Dresden,3–1,3,1
2025-12-06,Bochum,Arminia,1–0,1,0
2025-12-06,Darmstadt 98,Karlsruher,3–2,3,2
2025-12-07,BTSV,Holstein Kiel,1–1,1,1
2025-12-07,Hertha BSC,Magdeburg,0–2,0,2
2025-12-07,Nürnberg,Greuther Fürth,2–2,2,2
,,,,,
2025-12-12,Dresden,BTSV,2–3,2,3
2025-12-12,Greuther Fürth,Hertha BSC,3–3,3,3
2025-12-13,Karlsruher,Paderborn 07,0–4,0,4
2025-12-13,Magdeburg,Holstein Kiel,3–3,3,3
2025-12-13,Arminia,Kaiserslautern,0–0,0,0
2025-12-13,Hannover 96,Bochum,0–0,0,0
2025-12-14,Elversberg,Düsseldorf,1–0,1,0
2025-12-14,Darmstadt 98,Preußen Münster,1–0,1,0
2025-12-14,Schalke 04,Nürnberg,1–0,1,0
,,,,,
,Home,Away,Score,,
2025-12-19,Hertha BSC,Arminia,1–1,1,1
2025-12-19,Paderborn 07,Darmstadt 98,2–2,2,2
2025-12-20,Bochum,Karlsruher,2–2,2,2
2025-12-20,Düsseldorf,Greuther Fürth,2–1,2,1
2025-12-20,Kaiserslautern,Magdeburg,2–3,2,3
2025-12-20,Holstein Kiel,Dresden,2–1,2,1
2025-12-21,Preußen Münster,Elversberg,1–1,1,1
2025-12-21,Nürnberg,Hannover 96,2–1,2,1
2025-12-21,BTSV,Schalke 04,2–1,2,1
,,,,,
2026-01-16,Düsseldorf,Arminia,,,
2026-01-16,BTSV,Magdeburg,,,
2026-01-17,Preußen Münster,Karlsruher,,,
2026-01-17,Nürnberg,Elversberg,,,
2026-01-17,Dresden,Greuther Fürth,,,
2026-01-17,Hertha BSC,Schalke 04,,,
2026-01-18,Bochum,Darmstadt 98,,,
2026-01-18,Holstein Kiel,Paderborn 07,,,
2026-01-18,Kaiserslautern,Hannover 96,,,
,,,,,
2026-01-23,Arminia,Holstein Kiel,,,
2026-01-23,Darmstadt 98,Nürnberg,,,
2026-01-24,Karlsruher,Hertha BSC,,,
2026-01-24,Greuther Fürth,BTSV,,,
2026-01-24,Hannover 96,Düsseldorf,,,
2026-01-24,Magdeburg,Dresden,,,
2026-01-25,Paderborn 07,Preußen Münster,,,
2026-01-25,Elversberg,Bochum,,,
2026-01-25,Schalke 04,Kaiserslautern,,,
,,,,,
2026-01-30,Nürnberg,Preußen Münster,,,
2026-01-30,Magdeburg,Hannover 96,,,
2026-01-31,Bochum,Schalke 04,,,
2026-01-31,Holstein Kiel,Greuther Fürth,,,
2026-01-31,BTSV,Karlsruher,,,
2026-01-31,Kaiserslautern,Elversberg,,,
2026-02-01,Hertha BSC,Darmstadt 98,,,
2026-02-01,Dresden,Arminia,,,
2026-02-01,Düsseldorf,Paderborn 07,,,
,,,,,
,Home,Away,Score,,
2026-02-06,Preußen Münster,Bochum,,,
2026-02-06,Greuther Fürth,Magdeburg,,,
2026-02-07,Elversberg,Hertha BSC,,,
2026-02-07,Schalke 04,Dresden,,,
2026-02-07,Paderborn 07,Nürnberg,,,
2026-02-07,Darmstadt 98,Kaiserslautern,,,
2026-02-08,Hannover 96,Holstein Kiel,,,
2026-02-08,Arminia,BTSV,,,
2026-02-08,Karlsruher,Düsseldorf,,,
,,,,,
2026-02-13,Nürnberg,Karlsruher,,,
2026-02-13,Düsseldorf,Preußen Münster,,,
2026-02-14,BTSV,Darmstadt 98,,,
2026-02-14,Kaiserslautern,Greuther Fürth,,,
2026-02-14,Hertha BSC,Hannover 96,,,
2026-02-14,Dresden,Elversberg,,,
2026-02-15,Holstein Kiel,Schalke 04,,,
2026-02-15,Magdeburg,Arminia,,,
2026-02-15,Bochum,Paderborn 07,,,
,,,,,
2026-02-20,Bochum,Nürnberg,,,
2026-02-20,Greuther Fürth,Arminia,,,
2026-02-21,Karlsruher,Holstein Kiel,,,
2026-02-21,Elversberg,BTSV,,,
2026-02-21,Darmstadt 98,Düsseldorf,,,
2026-02-21,Schalke 04,Magdeburg,,,
2026-02-22,Preußen Münster,Kaiserslautern,,,
2026-02-22,Hannover 96,Dresden,,,
2026-02-22,Paderborn 07,Hertha BSC,,,
,,,,,
2026-02-27,Dresden,Darmstadt 98,,,
2026-02-27,Düsseldorf,Bochum,,,
2026-02-28,Holstein Kiel,Elversberg,,,
2026-02-28,Kaiserslautern,Paderborn 07,,,
2026-02-28,Arminia,Hannover 96,,,
2026-02-28,Greuther Fürth,Schalke 04,,,
2026-03-01,Hertha BSC,Nürnberg,,,
2026-03-01,Magdeburg,Karlsruher,,,
2026-03-01,BTSV,Preußen Münster,,,
,,,,,
,Home,Away,Score,,
2026-03-07,Darmstadt 98,Holstein Kiel,,,
2026-03-07,Paderborn 07,BTSV,,,
2026-03-07,Karlsruher,Dresden,,,
2026-03-07,Elversberg,Magdeburg,,,
2026-03-07,Nürnberg,Düsseldorf,,,
2026-03-07,Preußen Münster,Hertha BSC,,,
2026-03-07,Bochum,Kaiserslautern,,,
2026-03-07,Hannover 96,Greuther Fürth,,,
2026-03-07,Schalke 04,Arminia,,,
,,,,,
2026-03-14,Dresden,Preußen Münster,,,
2026-03-14,Schalke 04,Hannover 96,,,
2026-03-14,BTSV,Düsseldorf,,,
2026-03-14,Holstein Kiel,Nürnberg,,,
2026-03-14,Arminia,Paderborn 07,,,
