Squad,GF,GA,Pts
Schalke 04,22,10,37
Elversberg,31,15,34
Darmstadt 98,29,17,33
Paderborn 07,28,18,33
Hannover 96,30,22,29
Hertha BSC,21,16,28
Kaiserslautern,29,21,27
Nürnberg,19,23,22
Karlsruher,25,33,22
Bochum,23,22,21
Holstein Kiel,20,22,20
Preußen Münster,22,26,20
BTSV,20,29,20
Arminia,27,24,19
Magdeburg,21,29,17
Düsseldorf,15,27,17
Greuther Fürth,26,44,15
Dresden,24,34,13
