Squad,TklW
Arminia,157
Bochum,174
BTSV,152
Darmstadt 98,165
Dresden,168
Düsseldorf,160
Elversberg,172
Greuther Fürth,162
Hannover 96,158
Hertha BSC,146
Holstein Kiel,122
Kaiserslautern,170
Karlsruher,152
Magdeburg,177
Nürnberg,174
Paderborn 07,186
Preußen Münster,155
Schalke 04,210
