Squad,Poss,G+A-PK
Arminia,52.7,2.06
Bochum,45.0,1.82
BTSV,42.6,1.94
Darmstadt 98,49.2,2.82
Dresden,49.9,1.94
Düsseldorf,47.5,1.41
Elversberg,53.6,3.18
Greuther Fürth,46.6,2.47
Hannover 96,58.1,2.71
Hertha BSC,47.5,2.12
Holstein Kiel,51.1,1.88
Kaiserslautern,48.2,2.71
Karlsruher,48.3,2.47
Magdeburg,55.0,1.76
Nürnberg,50.4,1.76
Paderborn 07,54.6,2.41
Preußen Münster,58.8,1.94
Schalke 04,42.0,2.0
